title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?;abstract viewed;promising papers for kalle;category
A dynamic authentication scheme for mobile transactions;B Sathish Babu, P Venkataram - International Journal of Netwok Security, 2009 - Citeseer;2009;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.155.4468&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.155.4468&rep=rep1&type=pdf;Mobile+transactions+AND+(BASE+OR+ACID)_GoogleScholar.csv;GoogleScholar;2;37;No DOI available;y;y;;Client-Agent-Server, Micro, Macro, Connected, Strong
Failure Resilient Criteria for Mobile Web Services Transactions;Muhammad Younas, Leonard Barolli, Makoto Ikeda;2012;https://ieeexplore.ieee.org/document/6354727/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6354727;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;4;No cite count available;10.1109/EIDWT.2012.54;y;y;;SACRED, Connected, Strong, Micro, Macro, Distributed zwischen mehreren MHs, 
A comparative study of mobile database transaction models;Ramzi A. Haraty;2015;https://ieeexplore.ieee.org/document/7405506/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7405506;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;4;No cite count available;10.1109/ISCC.2015.7405506;y;y;y;ACID, survey, Micro, Macro, Disconnected, Connected, Strong, Weak, Distributed zwischen MH und FH, Distributed zwischen mehreren MHs und mehreren FHs
A model for transaction management in mobile databases;Ziyad T. Abdul-Mehdi, Ali Bin Mamat, Hamidah Ibrahim, Mustafa Mat Deris;2010;https://ieeexplore.ieee.org/document/5458474/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5458474;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;5;No cite count available;10.1109/MPOT.2010.936929;y;y;;Connected, Disconnected, Full Client Architektur, Distributed zwischen FH und MH
Migrating a mobile application towards a distributed database for simplified synchronisation;K Lorenzen - 2013 - diva-portal.org;2013;http://www.diva-portal.org/smash/record.jsf?pid=diva2:668896;http://www.diva-portal.org/smash/get/diva2:668896/FULLTEXT01.pdf;Mobile+transactions+AND+CAP+theorem_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;y;y;;Full-Client, Connected, Disconnected
Optimistic Replication and Resolution;Marc Shapiro;2018;https://link.springer.com/referenceworkentry/10.1007/978-1-4614-8265-9_258;https://link.springer.com/content/pdf/10.1007%2F978-1-4614-8265-9_258.pdf;Mobile+transactions+AND+CAP+theorem_SpringerLink.csv;SpringerLink;141;No cite count available;https://doi.org/10.1007/978-1-4614-8265-9;y;y;;Disconnected, Full Client, Distributed zwischen mehreren MHs, ACID
Handling disconnection in mobile database transaction;Romani Farid Ibrahim;2011;https://ieeexplore.ieee.org/document/6111015/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6111015;Mobile+transactions+AND+compensation_IEEEXplore.csv;IEEEXplore;2;667;10.1109/ICAICT.2011.6111015;y;y;;Disconnected, Micro, Macro, Distributed zwischen MH und FH, Full Client
Consistency management strategies for data replication in mobile ad hoc networks;T Hara, SK Madria - 2009 - scholarsmine.mst.edu;2009;http://scholarsmine.mst.edu/comsci_facwork/180/;http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1179&context=comsci_facwork;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;2;439;No DOI available;y;y;y;MANET, Disconnected, Micro, Macro, Survey
SSUM: smart server update mechanism for maintaining cache consistency in mobile environments;K Mershad, H Artail - IEEE Transactions on Mobile Computing, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5383361/;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;103;No DOI available;y;y;y;MANET, Disconnected, Thin Client, Komplett auf FH
DCIM: Distributed cache invalidation method for maintaining cache consistency in wireless mobile networks;K Fawaz, H Artail - IEEE Transactions on Mobile Computing, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6148232/;No PDF available;Mobile+transactions+AND+consistency_GoogleScholar.csv;GoogleScholar;1;92;No DOI available;y;y;y;MANET, Full Client, Disconnected, Micro
