title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;
A P2P approach for automating seamless connectivity given intermittent bandwidth constraints;Vasanth Vallabh B Naib, Shrisha Rao;24-27 Aug. 2011;https://ieeexplore.ieee.org/document/6042517/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6042517;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;1;10.1109/CASE.2011.6042517;y
Achieve User Authentication and Seamless Connectivity on WiFi and WiMAX Interworked Wireless City;Yu-Tso Chen;2-4 July 2007;https://ieeexplore.ieee.org/document/4284143/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4284143;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;2;18;10.1109/WOCN.2007.4284143;y
Dynamic Femtocell gNB On/Off Strategies and Seamless Dual Connectivity in 5G Heterogeneous Cellular Networks;Xiaoge Huang, She Tang, Qian Zheng, Dongyu Zhang, Qianbin Chen;2018;https://ieeexplore.ieee.org/document/8265215/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8265215;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;0;10.1109/ACCESS.2018.2796126;y
Efficient traffic offloading for seamless connectivity in 5G networks onboard high speed trains;Leila Jalili, Ali Parichehreh, Stefan Alfredsson, Johan Garcia, Anna Brunstrom;8-13 Oct. 2017;https://ieeexplore.ieee.org/document/8292462/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8292462;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;0;10.1109/PIMRC.2017.8292462;y
Enhanced CRA protocol for seamless connectivity in wireless networks;Elankayer Sithirasenan, Khosrow Ramezani, Vallipuram Muthukkumarasamy;2-5 Oct. 2012;https://ieeexplore.ieee.org/document/6380852/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6380852;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;3;10.1109/ISCIT.2012.6380852;y
Seamless Connectivity Scheme for Heterogeneous Wireless Networks;Iyad Alkhayat, Anup Kumar, Adel Elmaghraby;16-19 Dec. 2008;https://ieeexplore.ieee.org/document/4775651/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4775651;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;4;1;10.1109/ISSPIT.2008.4775651;y
Seamless Connectivity and Routing in Vehicular Networks with Infrastructure;Stefano Annese, Claudio Casetti, Carla-Fabiana Chiasserini, Nazario Di Maio, Andrea Ghittino, Massimo Reineri;Mar 11;https://ieeexplore.ieee.org/document/5719264/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5719264;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;2;25;10.1109/JSAC.2011.110302;y
Seamless Gate-to-Gate Connectivity Concept: Onboard LTE, Wi-Fi and LAA;Ergin Dinc, Michal Vondra, Cicek Cavdar;24-27 Sept. 2017;https://ieeexplore.ieee.org/document/8288087/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8288087;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;1;10.1109/VTCFall.2017.8288087;y
Seamless Mobility of Users with QoS and Connectivity Support;Luis Veloso, Eduardo Cerqueira, Edmundo Monteiro, Paulo Mendes;8-10 Oct. 2007;https://ieeexplore.ieee.org/document/4390830/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4390830;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;4;1;10.1109/WIMOB.2007.4390830;y
m@ANGEL: autonomic management platform for seamless cognitive connectivity to the mobile internet;P. Demestichas, V. Stavroulaki, D. Boscovic, A. Lee, J. Strassner;Jun 06;https://ieeexplore.ieee.org/document/1668430/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1668430;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;2;64;10.1109/MCOM.2006.1668430;y
A Transaction Model for Mobile Atomic Transactions;Lars Frank;25-28 March 2008;https://ieeexplore.ieee.org/document/4483025/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4483025;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;2;0;10.1109/WAINA.2008.208;y
A comparative study of mobile database transaction models;Ramzi A. Haraty;6-9 July 2015;https://ieeexplore.ieee.org/document/7405506/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7405506;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;4;0;10.1109/ISCC.2015.7405506;y
A model for transaction management in mobile databases;Ziyad T. Abdul-Mehdi, Ali Bin Mamat, Hamidah Ibrahim, Mustafa Mat Deris;May-June 2010;https://ieeexplore.ieee.org/document/5458474/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5458474;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;5;35;10.1109/MPOT.2010.936929;y
Analyzing mobile transactions support for DBMS;P. Serrano-Alvarado, C.L. Roncancio, M. Adiba;3-7 Sept. 2001;https://ieeexplore.ieee.org/document/953124/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=953124;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;8;43;10.1109/DEXA.2001.953124;y
Distributed Transactions on Mobile Systems: Performance Evaluation Using SWN;Oumar Abdoul Sanghare, Mbaye Sene, Joel J. P. C. Rodrigues;5-9 June 2011;https://ieeexplore.ieee.org/document/5963020/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5963020;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;1;1;10.1109/icc.2011.5963020;y
Failure Resilient Criteria for Mobile Web Services Transactions;Muhammad Younas, Leonard Barolli, Makoto Ikeda;19-21 Sept. 2012;https://ieeexplore.ieee.org/document/6354727/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6354727;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;4;0;10.1109/EIDWT.2012.54;y
Guaranteed and consistent mobile transactions in broadcast environment;M. Mohana;20-22 Dec. 2007;https://ieeexplore.ieee.org/document/4735901/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4735901;Mobile+transactions+AND+(BASE+OR+ACID)_IEEEXplore.csv;IEEEXplore;3;0;No DOI available;y
