title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?
Security of a Mobile Transaction: A Trust Model;Santosh K. Misra,    Nilmini Wickamasinghe;2004;https://link.springer.com/article/10.1023/B%3AELEC.0000037082.39182.3a;https://link.springer.com/content/pdf/10.1023%2FB%3AELEC.0000037082.39182.3a.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;9;72;https://doi.org/10.1023/B:ELEC.0000037082.39182.3a;y
A Survey of Mobile Transactions;Patricia Serrano-Alvarado,    Claudia Roncancio…;2004;https://link.springer.com/article/10.1023/B%3ADAPD.0000028552.69032.f9;https://link.springer.com/content/pdf/10.1023%2FB%3ADAPD.0000028552.69032.f9.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;26;129;https://doi.org/10.1023/B:DAPD.0000028552.69032.f9;y
Transaction Processing in a Mobile, Multi-Database Environment;J.B. Lim,    A.R. Hurson;2001;https://link.springer.com/article/10.1023/A%3A1011646626868;https://link.springer.com/content/pdf/10.1023%2FA%3A1011646626868.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;34;241;https://doi.org/10.1023/A:1011646626868;y
A Transaction Model to Improve Data Availability in Mobile Computing;Sanjay Kumar Madria,    Bharat Bhargava;2001;https://link.springer.com/article/10.1023/A%3A1019232412740;https://link.springer.com/content/pdf/10.1023%2FA%3A1019232412740.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;44;97;https://doi.org/10.1023/A:1019232412740;y
Mobile Computing Middleware;Cecilia Mascolo,    Licia Capra,    Wolfgang Emmerich;2002;https://link.springer.com/chapter/10.1007/3-540-36162-6_2;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;28;299;https://doi.org/10.1007/3-540-36162-6_2;y
Processor design for portable systems;Thomas D. Burd,    Robert W. Brodersen;1996;https://link.springer.com/article/10.1007/BF01130406;https://link.springer.com/content/pdf/10.1007%2FBF01130406.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;116;https://doi.org/10.1007/BF01130406;
Mobile Cloud Computing: A Survey, State of Art and Future Directions;M. Reza Rahimi,    Jian Ren,    Chi Harold Liu…;2014;https://link.springer.com/article/10.1007/s11036-013-0477-4;https://link.springer.com/content/pdf/10.1007%2Fs11036-013-0477-4.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;272;https://doi.org/10.1007/s11036-013-0477-4;y
Usability of mobile applications: literature review and rationale for a new usability model;Rachel Harrison,    Derek Flood,    David Duce;2013;https://link.springer.com/article/10.1186/2194-0827-1-1;https://link.springer.com/content/pdf/10.1186%2F2194-0827-1-1.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;3;134;https://doi.org/10.1186/2194-0827-1-1;
Disconnection Modes for Mobile Databases;JoAnne Holliday,    Divyakant Agrawal,    Amr El Abbadi;2002;https://link.springer.com/article/10.1023/A%3A1015542723791;https://link.springer.com/content/pdf/10.1023%2FA%3A1015542723791.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;15;77;https://doi.org/10.1023/A:1015542723791;y
Introduction to Mobile Computing;Tomasz Imielinski,    Henry F. Korth;1996;https://link.springer.com/chapter/10.1007/978-0-585-29603-6_1;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;69;388;https://doi.org/10.1007/978-0-585-29603-6_1;y
Mobile networking in the Internet;Charles E. Perkins;1998;https://link.springer.com/article/10.1023/A%3A1019145303706;https://link.springer.com/content/pdf/10.1023%2FA%3A1019145303706.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;9;59;https://doi.org/10.1023/A:1019145303706;y
Multi-Sensor Context-Awareness in Mobile Devices and Smart Artifacts;Hans W. Gellersen,    Albrecht Schmidt,    Michael Beigl;2002;https://link.springer.com/article/10.1023/A%3A1016587515822;https://link.springer.com/content/pdf/10.1023%2FA%3A1016587515822.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;622;https://doi.org/10.1023/A:1016587515822;y
A Survey on Near Field Communication (NFC) Technology;Vedat Coskun,    Busra Ozdenizci,    Kerem Ok;2013;https://link.springer.com/article/10.1007/s11277-012-0935-5;https://link.springer.com/content/pdf/10.1007%2Fs11277-012-0935-5.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;233;https://doi.org/10.1007/s11277-012-0935-5;
Ubiquitous Computing for Mobile Environments;José M. Molina,    Juan M. Corchado,    Javier Bajo;2008;https://link.springer.com/chapter/10.1007/978-3-7643-8543-9_2;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;22;77;https://doi.org/10.1007/978-3-7643-8543-9_2;y
A Survey of Energy Efficient Network Protocols for Wireless Networks;Christine E. Jones,    Krishna M. Sivalingam,    Prathima Agrawal…;2001;https://link.springer.com/article/10.1023/A%3A1016627727877;https://link.springer.com/content/pdf/10.1023%2FA%3A1016627727877.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;21;1203;https://doi.org/10.1023/A:1016627727877;
Implementation and performance evaluation of a payment protocol for vehicular ad hoc networks;Jesús Téllez Isaac,    Sherali Zeadally,    José Cámara Sierra;2010;https://link.springer.com/article/10.1007/s10660-010-9052-2;https://link.springer.com/content/pdf/10.1007%2Fs10660-010-9052-2.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;80;https://doi.org/10.1007/s10660-010-9052-2;
Mobile and Personal Communications in the 60 GHz Band: A Survey;Filippo Giannetti,    Marco Luise,    Ruggero Reggiannini;1999;https://link.springer.com/article/10.1023/A%3A1018308429332;https://link.springer.com/content/pdf/10.1023%2FA%3A1018308429332.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;74;https://doi.org/10.1023/A:1018308429332;
Understanding the behavior of mobile data services consumers;Se-Joon Hong,    James Y. L. Thong,    Jae-Yun Moon,    Kar-Yan Tam;2008;https://link.springer.com/article/10.1007/s10796-008-9096-1;https://link.springer.com/content/pdf/10.1007%2Fs10796-008-9096-1.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;5;96;https://doi.org/10.1007/s10796-008-9096-1;
Efficient Color-theory-based Dynamic Localization for Mobile Wireless Sensor Networks;Shen-Hai Shee,    Tzu-Chien Chang,    Kuochen Wang…;2011;https://link.springer.com/article/10.1007/s11277-010-9923-9;https://link.springer.com/content/pdf/10.1007%2Fs11277-010-9923-9.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;18;89;https://doi.org/10.1007/s11277-010-9923-9;
The Case for Wireless Overlay Networks;Randy H. Katz,    Eric A. Brewer;1996;https://link.springer.com/chapter/10.1007/978-0-585-29603-6_23;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;14;206;https://doi.org/10.1007/978-0-585-29603-6_23;
A survey of routing techniques for mobile communications networks;S. Ramanathan,    Martha Steenstrup;1996;https://link.springer.com/article/10.1007/BF01193330;https://link.springer.com/content/pdf/10.1007%2FBF01193330.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;12;114;https://doi.org/10.1007/BF01193330;
Minimizing Energy for Wireless Web Access with Bounded Slowdown;Ronny Krashinsky,    Hari Balakrishnan;2005;https://link.springer.com/article/10.1007/s11276-004-4751-z;https://link.springer.com/content/pdf/10.1007%2Fs11276-004-4751-z.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;70;https://doi.org/10.1007/s11276-004-4751-z;
Pervasive Healthcare and Wireless Health Monitoring;Upkar Varshney;2007;https://link.springer.com/article/10.1007/s11036-007-0017-1;https://link.springer.com/content/pdf/10.1007%2Fs11036-007-0017-1.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;295;https://doi.org/10.1007/s11036-007-0017-1;
Understanding Mobile Contexts;Sakari Tamminen,    Antti Oulasvirta…;2003;https://link.springer.com/chapter/10.1007/978-3-540-45233-1_3;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;86;https://doi.org/10.1007/978-3-540-45233-1_3;y
The Broadcast Storm Problem in a Mobile Ad Hoc Network;Yu-Chee Tseng,    Sze-Yao Ni,    Yuh-Shyan Chen,    Jang-Ping Sheu;2002;https://link.springer.com/article/10.1023/A%3A1013763825347;https://link.springer.com/content/pdf/10.1023%2FA%3A1013763825347.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;607;https://doi.org/10.1023/A:1013763825347;
Can the ubiquitous power of mobile phones be used to improve health outcomes in developing countries?;Warren A Kaplan;2006;https://link.springer.com/article/10.1186/1744-8603-2-9;https://link.springer.com/content/pdf/10.1186%2F1744-8603-2-9.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;5;171;https://doi.org/10.1186/1744-8603-2-9;
Cyberguide: A mobile context‐aware tour guide;Gregory D. Abowd,    Christopher G. Atkeson,    Jason Hong,    Sue Long…;1997;https://link.springer.com/article/10.1023/A%3A1019194325861;https://link.springer.com/content/pdf/10.1023%2FA%3A1019194325861.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;3;478;https://doi.org/10.1023/A:1019194325861;
Augmented reality technologies, systems and applications;Julie Carmigniani,    Borko Furht,    Marco Anisetti…;2011;https://link.springer.com/article/10.1007/s11042-010-0660-6;https://link.springer.com/content/pdf/10.1007%2Fs11042-010-0660-6.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;7;221;https://doi.org/10.1007/s11042-010-0660-6;
Evaluation of Architectures for Mobile Robotics;Anders Orebäck,    Henrik I. Christensen;2003;https://link.springer.com/article/10.1023/A%3A1020975419546;https://link.springer.com/content/pdf/10.1023%2FA%3A1020975419546.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;9;56;https://doi.org/10.1023/A:1020975419546;
An Efficient Multicast Routing Protocol in Wireless Mobile Networks;Young-Joo Suh,    Hee-Sook Shin,    Dong-Hee Kwon;2001;https://link.springer.com/article/10.1023/A%3A1016780525280;https://link.springer.com/content/pdf/10.1023%2FA%3A1016780525280.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;18;266;https://doi.org/10.1023/A:1016780525280;y
Mobile banking innovators and early adopters: How they differ from other online users?;Tommi Laukkanen,    Mika Pasanen;2008;https://link.springer.com/article/10.1057/palgrave.fsm.4760077;No PDF available;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;2;68;https://doi.org/10.1057/palgrave.fsm.4760077;
GRID: A Fully Location-Aware Routing Protocol for Mobile Ad Hoc Networks;Wen-Hwa Liao,    Jang-Ping Sheu,    Yu-Chee Tseng;2001;https://link.springer.com/article/10.1023/A%3A1016735301732;https://link.springer.com/content/pdf/10.1023%2FA%3A1016735301732.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;37;194;https://doi.org/10.1023/A:1016735301732;y
Dynamic Location Management for Mobile Computing;Riky Subrata,    Albert Y. Zomaya;2003;https://link.springer.com/article/10.1023/A%3A1023443004805;https://link.springer.com/content/pdf/10.1023%2FA%3A1023443004805.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;17;397;https://doi.org/10.1023/A:1023443004805;y
A Systematic Review of Healthcare Applications for Smartphones;Abu Saleh Mohammad Mosa,    Illhoi Yoo…;2012;https://link.springer.com/article/10.1186/1472-6947-12-67;https://link.springer.com/content/pdf/10.1186%2F1472-6947-12-67.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;6;369;https://doi.org/10.1186/1472-6947-12-67;
Mobile user location update and paging under delay constraints;Joseph S. M. Ho,    Ian F. Akyildiz;1995;https://link.springer.com/article/10.1007/BF01985754;https://link.springer.com/content/pdf/10.1007%2FBF01985754.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;4;171;https://doi.org/10.1007/BF01985754;
An Architectural Framework and Enabling Wireless Technologies for Digital Cities & Intelligent Urban Environments;Gregory S. Yovanof,    George N. Hazapis;2009;https://link.springer.com/article/10.1007/s11277-009-9693-4;https://link.springer.com/content/pdf/10.1007%2Fs11277-009-9693-4.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;8;58;https://doi.org/10.1007/s11277-009-9693-4;
