title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Reconsidering internet mobility,"AC Snoeren, H Balakrishnan, MF Kaashoek - hotos, 2001 - computer.org",2001,https://www.computer.org/csdl/proceedings/hotos/2001/1040/00/10400041.pdf,https://www.cc.gatech.edu/systems/papers/HotOS8.pdf#page=41,,,1,161,No DOI available
Disconnected operations in mobile environments,"D Conan, S Chabridon, G Bernard - ipdps, 2002 - computer.org",2002,https://www.computer.org/csdl/proceedings/ipdps/2002/1573/02/15730192.pdf,https://www.researchgate.net/profile/Guy_Bernard/publication/220952929_Disconnected_Operations_in_Mobile_Environments/links/09e4150bdd26e6d1e3000000/Disconnected-Operations-in-Mobile-Environments.pdf,,,1,41,No DOI available
Handling client mobility and intermittent connectivity in mobile web accesses,"P Kulkarni, P Shenoy, K Ramamritham - International Conference on …, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/3-540-36389-0_36,http://lass.cs.umass.edu/papers/pdf/TR02-35.pdf,,,1,10,No DOI available
Virtual port-based channel level mobility management middleware in heterogeneous wireless networks,"JZ Sun, M Jurmu, J Riekki… - Pervasive Services, 2005 …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1506388/,https://www.researchgate.net/profile/Marko_Jurmu/publication/4173427_Virtual_port-based_channel_level_mobility_management_middleware_in_heterogeneous_wireless_networks/links/0fcfd50a4b6b800cf4000000/Virtual-port-based-channel-level-mobility-management-middleware-in-heterogeneous-wireless-networks.pdf,,,1,815,No DOI available
Handling Network Roaming and Long Disconnections at Middleware Level,"D Conan, S Chabridon, O Villin, G Bernard… - Proc. Workshop on …, 2002 - Citeseer",2002,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.562.4470&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.562.4470&rep=rep1&type=pdf,,,1,11,No DOI available
An adaptive mobility-aware MAC protocol for sensor networks (MS-MAC),"H Pham, S Jha - Mobile Ad-hoc and Sensor Systems, 2004 …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1392207/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.119.1156&rep=rep1&type=pdf,,,1,169,No DOI available
Energy efficient cache invalidation in a disconnected wireless mobile environment,"N Chand, RC Joshi, M Misra - International Journal of Ad …, 2006 - inderscienceonline.com",2006,https://www.inderscienceonline.com/doi/abs/10.1504/IJAHUC.2007.011606,No PDF available,,,1,27,No DOI available
Challenges and solutions to adaptive computing and seamless mobility over heterogeneous wireless networks,"V Bharghavan - Wireless Personal Communications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1008821130378,https://pdfs.semanticscholar.org/66eb/0ae680b6ef82dfc1e9918c7e31a914adaa35.pdf,,,1,47,No DOI available
Handling mobility in IoT applications using the MQTT protocol,"JE Luzuriaga, JC Cano, C Calafate… - Internet …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7317403/,No PDF available,,,1,30,No DOI available
Publisher mobility in distributed publish/subscribe systems,"V Muthusamy, M Petrovic, D Gao… - … Workshops, 2005. 25th …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1437206/,https://pdfs.semanticscholar.org/586d/b143362c5ef232f265950989b60788700a70.pdf,,,1,30,No DOI available
An agent-based middleware–a solution for terminal and user mobility,"S Lipperts, ASB Park - Computer Networks, 1999 - Elsevier",1999,https://www.sciencedirect.com/science/article/pii/S1389128699000791,No PDF available,,,1,42,No DOI available
