title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The RUNES middleware for networked embedded systems and its application in a disaster management scenario,"P Costa, G Coulson, R Gold, M Lad… - … , 2007. PerCom'07 …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4144751/,http://discovery.ucl.ac.uk/5615/1/5615.pdf,,,1,150,No DOI available
Functionality and limitations of current workflow management systems,"G Alonso, D Agrawal, A El Abbadi… - IEEE expert, 1997 - pdfs.semanticscholar.org",1997,https://pdfs.semanticscholar.org/1576/6191c6ec6744251ab3297b3c4c877ac99af7.pdf,https://pdfs.semanticscholar.org/1576/6191c6ec6744251ab3297b3c4c877ac99af7.pdf,,,1,385,No DOI available
The Future Renewable Electric Energy Delivery and Management (FREEDM) System: The Energy Internet.,"AQ Huang, ML Crow, GT Heydt… - Proceedings of the …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/iel5/5/4357935/05634051.pdf,No PDF available,,,1,843,No DOI available
Opportunities in opportunistic computing,"M Conti, M Kumar - Computer, 2010 - keshi.ubiwna.org",2010,http://keshi.ubiwna.org/2014IoTComm/readinglist/OPPORTUNITIES%2520IN%2520OPPORTUNISTIC%2520COMPUTING.pdf,http://keshi.ubiwna.org/2014IoTComm/readinglist/OPPORTUNITIES%2520IN%2520OPPORTUNISTIC%2520COMPUTING.pdf,,,1,343,No DOI available
The RUNES middleware: A reconfigurable component-based approach to networked embedded systems,"P Costa, G Coulson, C Mascolo… - Personal, Indoor and …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1651554/,http://discovery.ucl.ac.uk/5656/1/5656.pdf,,,1,134,No DOI available
Design of a solar-harvesting circuit for batteryless embedded systems,"D Brunelli, C Moser, L Thiele… - … on Circuits and Systems I …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4785219/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.301.4913&rep=rep1&type=pdf,,,1,243,No DOI available
DistressNet: a wireless ad hoc and sensor network architecture for situation management in disaster response,"SM George, W Zhou, H Chenji, M Won, YO Lee… - IEEE Communications …, 2010 - Citeseer",2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.229.1038&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.229.1038&rep=rep1&type=pdf,,,1,234,No DOI available
Turducken: hierarchical power management for mobile devices,"J Sorber, N Banerjee, MD Corner… - … on Mobile systems …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1067198,https://www.usenix.org/publications/library/proceedings/mobisys05/tech/full_papers/sorber/sorber.pdf,,,1,203,No DOI available
Component-based embedded database for mobile embedded systems,"SI Ahamed, S Vallecha - Information Technology: Coding and …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1286512/,http://www.mscs.mu.edu/~iq/papers/long/2004/ITCC04_database.pdf,,,1,11,No DOI available
Computer management system,"I Ote, H Furukawa, H Washimi, Y Kobayashi… - US Patent …, 1998 - Google Patents",1998,https://patents.google.com/patent/US5815652A/en,No PDF available,,,1,226,No DOI available
LooCI: a loosely-coupled component infrastructure for networked embedded systems,"D Hughes, K Thoelen, W Horré, N Matthys… - Proceedings of the 7th …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1821787,https://core.ac.uk/download/pdf/34455413.pdf,,,1,143,No DOI available
Integration of SOA-ready networked embedded devices in enterprise systems via a cross-layered web service infrastructure,"S Karnouskos, O Baecker… - … , 2007. ETFA. IEEE …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4416781/,https://www.alexandria.unisg.ch/43249/1/Integration%20of%20SOA-ready%20Networked%20Embedded%20Devices%20in%20Enterprise%20Systems.pdf,,,1,152,No DOI available
"System for automatic, secure and large scale software license management over any computer network","V Sabharwal - US Patent App. 10/879,541, 2005 - Google Patents",2005,https://patents.google.com/patent/US20050289072A1/en,No PDF available,,,1,201,No DOI available
"Engine to present a user interface based on a logical structure, such as one for a customer relationship management system, across a web site","P Subramaniam, RH Wang, MS Malden - US Patent 7,174,514, 2007 - Google Patents",2007,https://patents.google.com/patent/US7174514B2/en,No PDF available,,,1,1051,No DOI available
Method and system for embedded network device installation,"C Kanojia, L Kamenstky, P Hall, I Copeman - US Patent 6,714,992, 2004 - Google Patents",2004,https://patents.google.com/patent/US6714992B1/en,No PDF available,,,1,111,No DOI available
An autonomic context management system for pervasive computing,"P Hu, J Indulska, R Robinson - Pervasive Computing and …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4517396/,http://ts.data61.csiro.au/publications/nicta_full_text/215.pdf,,,1,100,No DOI available
Owners and managers: disconnecting managerial capitalism? Understanding the private-equity business model,"I Clark - Work, Employment and Society, 2009 - journals.sagepub.com",2009,http://journals.sagepub.com/doi/abs/10.1177/0950017009344920,http://irep.ntu.ac.uk/id/eprint/35064/1/12594_Clark.pdf,,,1,48,No DOI available
Information service communication network system and session management server,"K Hoshino, K Yumoto, S Kiyoto, T Miyamoto… - US Patent …, 2012 - Google Patents",2012,https://patents.google.com/patent/US8271667B2/en,No PDF available,,,1,61,No DOI available
Every joule is precious: The case for revisiting operating system design for energy efficiency,"A Vahdat, A Lebeck, CS Ellis - … : new challenges for the operating system, 2000 - dl.acm.org",2000,https://dl.acm.org/citation.cfm?id=566735,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.43.3992&rep=rep1&type=pdf,,,1,210,No DOI available
Radial MV networks voltage regulation with distribution management system coordinated controller,"F Bignucolo, R Caldon, V Prandoni - Electric power systems research, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0378779607001125,No PDF available,,,1,127,No DOI available
Fault injection techniques and tools for embedded systems reliability evaluation,"A Benso, P Prinetto - 2003 - books.google.com",2003,https://books.google.de/books?hl=de&lr=&id=KXqMY4d5MtcC&oi=fnd&pg=PA1&dq=Embedded+systems+AND+disconnection+AND+(management+OR+handling)&ots=0LG4HnO-Ux&sig=WrhSc3B851V9JaYzquHv2wBdmFU,No PDF available,,,1,216,No DOI available
Intelligent demand side energy management system for autonomous polygeneration microgrids,"G Kyriakarakos, DD Piromalis, AI Dounis, KG Arvanitis… - Applied Energy, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0306261912007155,No PDF available,,,1,115,No DOI available
Power-management system for a computer,"D White, YW Lee, R Ang, R Barbieri, J Chen… - US Patent …, 1995 - Google Patents",1995,https://patents.google.com/patent/US5410713A/en,No PDF available,,,1,139,No DOI available
Computer management system,"I Ote, H Furukawa, H Washimi, Y Kobayashi… - US Patent …, 2001 - Google Patents",2001,https://patents.google.com/patent/US6199180B1/en,No PDF available,,,1,55,No DOI available
Wireless sensor networks for habitat monitoring,"A Mainwaring, D Culler, J Polastre… - Proceedings of the 1st …, 2002 - dl.acm.org",2002,https://dl.acm.org/citation.cfm?id=570751,http://quasar.org/2005/SDSU.Geol600.Sensor_Networks/sensornets.refs/www.cs.utah.edu/classes/cs6935/papers/habitat.pdf,,,1,5411,No DOI available
DartFlow: A workflow management system on the web using transportable agents,"T Cai, PA Gloor, S Nog - 1996 - Citeseer",1996,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.87.4361&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.87.4361&rep=rep1&type=pdf,,,1,169,No DOI available
Method for CPU power management and bus optimization,"MW Hsu - US Patent 7,073,082, 2006 - Google Patents",2006,https://patents.google.com/patent/US7073082B2/en,No PDF available,,,1,20,No DOI available
"Disconnected processes, mechanisms and architecture for mobile e-business","J Sairamesh, S Goh, I Stanoi… - Mobile Networks and …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1035726,No PDF available,,,1,28,No DOI available
"Method, system and computer program for load management","L Gundersen, J Gjerde, W Quaintance… - US Patent App. 09 …, 2002 - Google Patents",2002,https://patents.google.com/patent/US20020162032A1/en,No PDF available,,,1,73,No DOI available
Project-based learning in embedded systems education using an FPGA platform,"A Kumar, S Fernando… - IEEE transactions on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6472742/,http://www.ece.nus.edu.sg/stfpage/eleak/pdf/akumar_ieee_te_2013.pdf,,,1,54,No DOI available
Engery management and building automation system,"GA Ehlers, RD Howerton, GE Speegle - US Patent 5,572,438, 1996 - Google Patents",1996,https://patents.google.com/patent/US5572438A/en,No PDF available,,,1,702,No DOI available
CAFCR: A Multi-view Method for Embedded Systems Architecting. Balancing Genericity and Specificity,GJ Muller - 2004 - Citeseer,2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.867.7593&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.867.7593&rep=rep1&type=pdf,,,1,109,No DOI available
"Multiplexed networks for embedded systems: CAN, LIN, Flexray, Safe-by-Wire...",D Paret - 2007 - books.google.com,2007,https://books.google.de/books?hl=de&lr=&id=OPucHV5ULUoC&oi=fnd&pg=PR7&dq=Embedded+systems+AND+disconnection+AND+(management+OR+handling)&ots=AVclLEIBkK&sig=byr-Y0V10KQgSJKDRWPgv2gx9QE,No PDF available,,,1,84,No DOI available
Ad hoc grids: Communication and computing in a power constrained environment,"DC Marinescu, GM Marinescu, Y Ji… - … Proceedings of the …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1203690/,https://www.computer.org/csdl/proceedings/pccc/2003/7893/00/01203690.pdf,,,1,73,No DOI available
Allocation of losses in distribution systems with embedded generation,"J Mutale, G Strbac, S Curcic… - IEE Proceedings …, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/822093/,https://www.researchgate.net/profile/J_Mutale/publication/3354591_Allocation_of_losses_in_distribution_systems_with_embedded_generation/links/5669919908ae62b05f024d69/Allocation-of-losses-in-distribution-systems-with-embedded-generation.pdf,,,1,253,No DOI available
Embedded Energy Meter-A new concept to measure the energy consumed by a consumer and to pay the bill,"S Maitra - Power System Technology and IEEE Power India …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4745360/,No PDF available,,,1,51,No DOI available
