title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Security in embedded systems: Design challenges,"S Ravi, A Raghunathan, P Kocher… - ACM Transactions on …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1015049,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.83.586&rep=rep1&type=pdf,,,1,533,No DOI available
Design considerations for solar energy harvesting wireless embedded systems,"V Raghunathan, A Kansal, J Hsu, J Friedman… - Proceedings of the 4th …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1147764,https://cloudfront.escholarship.org/dist/prd/content/qt76x92441/qt76x92441.pdf,,,1,1062,No DOI available
A survey of energy harvesting sources for embedded systems,"S Chalasani, JM Conrad - Southeastcon, 2008. IEEE, 2008 - webpages.uncc.edu",2008,https://webpages.uncc.edu/~jmconrad/ECGR6185-2008-01/notes/Survey%20of%20energy%20harvesting.pdf,https://webpages.uncc.edu/~jmconrad/ECGR6185-2008-01/notes/Survey%20of%20energy%20harvesting.pdf,,,1,455,No DOI available
System and method of facilitating contactless payment transactions across different payment systems using a common mobile device acting as a stored value device,"P Staib, J Helm, T Renard - US Patent App. 10/940,939, 2005 - Google Patents",2005,https://patents.google.com/patent/US20050222961A1/en,No PDF available,,,1,338,No DOI available
Mobile ad hoc networking,"S Basagni, M Conti, S Giordano, I Stojmenovic - 2004 - books.google.com",2004,https://books.google.de/books?hl=de&lr=&id=GnkcHEsxAigC&oi=fnd&pg=PR5&dq=Embedded+systems+AND+mobile+transactions&ots=i-d8aIExb8&sig=8C6aUNWaIFqaDK4zJQfCFePdR4k,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall06/proj_papers/IEEE_Wiley_2004_Mobile_Ad_Hoc_Networking_Basagni_Stojmenovic.pdf,,,1,941,No DOI available
Design of a solar-harvesting circuit for batteryless embedded systems,"D Brunelli, C Moser, L Thiele… - IEEE Transactions on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4785219/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.301.4913&rep=rep1&type=pdf,,,1,243,No DOI available
Time synchronization and calibration in wireless sensor networks,"K Römer, P Blum, L Meier - Handbook of sensor networks …, 2005 - Wiley Online Library",2005,https://onlinelibrary.wiley.com/doi/abs/10.1002/047174414X.ch7,http://www.mit.bme.hu/eng/system/files/oktatas/targyak/7049/wsn-time-book.pdf,,,1,265,No DOI available
Electronic device cover with embedded radio frequency (RF) transponder and methods of using same,"TW Zalewski, MC Pennington, RC Roberts… - US Patent …, 2004 - Google Patents",2004,https://patents.google.com/patent/US6771981B1/en,No PDF available,,,1,341,No DOI available
System and method of making payments using an electronic device cover with embedded transponder,"TW Zalewski, MC Pennington, RC Roberts… - US Patent …, 2006 - Google Patents",2006,https://patents.google.com/patent/US7155199B2/en,No PDF available,,,1,349,No DOI available
The role of virtualization in embedded systems,"G Heiser - … on Isolation and integration in embedded systems, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1435461,http://ts.data61.csiro.au/publications/nicta_full_text/553.pdf,,,1,266,No DOI available
A laboratory setup and teaching methodology for wireless and mobile embedded systems,"JS Chenard, Z Zilic, M Prokic - IEEE Transactions on Education, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4589051/,http://iml.ece.mcgill.ca/people/professors/zilic/documents/Lab_wireless_mobile.pdf,,,1,51,No DOI available
"Energy-efficient, utility accrual scheduling under resource constraints for mobile embedded systems","H Wu, B Ravindran, ED Jensen, P Li - ACM Transactions on Embedded …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1165781,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA460255,,,1,50,No DOI available
"Mobile commerce: Promises, challenges and research agenda","K Siau, EP Lim, Z Shen - Journal of Database Management (JDM), 2001 - igi-global.com",2001,https://www.igi-global.com/article/journal-database-management-jdm/3264,https://www.researchgate.net/profile/Keng_Siau/publication/220373657_Mobile_Commerce_Promises_Challenges_and_Research_Agenda/links/5984f30c0f7e9b6c852f50f1/Mobile-Commerce-Promises-Challenges-and-Research-Agenda.pdf,,,1,542,No DOI available
Dynamic power management using on demand paging for networked embedded systems,"Y Agarwal, C Schurgers, R Gupta - Proceedings of the 2005 Asia and …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1121010,http://ziyang.eecs.umich.edu/~dickrp/aeos/reading/agarwal-net-paging.pdf,,,1,106,No DOI available
Socially embedded learning of the O ce-conversant mobile robot Jijo-2,"H Asoh, S Hayamizu, I Hara, Y Motomura… - … Joint Conference on …, 1997 - Citeseer",1997,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.40.3647&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.40.3647&rep=rep1&type=pdf,,,1,143,No DOI available
Efficient implementation of fingerprint verification for mobile embedded systems using fixed-point arithmetic,"TY Tang, YS Moon, KC Chan - … of the 2004 ACM symposium on Applied …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=968070,No PDF available,,,1,19,No DOI available
"Mobile banking and economic development: Linking adoption, impact, and use","J Donner, CA Tellez - Asian journal of communication, 2008 - Taylor & Francis",2008,https://www.tandfonline.com/doi/abs/10.1080/01292980802344190,http://www.kiwanja.net/database/document/report_mbanking_adoption_use.pdf,,,1,415,No DOI available
API-level attacks on embedded systems,"M Bond, R Anderson - Computer, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/955101/,http://www.hit.bme.hu/~buttyan/courses/BMEVIHIM219/2011/Bond.API-Attacks.2001.pdf,,,1,151,No DOI available
Reconfigurable component-based middleware for networked embedded systems,"P Costa, G Coulson, C Mascolo, L Mottola… - International Journal of …, 2007 - Springer",2007,https://link.springer.com/article/10.1007/s10776-007-0057-2,http://eprints.lancs.ac.uk/41857/1/JWIN06.pdf,,,1,98,No DOI available
LGeDBMS: a small DBMS for embedded system with flash memory,"GJ Kim, SC Baek, HS Lee, HD Lee… - Proceedings of the 32nd …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1164257,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.101.1036&rep=rep1&type=pdf,,,1,93,No DOI available
The benefits of event: driven energy accounting in power-sensitive systems,"F Bellosa - Proceedings of the 9th workshop on ACM SIGOPS …, 2000 - dl.acm.org",2000,https://dl.acm.org/citation.cfm?id=566736,No PDF available,,,1,424,No DOI available
A survey of computation offloading for mobile systems,"K Kumar, J Liu, YH Lu, B Bhargava - Mobile Networks and Applications, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11036-012-0368-0,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.298.9961&rep=rep1&type=pdf,,,1,583,No DOI available
Mobile phone payment processing methods and systems,"K Laracey - US Patent 8,380,177, 2013 - Google Patents",2013,https://patents.google.com/patent/US8380177B2/en,No PDF available,,,1,546,No DOI available
Exploiting context in HCI design for mobile systems,"T Rodden, K Cheverst, K Davies, A Dix - … computer interaction with mobile …, 1998 - Citeseer",1998,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.57.1279&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.57.1279&rep=rep1&type=pdf,,,1,296,No DOI available
Understanding dynamics between initial trust and usage intentions of mobile banking,"G Kim, BS Shin, HG Lee - Information Systems Journal, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00269.x,http://www.academia.edu/download/51114879/j.1365-2575.2007.00269.x20161229-29269-12pcac2.pdf,,,1,576,No DOI available
Battery model for embedded systems,"V Rao, G Singhal, A Kumar, N Navet - VLSI Design, 2005. 18th …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/Anshul_Kumar10/publication/4118310_Battery_model_for_embedded_systems/links/55ba38e908aec0e5f43e95ae.pdf,https://www.researchgate.net/profile/Anshul_Kumar10/publication/4118310_Battery_model_for_embedded_systems/links/55ba38e908aec0e5f43e95ae.pdf,,,1,138,No DOI available
Customer acceptance of mobile banking: A conceptual framework,"S Singh, V Srivastava, RK Srivastava - Sies journal of management, 2010 - siescoms.edu",2010,http://www.siescoms.edu/journals/siescoms/Journal4.pdf#page=57,http://www.siescoms.edu/journals/siescoms/Journal4.pdf#page=57,,,1,103,No DOI available
Localization in sensor networks,"J Bachrach, C Taylor - Handbook of sensor networks …, 2005 - Wiley Online Library",2005,https://onlinelibrary.wiley.com/doi/abs/10.1002/047174414X.ch9,https://people.eecs.berkeley.edu/~jrb/papers/localization-hosn-2005.pdf,,,1,396,No DOI available
The RUNES middleware: A reconfigurable component-based approach to networked embedded systems,"P Costa, G Coulson, C Mascolo… - … , Indoor and Mobile …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1651554/,http://discovery.ucl.ac.uk/5656/1/5656.pdf,,,1,134,No DOI available
