title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Tcot-a timeout-based mobile transaction commitment protocol,"V Kumar, N Prabhu, MH Dunham… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039846/,https://pdfs.semanticscholar.org/ea61/e731c1fe8598cc6a238ad25f7d9cc4bc8464.pdf,,,1,128,No DOI available
A mobile transaction model that captures both the data and movement behavior,"MH Dunham, A Helal, S Balakrishnan - Mobile Networks and Applications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1013672431080,http://jotm.objectweb.org/related/p149-dunham.pdf,,,1,298,No DOI available
Single action mobile transaction device,"DM Grigg, JF Tuders, PJ Bertanzetti… - US Patent …, 2014 - Google Patents",2014,https://patents.google.com/patent/US8666895B2/en,No PDF available,,,1,173,No DOI available
Mobile agents: Are they a good idea?,"D Chess, C Harrison, A Kershenbaum - International Workshop on Mobile …, 1996 - Springer",1996,https://link.springer.com/chapter/10.1007/3-540-62852-5_4,https://dokumente.unibw.de/pub/bscw.cgi/d1287515/chess95mobile.pdf,,,1,870,No DOI available
Payments and banking with mobile personal devices,"A Herzberg - Communications of the ACM, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=769801,https://www.researchgate.net/profile/Amir_Herzberg/publication/44268441_Payments_and_banking_with_mobile_personal_devices/links/0912f50ebb9d18addb000000.pdf,,,1,370,No DOI available
Mobile Agents: Are they a good idea?,"CG Harrison, DM Chess, A Kershenbaum - 1995 - pdfs.semanticscholar.org",1995,https://pdfs.semanticscholar.org/f810/278b24f66a226910e582d584951399d75b1c.pdf,https://pdfs.semanticscholar.org/f810/278b24f66a226910e582d584951399d75b1c.pdf,,,1,547,No DOI available
"Past, present and future of mobile payments research: A literature review","T Dahlberg, N Mallat, J Ondrus, A Zmijewska - … commerce research and …, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S1567422307000075,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.177.750&rep=rep1&type=pdf,,,1,689,No DOI available
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf,,,1,301,No DOI available
A timeout-based mobile transaction commitment protocol,"V Kumar - Current Issues in Databases and Information Systems, 2000 - Springer",2000,https://link.springer.com/chapter/10.1007/3-540-44472-6_28,"ftp://nozdr.ru/biblio/kolxo3/Cs/CsLn/C/Current%20Issues%20in%20Databases%20and%20Information%20Systems,%20ADBIS-DASFAA%202000(LNCS1884,%20Springer,%202000)(ISBN%203540679774)(408s)_CsLn_.pdf#page=351",,,1,33,No DOI available
Method And Apparatus For Completing A Transaction Using A Wireless Mobile Communication Channel And Another Communication Channel,"M Fisher, R Guha, S Pacheco - US Patent App. 11/467,441, 2007 - Google Patents",2007,https://patents.google.com/patent/US20070156436A1/en,No PDF available,,,1,181,No DOI available
System and method for mobile transactions using the bearer independent protocol,"S Goldthwaite, A Petrov, A Doudkine - US Patent 7,280,847, 2007 - Google Patents",2007,https://patents.google.com/patent/US7280847B2/en,No PDF available,,,1,115,No DOI available
