title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A survey of mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba - Distributed and Parallel …, 2004 - Springer",2004,https://link.springer.com/article/10.1023/B:DAPD.0000028552.69032.f9,https://hal.archives-ouvertes.fr/docs/00/41/56/04/PDF/PSerrano-Survey-Version_accepte_DAPD_2004_paperRev.pdf,,,1,129,No DOI available
Hicomo: High commit mobile transactions,"M Lee, S Helal - Distributed and Parallel Databases, 2002 - Springer",2002,https://link.springer.com/article/10.1023/A:1013381624108,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.4.9439&rep=rep1&type=pdf,,,1,52,No DOI available
Analyzing mobile transactions support for DBMS,"P Serrano-Alvarado, CL Roncancio… - Database and Expert …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/953124/,http://www.cs.ucf.edu/~kienhua/classes/COP6730/Mobile2.pdf,,,1,43,No DOI available
Effects on correlation between two mobile radio base-station antennas,"WCY Lee - IEEE Transactions on Vehicular Technology, 1973 - ieeexplore.ieee.org",1973,https://ieeexplore.ieee.org/abstract/document/1622173/,No PDF available,,,1,431,No DOI available
A mobile transaction model that captures both the data and movement behavior,"MH Dunham, A Helal, S Balakrishnan - Mobile Networks and Applications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1013672431080,http://jotm.objectweb.org/related/p149-dunham.pdf,,,1,298,No DOI available
The performance enhancement of multibeam adaptive base-station antennas for cellular land mobile radio systems,"SC Swales, MA Beach, DJ Edwards… - IEEE Transactions on …, 1990 - ieeexplore.ieee.org",1990,https://ieeexplore.ieee.org/abstract/document/54956/,https://research-information.bristol.ac.uk/files/2990552/swales_IEEE_TransVT_Feb%201990.pdf,,,1,549,No DOI available
Base station polarization diversity reception for mobile radio,"S Kozono, T Tsuruhara… - IEEE Transactions on …, 1984 - ieeexplore.ieee.org",1984,https://ieeexplore.ieee.org/abstract/document/1623221/,No PDF available,,,1,220,No DOI available
System and method for mobile transactions using the bearer independent protocol,"S Goldthwaite, A Petrov, A Doudkine - US Patent 7,280,847, 2007 - Google Patents",2007,https://patents.google.com/patent/US7280847B2/en,No PDF available,,,1,115,No DOI available
Pro-motion: Management of mobile transactions,"GD Walborn, PK Chrysanthis - … of the 1997 ACM symposium on Applied …, 1997 - dl.acm.org",1997,https://dl.acm.org/citation.cfm?id=331718,https://www.ht.sfc.keio.ac.jp/~ume/Paper/2PhaseRecoveryTransaction/Pro-Motion%23ManagementOfMobileTransaction.pdf,,,1,62,No DOI available
Polarization diversity system for mobile radio,"WCY Lee, Y Yeh - IEEE Transactions on Communications, 1972 - ieeexplore.ieee.org",1972,https://ieeexplore.ieee.org/abstract/document/1091263/,No PDF available,,,1,384,No DOI available
Rendezvous design algorithms for wireless sensor networks with a mobile base station,"G Xing, T Wang, W Jia, M Li - … ACM international symposium on Mobile …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1374650,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.437.6953&rep=rep1&type=pdf,,,1,332,No DOI available
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf,,,1,301,No DOI available
Empirical formula for propagation loss in land mobile radio services,"M Hata - IEEE transactions on Vehicular Technology, 1980 - ieeexplore.ieee.org",1980,https://ieeexplore.ieee.org/abstract/document/1622772/,No PDF available,,,1,3200,No DOI available
Mobile computing and databases: Anything new?,"MH Dunham, A Helal - Acm Sigmod Record, 1995 - dl.acm.org",1995,https://dl.acm.org/citation.cfm?id=219727,https://www.ime.usp.br/~weslley/cursos/redesMoveis/anythingnew.pdf,,,1,248,No DOI available
Mobile transactions using authorized tokens,"MA Calman - US Patent App. 13/553,511, 2014 - Google Patents",2014,https://patents.google.com/patent/US20140025581A1/en,No PDF available,,,1,62,No DOI available
Adaptive antennas at the mobile and base stations in an OFDM/TDMA system,"KK Wong, RSK Cheng, KB Letaief… - IEEE transactions on …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/898262/,http://discovery.ucl.ac.uk/13261/1/13261.pdf,,,1,316,No DOI available
Diversity antennas for base and mobile stations in land mobile communication systems,"Y YAMADA, K KAGOSHIMA… - IEICE Transactions on …, 1991 - search.ieice.org",1991,https://search.ieice.org/bin/summary.php?id=e74-b_10_3202,No PDF available,,,1,78,No DOI available
Polarization diversity in mobile communications,"RG Vaughan - IEEE Transactions on Vehicular Technology, 1990 - ieeexplore.ieee.org",1990,https://ieeexplore.ieee.org/abstract/document/130998/,No PDF available,,,1,500,No DOI available
Method and system to enable mobile transactions,"S Al-Sarawi - US Patent 7,424,303, 2008 - Google Patents",2008,https://patents.google.com/patent/US7424303B2/en,No PDF available,,,1,56,No DOI available
Context aware mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba, C Labbé - null, 2004 - computer.org",2004,https://www.computer.org/csdl/proceedings/mdm/2004/2070/00/20700167.pdf,https://www.computer.org/csdl/proceedings/mdm/2004/2070/00/20700167.pdf,,,1,11,No DOI available
Communication System And Method Using Visual Interfaces For Mobile Transactions,"E Helwin, T Kolly - US Patent App. 11/793,279, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080091616A1/en,No PDF available,,,1,52,No DOI available
"Operating system having external media layer, workflow layer, internal media layer, and knowledge base for routing media events between transactions","CCM Beck, JM Berke, JA Johnstone… - US Patent …, 2000 - Google Patents",2000,https://patents.google.com/patent/US6108711A/en,No PDF available,,,1,374,No DOI available
Mobile propagation loss and delay spread characteristics with a low base station antenna on an urban road,"S Kozono, A Taguchi - … Transactions on vehicular technology, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/192393/,No PDF available,,,1,73,No DOI available
A timestamp-based optimistic concurrency control for handling mobile transactions,"HJ Choi, BS Jeong - … Conference on Computational Science and Its …, 2006 - Springer",2006,https://link.springer.com/10.1007%2F11751588_83,No PDF available,,,1,37,No DOI available
Examining trust in mobile banking transactions: The case of M-PESA in Kenya,"O Morawczynski, G Miscione - IFIP International Conference on Human …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-0-387-84822-8_19,https://link.springer.com/content/pdf/10.1007/978-0-387-84822-8_19.pdf,,,1,119,No DOI available
A dynamic authentication scheme for mobile transactions,"B Sathish Babu, P Venkataram - International Journal of Netwok Security, 2009 - Citeseer",2009,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.155.4468&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.155.4468&rep=rep1&type=pdf,,,1,37,No DOI available
Distributing authorized tokens to conduct mobile transactions,"MA Calman - US Patent App. 13/553,423, 2014 - Google Patents",2014,https://patents.google.com/patent/US20140025585A1/en,No PDF available,,,1,45,No DOI available
Interactive system for and method of performing financial transactions from a user base,"PH Nel - US Patent 6,363,364, 2002 - Google Patents",2002,https://patents.google.com/patent/US6363364B1/en,No PDF available,,,1,86,No DOI available
System and method of facilitating contactless payment transactions across different payment systems using a common mobile device acting as a stored value device,"P Staib, J Helm, T Renard - US Patent App. 10/940,939, 2005 - Google Patents",2005,https://patents.google.com/patent/US20050222961A1/en,No PDF available,,,1,338,No DOI available
Mobile communications and mobile services,"K Siau, Z Shen - International Journal of Mobile Communications, 2003 - researchgate.net",2003,https://www.researchgate.net/profile/Keng_Siau/publication/220474832_Mobile_Communications_and_Mobile_Services/links/5a94f14c0f7e9ba42970de1b/Mobile-Communications-and-Mobile-Services.pdf,https://www.researchgate.net/profile/Keng_Siau/publication/220474832_Mobile_Communications_and_Mobile_Services/links/5a94f14c0f7e9ba42970de1b/Mobile-Communications-and-Mobile-Services.pdf,,,1,319,No DOI available
Image base inquiry system for search engines for mobile telephones with integrated camera,"H Neven Sr - US Patent 8,421,872, 2013 - Google Patents",2013,https://patents.google.com/patent/US8421872B2/en,No PDF available,,,1,398,No DOI available
