title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A survey of mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba - Distributed and Parallel …, 2004 - Springer",2004,https://link.springer.com/article/10.1023/B:DAPD.0000028552.69032.f9,https://hal.archives-ouvertes.fr/docs/00/41/56/04/PDF/PSerrano-Survey-Version_accepte_DAPD_2004_paperRev.pdf,,,1,128,No DOI available
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf,,,1,301,No DOI available
Transaction processing in mobile computing environment,"PK Chrysanthis - Advances in Parallel and Distributed Systems …, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/588792/,https://www.computer.org/csdl/proceedings/apads/1993/5250/00/00588792.pdf,,,1,241,No DOI available
Isolation-only transactions for mobile computing,"Q Lu, M Satyanaranyanan - ACM SIGOPS Operating Systems Review, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=198164,http://www-2.cs.cmu.edu/afs/cs/project/coda-www/ResearchWebPages/docdir/osriot94.pdf,,,1,102,No DOI available
A mobile transaction model that captures both the data and movement behavior,"MH Dunham, A Helal, S Balakrishnan - Mobile Networks and Applications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1013672431080,http://jotm.objectweb.org/related/p149-dunham.pdf,,,1,298,No DOI available
Analyzing mobile transactions support for DBMS,"P Serrano-Alvarado, CL Roncancio… - Database and Expert …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/953124/,http://www.cs.ucf.edu/~kienhua/classes/COP6730/Mobile2.pdf,,,1,43,No DOI available
Maintaining consistency of data in mobile distributed environments,"E Pitoura, B Bhargava - … of the 15th International Conference on, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/500045/,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2126&context=cstech,,,1,282,No DOI available
Improving data consistency in mobile computing using isolation-only transactions,"Q Lu, M Satyanarayanan - Hot Topics in Operating Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/513467/,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA293110,,,1,91,No DOI available
Location dependent data and its management in mobile databases,"MH Dunham, V Kumar - Database and Expert Systems …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/707433/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.25.6708&rep=rep1&type=pdf,,,1,152,No DOI available
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1227&context=comsci_facwork,,,1,86,No DOI available
Pro-motion: Management of mobile transactions,"GD Walborn, PK Chrysanthis - … of the 1997 ACM symposium on Applied …, 1997 - dl.acm.org",1997,https://dl.acm.org/citation.cfm?id=331718,https://www.ht.sfc.keio.ac.jp/~ume/Paper/2PhaseRecoveryTransaction/Pro-Motion%23ManagementOfMobileTransaction.pdf,,,1,62,No DOI available
Supporting semantics-based transaction processing in mobile database applications,"GD Walborn, PK Chrysanthis - Reliable Distributed Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/518721/,https://www.researchgate.net/profile/Panos_Chrysanthis/publication/2622532_Supporting_Semantics-Based_Transaction_Processing_in_Mobile_Database_Applications/links/564b94d308ae4ae893b7ea90/Supporting-Semantics-Based-Transaction-Processing-in-Mobile-Database-Applications.pdf,,,1,161,No DOI available
Revising transaction concepts for mobile computing,"E Pitoura, B Bhargava - Mobile Computing Systems and …, 1994 - ieeexplore.ieee.org",1994,https://ieeexplore.ieee.org/abstract/document/513477/,http://jotm.objectweb.org/related/mobile94.pdf,,,1,104,No DOI available
A timestamp-based optimistic concurrency control for handling mobile transactions,"HJ Choi, BS Jeong - … Conference on Computational Science and Its …, 2006 - Springer",2006,https://link.springer.com/10.1007%2F11751588_83,No PDF available,,,1,37,No DOI available
Building customer trust in mobile commerce,"K Siau, Z Shen - Communications of the ACM, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=641211,http://www.academia.edu/download/22459142/p91-siau.pdf,,,1,712,No DOI available
A pre‐serialization transaction management technique for mobile multidatabases,"RA Dirckze, L Gruenwald - Mobile Networks and Applications, 2000 - Springer",2000,https://link.springer.com/article/10.1023/A:1019133317760,http://www.cs.ou.edu/~database/documents/dg00.pdf,,,1,88,No DOI available
Hicomo: High commit mobile transactions,"M Lee, S Helal - Distributed and Parallel Databases, 2002 - Springer",2002,https://link.springer.com/article/10.1023/A:1013381624108,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.4.9439&rep=rep1&type=pdf,,,1,52,No DOI available
A transaction model to improve data availability in mobile computing,"SK Madria, B Bhargava - Distributed and Parallel Databases, 2001 - Springer",2001,https://link.springer.com/article/10.1023/A:1019232412740,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/transactions/DPD_01_transaction_model_improve_data_availability.pdf,,,1,97,No DOI available
System and method for maintaining transaction cache consistency in mobile computing environment,"S Lee - US Patent App. 10/613,936, 2004 - Google Patents",2004,https://patents.google.com/patent/US20040085980A1/en,No PDF available,,,1,41,No DOI available
Mobile computing and databases-a survey,"D Barbará - IEEE transactions on Knowledge and Data …, 1999 - ieeexplore.ieee.org",1999,https://ieeexplore.ieee.org/abstract/document/755619/,http://lsirwww.epfl.ch/courses/dis/2002ws/papers/barbara99mobile.pdf,,,1,603,No DOI available
Replication and consistency: Being lazy helps sometimes,"Y Breitbart, HF Korth - Proceedings of the sixteenth ACM SIGACT …, 1997 - dl.acm.org",1997,https://dl.acm.org/citation.cfm?id=263681,No PDF available,,,1,158,No DOI available
Data consistency in intermittently connected distributed systems,"E Pitoura, B Bhargava - IEEE Transactions on Knowledge & Data …, 1999 - computer.org",1999,https://www.computer.org/csdl/trans/tk/1999/06/k0896.pdf,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/invalidation/ieee_tkde99_data_consistency_pitoura.pdf,,,1,166,No DOI available
Fundamental challenges in mobile computing,"M Satyanarayanan - Proceedings of the fifteenth annual ACM …, 1996 - dl.acm.org",1996,https://dl.acm.org/citation.cfm?id=248053,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA306271,,,1,1077,No DOI available
Efficient validation of mobile transactions in wireless environments,"VCS Lee, KW Lam, TW Kuo - Journal of Systems and Software, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S0164121203000840,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall06/papers/transactions/JSS_04_validation_mobile_transactions.pdf,,,1,48,No DOI available
Experience with disconnected operation in a mobile computing environment,"M Satyanarayanan, JJ Kistler, LB Mummert… - Mobile Computing, 1993 - Springer",1993,https://link.springer.com/chapter/10.1007/978-0-585-29603-6_20,https://www.usenix.org/legacy/publications/library/proceedings/mobile93/full_papers/satyanarayanan.txt,,,1,225,No DOI available
An approach for mobile agent security and fault tolerance using distributed transactions,"H Vogler, T Kunkelmann… - Parallel and Distributed …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/652560/,http://www.vs.inf.ethz.ch/publ/papers/MaluApproachMobSec.pdf,,,1,75,No DOI available
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://www.eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf,,,1,124,No DOI available
The impact of perceptions of interactivity on customer trust and transaction intentions in mobile commerce,"TM Lee - Journal of Electronic Commerce Research, 2005 - jecr.org",2005,http://www.jecr.org/sites/default/files/06_3_p01.pdf,http://www.jecr.org/sites/default/files/06_3_p01.pdf,,,1,412,No DOI available
XML-based representation of mobile process calculi,"LG Meredith - US Patent 6,516,322, 2003 - Google Patents",2003,https://patents.google.com/patent/US6516322B1/en,No PDF available,,,1,191,No DOI available
An assessment of value creation in mobile service delivery and the moderating role of time consciousness,"M Kleijnen, K De Ruyter, M Wetzels - Journal of retailing, 2007 - Elsevier",2007,https://www.sciencedirect.com/science/article/pii/S0022435906000662,http://digitalarchive.maastrichtuniversity.nl/fedora/get/guid:088391ec-d7fb-4585-9a17-b7c540be21b1/ASSET1,,,1,647,No DOI available
Transaction processing in PRO-MOTION,"GD Walborn, PK Chrysanthis - … of the 1999 ACM symposium on Applied …, 1999 - dl.acm.org",1999,https://dl.acm.org/citation.cfm?id=298393,https://www.researchgate.net/profile/Panos_Chrysanthis/publication/251204548_Transaction_processing_in_PROMOTION/links/564b94c208ae3374e5ddc21b/Transaction-processing-in-PROMOTION.pdf,,,1,95,No DOI available
Method for providing user-apparent consistency in a wireless device,"D Fishman, G Buzzard, H Wolters, S Mukherjea… - US Patent …, 2006 - Google Patents",2006,https://patents.google.com/patent/US7117266B2/en,No PDF available,,,1,160,No DOI available
Broadcast of consistent data to read-only transactions from mobile clients,"KY Lam, MW Au, E Chan - wmcsa, 1999 - computer.org",1999,https://www.computer.org/csdl/proceedings/wmcsa/1999/0025/00/00250080.pdf,http://www.dpi.ufv.br/~nacif/cmovel/lam.pdf,,,1,56,No DOI available
