title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Perspectives on the CAP Theorem,"S Gilbert, NA Lynch - Computer, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/iel5/2/5306045/06122006.pdf,https://dspace.mit.edu/openaccess-disseminate/1721.1/79112,,,1,61,No DOI available
The magazine archive includes every article published in Communications of the ACM for over the past 50 years.,"M Stonebraker - Communications of the ACM, 2011 - m.cacm.acm.org",2011,https://m.cacm.acm.org/magazines/2011/6/108651-10-rules-for-scalable-performance-in-simple-operation-datastores/fulltext,https://m.cacm.acm.org/magazines/2011/6/108651-10-rules-for-scalable-performance-in-simple-operation-datastores/fulltext,,,1,535,No DOI available
Reliable consumption of web services in a mobile-cloud ecosystem using REST,"RK Lomotey, R Deters - Service Oriented System Engineering …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6525500/,No PDF available,,,1,25,No DOI available
Distributed systems,"J Coulouris, P Wesley - user.it.uu.se",No year available,http://user.it.uu.se/~justin/Teaching/DS/Slides/lecture1.pdf,http://user.it.uu.se/~justin/Teaching/DS/Slides/lecture1.pdf,,,1,34,No DOI available
The cap theorem versus databases with relaxed acid properties,"L Frank, RU Pedersen, CH Frank… - Proceedings of the 8th …, 2014 - dl.acm.org",2014,https://dl.acm.org/citation.cfm?id=2557981,No PDF available,,,1,7,No DOI available
Towards robust distributed systems,"EA Brewer - PODC, 2000 - awoc.wolski.fi",2000,http://awoc.wolski.fi/dlib/big-data/Brewer_podc_keynote_2000.pdf,http://awoc.wolski.fi/dlib/big-data/Brewer_podc_keynote_2000.pdf,,,1,1228,No DOI available
Cap and cloud data management,"R Ramakrishnan - Computer, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6122007/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.467.2703&rep=rep1&type=pdf,,,1,29,No DOI available
NoSQL databases: a step to database scalability in web environment,"J Pokorny - International Journal of Web Information Systems, 2013 - emeraldinsight.com",2013,https://www.emeraldinsight.com/doi/full/10.1108/17440081311316398,http://www.academia.edu/download/35845818/IJWIS2013a.pdf,,,1,311,No DOI available
Prioritized planning algorithms for trajectory coordination of multiple mobile robots,"M Čáp, P Novák, A Kleiner… - IEEE transactions on …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/iel7/8856/4358066/07138650.pdf,https://arxiv.org/pdf/1409.2399,,,1,44,No DOI available
CAP Theorem between Claims and Misunderstandings: What is to be Sacrificed,"BW Diack, S Ndiaye, Y Slimani - International Journal of …, 2013 - pdfs.semanticscholar.org",2013,https://pdfs.semanticscholar.org/da09/4277db85e5468444a0efe08dcc4a7179631c.pdf,https://pdfs.semanticscholar.org/da09/4277db85e5468444a0efe08dcc4a7179631c.pdf,,,1,8,No DOI available
A Critique of the CAP Theorem,"M Kleppmann - arXiv preprint arXiv:1509.05393, 2015 - arxiv.org",1509,https://arxiv.org/abs/1509.05393,https://arxiv.org/pdf/1509.05393,,,1,9,No DOI available
Supporting N-screen medical data access in mHealth,"RK Lomotey, R Deters - Healthcare Informatics (ICHI), 2013 …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6680482/,No PDF available,,,1,9,No DOI available
Incorporating NoSQL into a database course,"A Sattar, T Lorenzen, K Nallamaddi - acm Inroads, 2013 - dl.acm.org",2013,https://dl.acm.org/citation.cfm?id=2465100,No PDF available,,,1,14,No DOI available
Trajectory tracking control of nonholonomic wheeled mobile robots with slipping on curvilinear coordinates: a singular perturbation approach,"CAP Fernández, JJF Cerqueira… - 20th Brazilian Congress of …, 2014 - swge.inf.br",2014,http://www.swge.inf.br/CBA2014/anais/PDF/1569934841.pdf,http://www.swge.inf.br/CBA2014/anais/PDF/1569934841.pdf,,,1,4,No DOI available
Autonomous transaction processing using data dependency in mobile environments,"IY Chung, B Bhargava, M Mahoui, L Lilien - null, 2003 - computer.org",2003,https://www.computer.org/csdl/proceedings/ftdcs/2003/1910/00/19100138.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.158.9685&rep=rep1&type=pdf,,,1,25,No DOI available
Control of nonholonomic mobile bases supported by measuring of the slipping and skidding variations,"CAP Fernández, JJF Cerqueira… - Robotics: SBR-LARS …, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/7024280/,No PDF available,,,1,4,No DOI available
Applying big-data technologies to network architecture,"M Matti, T Kvernvik - Ericsson Review, 2012 - pdfs.semanticscholar.org",2012,https://pdfs.semanticscholar.org/f374/a0d1625234eb49ac4ca8abd26e469fe15b13.pdf,https://pdfs.semanticscholar.org/f374/a0d1625234eb49ac4ca8abd26e469fe15b13.pdf,,,1,19,No DOI available
The anatomy of big data computing,"R Kune, PK Konugurthi, A Agarwal… - Software: Practice …, 2016 - Wiley Online Library",2016,https://onlinelibrary.wiley.com/doi/full/10.1002/spe.2374,https://arxiv.org/pdf/1509.01331,,,1,76,No DOI available
BASE analysis of NoSQL database,"DG Chandra - Future Generation Computer Systems, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S0167739X15001788,No PDF available,,,1,29,No DOI available
Mobile event-oriented digital ecosystem,"R Kazi, R Deters - … ), 2012 6th IEEE International Conference on, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6227919/,No PDF available,,,1,3,No DOI available
SQL Versus NoSQL movement with big data analytics,"KF Sitalakshmi Venkatraman, S Kaspi… - … and Computer Science, 2016 - mecs-press.org",2016,http://www.mecs-press.org/ijitcs/ijitcs-v8-n12/v8n12-7.html,http://www.mecs-press.org/ijitcs/ijitcs-v8-n12/IJITCS-V8-N12-7.pdf,,,1,9,No DOI available
Trajectory tracking control of an omnidirectional wheeled mobile robot with slip and deformation: a singular perturbation approach,"CAP Fernández, JJF Cerqueira… - 20th Brazilian Congress of …, 2014 - swge.inf.br",2014,http://www.swge.inf.br/CBA2014/anais/PDF/1569935281.pdf,http://www.swge.inf.br/CBA2014/anais/PDF/1569935281.pdf,,,1,2,No DOI available
