title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
System and method of making payments using an electronic device cover with embedded transponder,"TW Zalewski, MC Pennington, RC Roberts… - US Patent …, 2006 - Google Patents",2006,https://patents.google.com/patent/US7155199B2/en,No PDF available,,,1,349,No DOI available
"Embedded secure element for authentication, storage and transaction within a mobile terminal","C Tremlet - US Patent 9,436,940, 2016 - Google Patents",2016,https://patents.google.com/patent/US9436940B2/en,No PDF available,,,1,48,No DOI available
Understanding dynamics between initial trust and usage intentions of mobile banking,"G Kim, BS Shin, HG Lee - Information Systems Journal, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00269.x,http://www.academia.edu/download/51114879/j.1365-2575.2007.00269.x20161229-29269-12pcac2.pdf,,,1,575,No DOI available
Methods of operating a reservation system using electronic device cover with embedded transponder,"TW Zalewski, MC Pennington, RC Roberts… - US Patent …, 2006 - Google Patents",2006,https://patents.google.com/patent/US7133659B2/en,No PDF available,,,1,99,No DOI available
Socially embedded consumer transactions: for what kinds of purchases do people most often use networks?,"P DiMaggio, H Louch - American sociological review, 1998 - JSTOR",1998,https://www.jstor.org/stable/2657331,http://gss.norc.org/Documents/reports/topical-reports/TR30%20Socially%20Embedded%20Consumer%20Transactions.pdf,,,1,827,No DOI available
Electronic device cover with embedded radio frequency (RF) transponder and methods of using same,"TW Zalewski, MC Pennington, RC Roberts… - US Patent …, 2004 - Google Patents",2004,https://patents.google.com/patent/US6771981B1/en,No PDF available,,,1,341,No DOI available
A survey on sensor localization,"J Wang, RK Ghosh, SK Das - Journal of Control Theory and Applications, 2010 - Springer",2010,https://link.springer.com/article/10.1007/s11768-010-9187-7,https://www.researchgate.net/profile/Ratan_Ghosh2/publication/226978132_A_survey_on_sensor_localization/links/02e7e534ea0e6a0fbe000000.pdf,,,1,273,No DOI available
Security in embedded systems: Design challenges,"S Ravi, A Raghunathan, P Kocher… - ACM Transactions on …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1015049,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.83.586&rep=rep1&type=pdf,,,1,533,No DOI available
Collaborative negotiation techniques for mobile personal trusted device financial transactions,"JM Fernandes, MA Khan, K Brown - US Patent 7,494,055, 2009 - Google Patents",2009,https://patents.google.com/patent/US7494055B2/en,No PDF available,,,1,391,No DOI available
Controllably mobile infrastructure for low energy embedded networks,"AA Somasundara, A Kansal, DD Jea… - IEEE Transactions …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1644743/,No PDF available,,,1,466,No DOI available
An assessment of value creation in mobile service delivery and the moderating role of time consciousness,"M Kleijnen, K De Ruyter, M Wetzels - Journal of retailing, 2007 - Elsevier",2007,https://www.sciencedirect.com/science/article/pii/S0022435906000662,http://digitalarchive.maastrichtuniversity.nl/fedora/get/guid:088391ec-d7fb-4585-9a17-b7c540be21b1/ASSET1,,,1,646,No DOI available
An embedded real-time finger-vein recognition system for mobile devices,"Z Liu, S Song - IEEE Transactions on consumer Electronics, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6227456/,http://pgembeddedsystems.com/securelogin/upload/project/IEEE/1/pg2012-2013e10/06227456.pdf,,,1,82,No DOI available
