title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A survey of mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba - Distributed and Parallel …, 2004 - Springer",2004,https://link.springer.com/article/10.1023/B:DAPD.0000028552.69032.f9,https://hal.archives-ouvertes.fr/docs/00/41/56/04/PDF/PSerrano-Survey-Version_accepte_DAPD_2004_paperRev.pdf,,,1,129,No DOI available
Isolation-only transactions for mobile computing,"Q Lu, M Satyanaranyanan - ACM SIGOPS Operating Systems Review, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=198164,http://www-2.cs.cmu.edu/afs/cs/project/coda-www/ResearchWebPages/docdir/osriot94.pdf,,,1,102,No DOI available
Improving data consistency in mobile computing using isolation-only transactions,"Q Lu, M Satyanarayanan - Hot Topics in Operating Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/513467/,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA293110,,,1,91,No DOI available
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1227&context=comsci_facwork,,,1,86,No DOI available
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://www.eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf,,,1,124,No DOI available
A transaction model to improve data availability in mobile computing,"SK Madria, B Bhargava - Distributed and Parallel Databases, 2001 - Springer",2001,https://link.springer.com/article/10.1023/A:1019232412740,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/transactions/DPD_01_transaction_model_improve_data_availability.pdf,,,1,97,No DOI available
TRM-IoT: A trust management model based on fuzzy reputation for internet of things,"D Chen, G Chang, D Sun, J Li, J Jia… - Computer Science and …, 2011 - doiserbia.nb.rs",2011,http://www.doiserbia.nb.rs/ft.aspx?id=1820-02141100056C,http://www.doiserbia.nb.rs/ft.aspx?id=1820-02141100056C,,,1,296,No DOI available
"A survey of mobile cloud computing: architecture, applications, and approaches","HT Dinh, C Lee, D Niyato… - … and mobile computing, 2013 - Wiley Online Library",2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/wcm.1203,https://onlinelibrary.wiley.com/doi/full/10.1002/wcm.1203,,,1,1825,No DOI available
Mobile computing and databases-a survey,"D Barbará - IEEE transactions on Knowledge and Data …, 1999 - ieeexplore.ieee.org",1999,https://ieeexplore.ieee.org/abstract/document/755619/,http://lsirwww.epfl.ch/courses/dis/2002ws/papers/barbara99mobile.pdf,,,1,603,No DOI available
Resource conservation in a mobile transaction system,"Q Lu, M Satyanarayanan - IEEE Transactions on Computers, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/580426/,No PDF available,,,1,16,No DOI available
"On iot-services: Survey, classification and enterprise integration","M Thoma, S Meyer, K Sperner… - Green Computing …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6468323/,No PDF available,,,1,68,No DOI available
A framework for analyzing mobile transaction models,"R Hirsch, A Coratella, M Felder… - Journal of Database …, 2001 - igi-global.com",2001,https://www.igi-global.com/article/journal-database-management-jdm/3267,No PDF available,,,1,20,No DOI available
Ontologies for the transactions on IoT,"C Qu, F Liu, M Tao - International Journal of Distributed …, 2015 - journals.sagepub.com",2015,http://journals.sagepub.com/doi/abs/10.1155/2015/934541,http://journals.sagepub.com/doi/pdf/10.1155/2015/934541,,,1,13,No DOI available
Data management for mobile computing on the Internet,"R Tewari, P Grillo - Proceedings of the 1995 ACM 23rd annual …, 1995 - dl.acm.org",1995,https://dl.acm.org/citation.cfm?id=259562,No PDF available,,,1,16,No DOI available
Client-server computing in mobile environments,"J Jing, AS Helal, A Elmagarmid - ACM computing surveys (CSUR), 1999 - dl.acm.org",1999,https://dl.acm.org/citation.cfm?id=319814,http://homes.dico.unimi.it/~cazzola/didattica/sistemi_distribuiti/jing_et_al.-cs_mobile.pdf,,,1,566,No DOI available
