title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Rayleigh fading compensation for QAM in land mobile radio communications,"S Sampei, T Sunaga - … Transactions on Vehicular Technology, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/211451/,No PDF available,,,1,359,No DOI available
Tcot-a timeout-based mobile transaction commitment protocol,"V Kumar, N Prabhu, MH Dunham… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039846/,https://pdfs.semanticscholar.org/ea61/e731c1fe8598cc6a238ad25f7d9cc4bc8464.pdf,,,1,128,No DOI available
XML-based representation of mobile process calculi,"LG Meredith - US Patent 6,516,322, 2003 - Google Patents",2003,https://patents.google.com/patent/US6516322B1/en,No PDF available,,,1,191,No DOI available
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://www.eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf,,,1,124,No DOI available
Conducting an online payment transaction using an NFC enabled mobile communication device,"M Fisher - US Patent 8,352,323, 2013 - Google Patents",2013,https://patents.google.com/patent/US8352323B2/en,No PDF available,,,1,330,No DOI available
Understanding dynamics between initial trust and usage intentions of mobile banking,"G Kim, BS Shin, HG Lee - Information Systems Journal, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00269.x,http://www.academia.edu/download/51114879/j.1365-2575.2007.00269.x20161229-29269-12pcac2.pdf,,,1,576,No DOI available
Method and system providing advertisement using tone of ringing sounds of mobile phone and commerical transaction service in association with the same,"D Kim - US Patent App. 10/220,859, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030050837A1/en,No PDF available,,,1,363,No DOI available
A transaction model to improve data availability in mobile computing,"SK Madria, B Bhargava - Distributed and Parallel Databases, 2001 - Springer",2001,https://link.springer.com/article/10.1023/A:1019232412740,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/transactions/DPD_01_transaction_model_improve_data_availability.pdf,,,1,97,No DOI available
Nested commits for mobile calculi: extending Join,"R Bruni, H Melgratti, U Montanari - Exploring New Frontiers of Theoretical …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/1-4020-8141-3_43,https://link.springer.com/content/pdf/10.1007/1-4020-8141-3_43.pdf,,,1,62,No DOI available
Method of distributing information via mobile devices and enabling its use at a point of transaction,"V Bemmel, R Van Tuyl, N Nguyen - US Patent App. 11/873,133, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080097851A1/en,No PDF available,,,1,219,No DOI available
Authentication for a commercial transaction using a mobile module,"BE Johnson, C Webster-Lam - US Patent 8,996,423, 2015 - Google Patents",2015,https://patents.google.com/patent/US8996423B2/en,No PDF available,,,1,192,No DOI available
Transaction management for m-commerce at a mobile terminal,"J Veijalainen, V Terziyan, H Tirri - Electronic Commerce Research and …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1567422306000135,https://www.computer.org/csdl/proceedings/hicss/2003/1874/03/187430089a.pdf,,,1,78,No DOI available
System and method for facilitating electronic financial transactions using a mobile telecommunication device,"G Leung, R Lee, K Cheng, P Chui, A Mitchell… - US Patent …, 2008 - Google Patents",2008,https://patents.google.com/patent/US7379920B2/en,No PDF available,,,1,164,No DOI available
Single tap transactions using an NFC enabled mobile device,"M Fisher - US Patent 8,332,272, 2012 - Google Patents",2012,https://patents.google.com/patent/US8332272B2/en,No PDF available,,,1,218,No DOI available
Presentation of sponsored content based on mobile transaction event,"J Ramer, A Soroca, D Doughty - US Patent 7,702,318, 2010 - Google Patents",2010,https://patents.google.com/patent/US7702318B2/en,No PDF available,,,1,204,No DOI available
Mobile telephone transaction systems and methods,"DJ Pharris - US Patent App. 12/412,235, 2009 - Google Patents",2009,https://patents.google.com/patent/US20090281904A1/en,No PDF available,,,1,159,No DOI available
Social Media Marketing Based on Transactions Using a Mobile Device and Associated Secure Element,"M Fisher - US Patent App. 13/195,055, 2012 - Google Patents",2012,https://patents.google.com/patent/US20120029990A1/en,No PDF available,,,1,74,No DOI available
Modeling and compensation of the dynamic interaction of a mobile manipulator,"Y Yamamoto, X Yun - Robotics and Automation, 1994 …, 1994 - ieeexplore.ieee.org",1994,https://ieeexplore.ieee.org/abstract/document/350960/,https://pdfs.semanticscholar.org/c3f8/95ac8a58164de18e90b5a62157122f0061e7.pdf,,,1,88,No DOI available
Consumer transaction-based marketing of goods and services,"L Napier, S Graham - US Patent App. 10/607,677, 2004 - Google Patents",2004,https://patents.google.com/patent/US20040199422A1/en,No PDF available,,,1,148,No DOI available
Mobile transaction system and method,"K Adam, S Blit, A Eckstein, B Inbal - US Patent App. 10/030,763, 2002 - Google Patents",2002,https://patents.google.com/patent/US20020181710A1/en,No PDF available,,,1,95,No DOI available
Mobile phone with electronic transaction card,"SG Narendra, P Tadepalli, TN Spitzer - US Patent 7,828,214, 2010 - Google Patents",2010,https://patents.google.com/patent/US7828214B2/en,No PDF available,,,1,113,No DOI available
