title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
System for the tracking and management of transactions in a pit area of a gaming establishment,"JM Strisower - US Patent 5,809,482, 1998 - Google Patents",1998,https://patents.google.com/patent/US5809482A/en,No PDF available,,,1,274,No DOI available
Optimal portfolio management with transactions costs and capital gains taxes,H Leland - 1999 - papers.ssrn.com,1999,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=206871,https://cloudfront.escholarship.org/dist/prd/content/qt0fw6k0hm/qt0fw6k0hm.pdf,,,1,76,No DOI available
GATE: A Geant4-based simulation platform for PET and SPECT integrating movement and time management,"G Santin, D Strul, D Lazaro, L Simon… - IEEE Transactions …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1236960/,http://hal.in2p3.fr/in2p3-00012854/document,,,1,207,No DOI available
The unethical exploitation of shareholders in management buyout transactions,"FP Schadler, JE Karns - Journal of Business Ethics, 1990 - Springer",1990,https://link.springer.com/article/10.1007/BF00383215,No PDF available,,,1,35,No DOI available
Distributed lock management for mobile transactions,"J Jing, O Bukhres, A Elmagarmid - … Computing Systems, 1995 …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/500010/,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2171&context=cstech,,,1,112,No DOI available
A public management for all seasons?,"C Hood - Public administration, 1991 - Wiley Online Library",1991,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9299.1991.tb00779.x,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.461.715&rep=rep1&type=pdf,,,1,11328,No DOI available
Movement-based mobility management and trade off analysis for wireless mobile networks,"Y Fang - IEEE Transactions on Computers, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204834/,No PDF available,,,1,128,No DOI available
A survey of mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba - Distributed and Parallel …, 2004 - Springer",2004,https://link.springer.com/article/10.1023/B:DAPD.0000028552.69032.f9,https://hal.archives-ouvertes.fr/docs/00/41/56/04/PDF/PSerrano-Survey-Version_accepte_DAPD_2004_paperRev.pdf,,,1,129,No DOI available
International supply chain management,"JB Houlihan - … of physical distribution & materials management, 1985 - emeraldinsight.com",1985,https://www.emeraldinsight.com/doi/abs/10.1108/eb014601,No PDF available,,,1,1348,No DOI available
Hotel operator motives in UK sale and leaseback/management-back transactions,"C Whittaker - International Journal of Hospitality Management, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0278431907000801,No PDF available,,,1,23,No DOI available
Financial institutions management,"A Saunders, HAL Thomas - 1997 - deerper.com",1997,http://deerper.com/financial-institutions-management-lange.pdf,No PDF available,,,1,1165,No DOI available
Movement patterns of stream fishes in a Ouachita Highlands stream: an examination of the restricted movement paradigm,"EB Smithson, CE Johnston - Transactions of the American …, 1999 - Wiley Online Library",1999,https://onlinelibrary.wiley.com/doi/abs/10.1577/1548-8659(1999)128%3C0847:MPOSFI%3E2.0.CO2,https://www.fs.usda.gov/treesearch/pubs/download/1357.pdf,,,1,117,No DOI available
"Movement patterns of stream‐resident cutthroat trout in Beaver Creek, Idaho–Utah","RH Hilderbrand, JL Kershner - Transactions of the American …, 2000 - Wiley Online Library",2000,https://onlinelibrary.wiley.com/doi/abs/10.1577/1548-8659(2000)129%3C1160:MPOSRC%3E2.0.CO2,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.595.4269&rep=rep1&type=pdf,,,1,113,No DOI available
"Chemical Transport from Coastal Plain Soils Under Simulated Rainfall: L Surface Runoff, Percolation, Nitrate, and Phosphate Movement","RK Hubbard, RG Williams… - Transactions of the …, 1989 - elibrary.asabe.org",1989,https://elibrary.asabe.org/abstract.asp?aid=31140,No PDF available,,,1,36,No DOI available
PREFLO: A water management model capable of simulating preferential flow,"SR Workman, RW Skaggs - Transactions of the ASAE, 1990 - elibrary.asabe.org",1990,https://elibrary.asabe.org/abstract.asp?aid=31562,No PDF available,,,1,49,No DOI available
Organized and informal recycling: social movements contributing to sustainability,"J Gutberlet - Transactions on Ecology and the Environment, 2008 - books.google.com",2008,https://books.google.de/books?hl=de&lr=&id=LAnQCwAAQBAJ&oi=fnd&pg=PA223&dq=Movement+management+AND+transactions&ots=_8-_bRw087&sig=l3eP85hhP1uwNa7KOBvJ1ZZRXBo,https://www.witpress.com/Secure/elibrary/papers/WM08/WM08024FU1.pdf,,,1,16,No DOI available
Voluntary disclosures and insider transactions,"CF Noe - Journal of Accounting and Economics, 1999 - Elsevier",1999,https://www.sciencedirect.com/science/article/pii/S0165410199000142,No PDF available,,,1,427,No DOI available
