title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Method and apparatus for providing secure connectivity in mobile and other intermittent computing environments,"E Sturniolo, A Stavens, J Savarese - US Patent 7,882,247, 2011 - Google Patents",2011,https://patents.google.com/patent/US7882247B2/en,No PDF available,,,1,366,No DOI available
Making distributed transactions resilient to intermittent network connections,"N Santos, P Ferreira - … Symposium on on World of Wireless, Mobile and …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1139468,https://www.researchgate.net/profile/Paulo_Ferreira13/publication/221567295_Making_Distributed_Transactions_Resilient_to_Intermittent_Network_Connections/links/0deec518829a58f585000000/Making-Distributed-Transactions-Resilient-to-Intermittent-Network-Connections.pdf,,,1,11,No DOI available
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf,,,1,301,No DOI available
On the design of perturbation-resilient atomic commit protocols for mobile transactions,"B Ayari, A Khelil, N Suri - ACM Transactions on Computer Systems …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2003691,https://www.tk.informatik.tu-darmstadt.de/fileadmin/user_upload/GROUP_DEEDS/Publications/Publication/ayari_acmtocs_2011.pdf,,,1,10,No DOI available
Coverage and connectivity issues in wireless sensor networks,"A Ghosh, SK Das - Mobile, wireless, and sensor networks …, 2005 - Wiley Online Library",2005,https://onlinelibrary.wiley.com/doi/abs/10.1002/0471755591.ch9,http://anrg.usc.edu/~amitabhag/papers/BookChapter-CoverageConnectivity-2006.pdf,,,1,90,No DOI available
Resilient and decentralized control of multi-level cooperative mobile networks to maintain connectivity under adversarial environment,"J Chen, Q Zhu - Decision and Control (CDC), 2016 IEEE 55th …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7799062/,https://arxiv.org/pdf/1505.07158,,,1,13,No DOI available
Maintaining network connectivity and performance in robot teams,"MA Hsieh, A Cowley, V Kumar… - Journal of Field …, 2008 - Wiley Online Library",2008,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20221,https://onlinelibrary.wiley.com/doi/pdf/10.1002/rob.20221,,,1,146,No DOI available
"A survey of mobile cloud computing: architecture, applications, and approaches","HT Dinh, C Lee, D Niyato… - … and mobile computing, 2013 - Wiley Online Library",2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/wcm.1203,https://onlinelibrary.wiley.com/doi/full/10.1002/wcm.1203,,,1,1831,No DOI available
Improving the topological resilience of mobile ad hoc networks,"TH Kim, D Tipper, P Krishnamurthy… - Design of Reliable …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5340008/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.361.1691&rep=rep1&type=pdf,,,1,26,No DOI available
Supporting secure communication and data collection in mobile sensor networks,"L Zhou, J Ni, CV Ravishankar - INFOCOM 2006. 25th IEEE International …, 2006 - cs.ucr.edu",2006,http://www.cs.ucr.edu/~ravi/Papers/NWConf/mgke_infocom06.pdf,http://www.cs.ucr.edu/~ravi/Papers/NWConf/mgke_infocom06.pdf,,,1,51,No DOI available
Guest editorial introduction to the special section on m-health: Beyond seamless mobility and global wireless health-care connectivity,"RSH Istepanian, E Jovanov… - IEEE Transactions on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1362649/,http://eprints.kingston.ac.uk/1587/01/Istepanian-RSH-1587.pdf,,,1,777,No DOI available
The influence of communication range on connectivity for resilient wireless sensor networks using a probabilistic approach,"Y Huang, JF Martínez, J Sendra… - International Journal of …, 2013 - journals.sagepub.com",2013,http://journals.sagepub.com/doi/abs/10.1155/2013/482727,http://journals.sagepub.com/doi/full/10.1155/2013/482727,,,1,17,No DOI available
"Redundancy, diversity, and connectivity to achieve multilevel network resilience, survivability, and disruption tolerance invited paper","JPG Sterbenz, D Hutchison, EK Çetinkaya… - Telecommunication …, 2014 - Springer",2014,https://link.springer.com/article/10.1007/s11235-013-9816-9,https://calhoun.nps.edu/bitstream/handle/10945/37232/Sterbenz-Hutchison-Cetinkaya-Jabbar-Rohrer-Scholler-Smith-2012.pdf?sequence=1,,,1,36,No DOI available
"Connectivity, performance, and resiliency of IP-based CDMA radio access networks","T Bu, MC Chan, R Ramjee - IEEE transactions on mobile …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1644753/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.133.2572&rep=rep1&type=pdf,,,1,18,No DOI available
FT-PPTC: An efficient and fault-tolerant commit protocol for mobile environments,"B Ayari, A Khelil, N Suri - … Systems, 2006. SRDS'06. 25th IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4032472/,http://webmail.deeds.informatik.tu-darmstadt.de/External/PublicationData/1/SRDS06_Presentation_final.pdf,,,1,17,No DOI available
"NFV: state of the art, challenges, and implementation in next generation mobile networks (vEPC)","H Hawilo, A Shami, M Mirahmadi, R Asal - IEEE Network, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6963800/,https://arxiv.org/pdf/1409.4149,,,1,270,No DOI available
MCloudDB: A Mobile Cloud Database Service Framework,"L Lei, S Sengupta, T Pattanaik… - Mobile Cloud Computing …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7130864/,https://www.researchgate.net/profile/Jerry_Gao/publication/273635400_MCloudDB_A_Mobile_Cloud_Database_Service_Framework/links/5509346b0cf27e990e0e0777/MCloudDB-A-Mobile-Cloud-Database-Service-Framework.pdf,,,1,7,No DOI available
Overview of the mobile payments market 2002 through 2007,"B Adrian - Gartner Research R-18-1818, 2002 - bus.umich.edu",1818,http://www.bus.umich.edu/KresgePublic/Journals/Gartner/research/111600/111627/111627.pdf,http://www.bus.umich.edu/KresgePublic/Journals/Gartner/research/111600/111627/111627.pdf,,,1,18,No DOI available
Quantifying connectivity in wireless sensor networks with grid-based deployments,"FM Al-Turjman, HS Hassanein, M Ibnkahla - Journal of Network and …, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1084804512001361,https://www.researchgate.net/profile/Fadi_Al-Turjman/publication/221081427_Quantifying_connectivity_of_grid-based_Wireless_Sensor_Networks_under_practical_errors/links/02e7e52b1807505d9c000000/Quantifying-connectivity-of-grid-based-Wireless-Sensor-Networks-under-practical-errors.pdf,,,1,51,No DOI available
Resilient hybrid Mobile Ad-hoc Cloud over collaborating heterogeneous nodes,"A Khalifa, M Azab, M Eltoweissy - 2014 International Conference on …, 2014 - computer.org",2014,https://www.computer.org/csdl/proceedings/collaboratecom/2014/043/00/07014558-abs.html,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.680.6172&rep=rep1&type=pdf,,,1,8,No DOI available
Resilient cluster-organizing key management and secure routing protocol for mobile ad hoc networks,"HY Lin, YM Huang, TI Wang - IEICE transactions on …, 2005 - search.ieice.org",2005,https://search.ieice.org/bin/summary.php?id=e88-b_9_3598,http://ir.lib.ncku.edu.tw/bitstream/987654321/87751/2/3010800101013.pdf,,,1,18,No DOI available
Data spider: a resilient mobile basestation protocol for efficient data collection in wireless sensor networks,"O Soysal, M Demirbas - … Conference on Distributed Computing in Sensor …, 2010 - Springer",2010,https://link.springer.com/10.1007%2F978-3-642-13651-1_28,http://www.cse.buffalo.edu/ubicomp/dataSpider/Data%20Spider%20A%20Resilient%20Mobile%20Basestation%20Protocol%20for%20Efficient%20Data%20Collection%20inWireless%20Sensor%20Networks.pdf,,,1,28,No DOI available
Delay-aware mobile transactions,"B Ayari, A Khelil, N Suri - … on Software Technolgies for Embedded and …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-540-87785-1_25,https://link.springer.com/content/pdf/10.1007/978-3-540-87785-1_25.pdf,,,1,3,No DOI available
Localized algorithm to improve connectivity and topological resilience of multi-hop wireless networks,"TH Kim, D Tipper, P Krishnamurthy - Journal of information and …, 2013 - koreascience.or.kr",2013,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=E1ICAW_2013_v11n2_69,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.898.1241&rep=rep1&type=pdf,,,1,10,No DOI available
A survey of attacks and countermeasures in mobile ad hoc networks,"B Wu, J Chen, J Wu, M Cardei - Wireless network security, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-0-387-33112-6_5,https://cis.temple.edu/~jiewu/research/publications/Publication_files/security-survey-05.pdf,,,1,728,No DOI available
On the resilient overlay topology formation in multi-hop wireless networks,"F Xing, W Wang - International Conference on Research in Networking, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-72606-7_1,https://link.springer.com/content/pdf/10.1007/978-3-540-72606-7_1.pdf,,,1,5,No DOI available
Mobile computing with the Rover toolkit,"AD Joseph, JA Tauber… - IEEE Transactions on …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/580429/,https://dspace.mit.edu/bitstream/handle/1721.1/46115/39134608-MIT.pdf?sequence=2,,,1,354,No DOI available
Measuring the resilience of mobile ad hoc networks with human walk patterns,"D Zhang, JPG Sterbenz - Reliable Networks Design and …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7325224/,https://www.researchgate.net/profile/Dongsheng_Zhang7/publication/306033166_Measuring_the_resilience_of_mobile_ad_hoc_networks_with_human_walk_patterns/links/5ab09577a6fdcc1bc0be1d6f/Measuring-the-resilience-of-mobile-ad-hoc-networks-with-human-walk-patterns.pdf,,,1,6,No DOI available
A new domain-based payment model for emerging mobile commerce scenarios,"D Suarez, J Torres, M Carbonell… - Database and Expert …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4312987/,https://www.researchgate.net/profile/Mildrey_Carbonell/publication/4275814_A_new_domain-based_payment_model_for_emerging_mobile_commerce_scenarios/links/56a9e77c08aef6e05df36d1e.pdf,,,1,6,No DOI available
"Exploring delay-aware transactions in heterogenous mobile environments,”","B Ayari, A Khelil, N Suri - Journal of Software, 2009 - pdfs.semanticscholar.org",2009,https://pdfs.semanticscholar.org/30df/4942277fc6fe5636ee55c585ace5b63eb77e.pdf,https://pdfs.semanticscholar.org/30df/4942277fc6fe5636ee55c585ace5b63eb77e.pdf,,,1,4,No DOI available
Quantifying connectivity of grid-based Wireless Sensor Networks under practical errors,"MAT Fadi, SH Hossam… - Local Computer Networks …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5735706/,http://www.queenstrl.ca/uploads/4/6/3/1/4631596/quantifying_connectivity_of_grid-based_wireless_sensor_networks_under_practical_errors.pdf,,,1,6,No DOI available
