title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Guest editorial introduction to the special section on m-health: Beyond seamless mobility and global wireless health-care connectivity,"RSH Istepanian, E Jovanov… - IEEE Transactions on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1362649/,http://eprints.kingston.ac.uk/1587/01/Istepanian-RSH-1587.pdf,,,1,777,No DOI available
On connectivity in ad hoc networks under jamming using directional antennas and mobility,"G Noubir - International Conference on Wired/Wireless Internet …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-24643-5_17,http://www.ccis.neu.edu/home/noubir/publications/N04.pdf,,,1,111,No DOI available
Mobility resilience and overhead constrained adaptation in directional 60 GHz WLANs: protocol design and system implementation,"MK Haider, EW Knightly - Proceedings of the 17th ACM International …, 2016 - dl.acm.org",2016,https://dl.acm.org/citation.cfm?id=2942380,https://dl.acm.org/ft_gateway.cfm?id=2942380&type=pdf,,,1,163,No DOI available
"Redundancy, diversity, and connectivity to achieve multilevel network resilience, survivability, and disruption tolerance invited paper","JPG Sterbenz, D Hutchison, EK Çetinkaya… - Telecommunication …, 2014 - Springer",2014,https://link.springer.com/article/10.1007/s11235-013-9816-9,https://calhoun.nps.edu/bitstream/handle/10945/37232/Sterbenz-Hutchison-Cetinkaya-Jabbar-Rohrer-Scholler-Smith-2012.pdf?sequence=1,,,1,36,No DOI available
"Responses of pastoralists to land fragmentation: social capital, connectivity and resilience","KA Galvin - Fragmentation in Semi-Arid and Arid Landscapes, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-1-4020-4906-4_15,https://www.researchgate.net/profile/Kathleen_Galvin2/publication/225268374_Global_Significance_of_Extensive_Grazing_Lands_and_Pastoral_Societies_An_Introduction/links/561ea86508ae50795aff310c.pdf#page=391,,,1,44,No DOI available
A review on interworking and mobility techniques for seamless connectivity in mobile cloud computing,"A Gani, GM Nayeem, M Shiraz, M Sookhak… - Journal of Network and …, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S1084804514000927,http://repository.um.edu.my/38969/1/A%20review%20on%20interworking%20and%20mobility%20techniques%20for%20seamless%20connectivity%20in%20mobile%20cloud%20computing.pdf,,,1,56,No DOI available
The impact of ecosystem connectivity on coral reef resilience,"PJ Mumby, A Hastings - Journal of Applied Ecology, 2008 - Wiley Online Library",2008,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2664.2008.01459.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2664.2008.01459.x,,,1,150,No DOI available
The resilience of Dutch regions to economic shocks,"D Diodato, A Weterings - … the relevance of interactions among firms …, 2012 - rsanederland.nl",2012,http://www.rsanederland.nl/webcontent/wp-content/uploads/2013/05/diodato_weterings.pdf,http://www.rsanederland.nl/webcontent/wp-content/uploads/2013/05/diodato_weterings.pdf,,,1,17,No DOI available
"Regional integration and local change: road paving, community connectivity, and social–ecological resilience in a tri-national frontier, southwestern Amazonia","SG Perz, L Cabrera, LA Carvalho, J Castillo… - Regional Environmental …, 2012 - Springer",2012,https://link.springer.com/article/10.1007/s10113-011-0233-x,http://www.academia.edu/download/42521290/Regional_integration_and_local_change_Ro20160209-8678-1wwczg5.pdf,,,1,40,No DOI available
"Harmonised Resilience, Security and Mobility Capability for IP","R Atkinson, S Bhatti, S Hailes - … Conference, 2008. MILCOM …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4753321/,https://www.researchgate.net/profile/Saleem_Bhatti3/publication/224372453_Harmonised_resilience_security_and_mobility_capability_for_IP/links/02bfe510e27e278efc000000.pdf,,,1,9,No DOI available
