title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Rayleigh fading compensation for QAM in land mobile radio communications,"S Sampei, T Sunaga - … Transactions on Vehicular Technology, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/211451/,No PDF available,,,1,359,No DOI available
Tcot-a timeout-based mobile transaction commitment protocol,"V Kumar, N Prabhu, MH Dunham… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039846/,https://pdfs.semanticscholar.org/ea61/e731c1fe8598cc6a238ad25f7d9cc4bc8464.pdf,,,1,128,No DOI available
Understanding dynamics between initial trust and usage intentions of mobile banking,"G Kim, BS Shin, HG Lee - Information Systems Journal, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00269.x,http://www.academia.edu/download/51114879/j.1365-2575.2007.00269.x20161229-29269-12pcac2.pdf,,,1,576,No DOI available
Conducting an online payment transaction using an NFC enabled mobile communication device,"M Fisher - US Patent 8,352,323, 2013 - Google Patents",2013,https://patents.google.com/patent/US8352323B2/en,No PDF available,,,1,330,No DOI available
Measurement and correction of systematic odometry errors in mobile robots,"J Borenstein, L Feng - IEEE Transactions on robotics and …, 1996 - ieeexplore.ieee.org",1996,https://ieeexplore.ieee.org/abstract/document/544770/,http://www.valentiniweb.com/Piermo/robotica/doc/Borenstein/paper58.pdf,,,1,966,No DOI available
Method and system providing advertisement using tone of ringing sounds of mobile phone and commerical transaction service in association with the same,"D Kim - US Patent App. 10/220,859, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030050837A1/en,No PDF available,,,1,363,No DOI available
An analysis of pilot symbol assisted modulation for Rayleigh fading channels (mobile radio),"JK Cavers - IEEE transactions on vehicular technology, 1991 - ieeexplore.ieee.org",1991,https://ieeexplore.ieee.org/abstract/document/108378/,http://www.ensc.sfu.ca/~whitmore/courses/ensc803/materials/Cavers_1991.pdf,,,1,1763,No DOI available
"The land mobile satellite communication channel-recording, statistics, and channel model","E Lutz, D Cygan, M Dippold… - IEEE transactions on …, 1991 - ieeexplore.ieee.org",1991,https://ieeexplore.ieee.org/abstract/document/289418/,No PDF available,,,1,883,No DOI available
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1227&context=comsci_facwork,,,1,86,No DOI available
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://www.eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf,,,1,124,No DOI available
"If you love something, let it go mobile: Mobile marketing and mobile social media 4x4","AM Kaplan - Business horizons, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0007681311001558%20%5B5,https://www.researchgate.net/profile/Andreas_Kaplan/publication/251550794_If_you_love_something_let_it_go_mobile_Mobile_marketing_and_mobile_social_media_4x4/links/5a2cecc3a6fdccfbbf8762f1/If-you-love-something-let-it-go-mobile-Mobile-marketing-and-mobile-social-media-4x4.pdf,,,1,461,No DOI available
Inertial navigation systems for mobile robots,"B Barshan, HF Durrant-Whyte - … Transactions on Robotics and …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/388775/,http://yoksis.bilkent.edu.tr/pdf/files/10.1109-70.388775.pdf,,,1,840,No DOI available
Method of distributing information via mobile devices and enabling its use at a point of transaction,"V Bemmel, R Van Tuyl, N Nguyen - US Patent App. 11/873,133, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080097851A1/en,No PDF available,,,1,219,No DOI available
Effect of the dynamic interaction on coordinated control of mobile manipulators,"Y Yamamoto, X Yun - IEEE Transactions on Robotics and …, 1996 - ieeexplore.ieee.org",1996,https://ieeexplore.ieee.org/abstract/document/538986/,No PDF available,,,1,280,No DOI available
Single tap transactions using an NFC enabled mobile device,"M Fisher - US Patent 8,332,272, 2012 - Google Patents",2012,https://patents.google.com/patent/US8332272B2/en,No PDF available,,,1,218,No DOI available
Mobile phone payment processing methods and systems,"K Laracey - US Patent 8,380,177, 2013 - Google Patents",2013,https://patents.google.com/patent/US8380177B2/en,No PDF available,,,1,546,No DOI available
Method and system for analyzing advertisements delivered to a mobile unit,"GR Hendrey, HA Tanaka, PJ Koopman Jr - US Patent 6,647,269, 2003 - Google Patents",2003,https://patents.google.com/patent/US6647269B2/en,No PDF available,,,1,763,No DOI available
Presentation of sponsored content based on mobile transaction event,"J Ramer, A Soroca, D Doughty - US Patent 7,702,318, 2010 - Google Patents",2010,https://patents.google.com/patent/US7702318B2/en,No PDF available,,,1,204,No DOI available
Authentication for a commercial transaction using a mobile module,"BE Johnson, C Webster-Lam - US Patent 8,996,423, 2015 - Google Patents",2015,https://patents.google.com/patent/US8996423B2/en,No PDF available,,,1,192,No DOI available
Method and apparatus for processing orders from customers in a mobile environment,"AD Hall, WB Crabtree Jr, FA Volk - US Patent 6,026,375, 2000 - Google Patents",2000,https://patents.google.com/patent/US6026375A/en,No PDF available,,,1,718,No DOI available
