title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"A survey of mobile cloud computing: architecture, applications, and approaches","HT Dinh, C Lee, D Niyato… - … and mobile computing, 2013 - Wiley Online Library",2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/wcm.1203,https://onlinelibrary.wiley.com/doi/full/10.1002/wcm.1203,,,1,1831,No DOI available
Mobile cloud computing: A survey,"N Fernando, SW Loke, W Rahayu - Future generation computer systems, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0167739x12001318,http://www.uniroma2.it/didattica/infomob/deposito/MobileCloudComputing-Survey_FGCS2013.pdf,,,1,1340,No DOI available
Efficient multi-user computation offloading for mobile-edge cloud computing,"X Chen, L Jiao, W Li, X Fu - IEEE/ACM Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/iel7/90/4359146/07307234.pdf,https://arxiv.org/pdf/1510.00888,,,1,425,No DOI available
SA-EAST: security-aware efficient data transmission for ITS in mobile heterogeneous cloud computing,"K Gai, L Qiu, M Chen, H Zhao, M Qiu - ACM Transactions on Embedded …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=2979677,http://webpage.pace.edu/kg71231w/docs/tecs1.pdf,,,1,59,No DOI available
A survey of mobile cloud computing applications: perspectives and challenges,"Y Wang, R Chen, DC Wang - Wireless Personal Communications, 2015 - Springer",2015,https://link.springer.com/article/10.1007/s11277-014-2102-7,http://people.cs.vt.edu/~irchen/ps/Wang-wpc14.pdf,,,1,108,No DOI available
Mobile healthcare information management utilizing Cloud Computing and Android OS,"C Doukas, T Pliakas… - Engineering in Medicine …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5628061/,https://www.researchgate.net/profile/Ilias_Maglogiannis/publication/49628402_Mobile_Healthcare_Information_Management_Utilizing_Cloud_Computing_and_Android_OS/links/00b7d529e1e1cb714b000000/Mobile-Healthcare-Information-Management-Utilizing-Cloud-Computing-and-Android-OS.pdf,,,1,293,No DOI available
Cloud manufacturing: a new service-oriented networked manufacturing model,"BH Li, L Zhang, SL Wang, F Tao, JW Cao… - Computer integrated …, 2010 - en.cnki.com.cn",2010,http://en.cnki.com.cn/Article_en/CJFDTOTAL-JSJJ201001001.htm,No PDF available,,,1,697,No DOI available
Heterogeneity in mobile cloud computing: taxonomy and open challenges,"Z Sanaei, S Abolfazli, A Gani… - … Surveys & Tutorials, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6517049/,http://eprints.um.edu.my/8296/1/heterogeneity_in_mobile_cloud_computing.pdf,,,1,436,No DOI available
The case for vm-based cloudlets in mobile computing,"M Satyanarayanan, V Bahl, R Caceres… - … pervasive Computing, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5210087/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.147.6312&rep=rep1&type=pdf,,,1,2537,No DOI available
Hyrax: cloud computing on mobile devices using MapReduce,EE Marinelli - 2009 - dtic.mil,2009,http://www.dtic.mil/docs/citations/ADA512601,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA512601,,,1,508,No DOI available
Using RESTful web-services and cloud computing to create next generation mobile applications,"JH Christensen - Proceedings of the 24th ACM SIGPLAN conference …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1639958,No PDF available,,,1,258,No DOI available
"Mobile cloud computing: A survey, state of art and future directions","MR Rahimi, J Ren, CH Liu, AV Vasilakos… - Mobile Networks and …, 2014 - Springer",2014,https://link.springer.com/article/10.1007/s11036-013-0477-4,"http://pillars.lrc.ic.unicamp.br/~erick/pesquisa/gerla/Mobile%20Cloud%20Computing_%20A%20Survey,%20State%20of%20Art%20and%20Future%20Directions.pdf",,,1,272,No DOI available
Decentralized computation offloading game for mobile cloud computing,"X Chen - IEEE Transactions on Parallel and Distributed …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/6787113/,https://arxiv.org/pdf/1404.3200,,,1,278,No DOI available
Energy-optimal mobile cloud computing under stochastic wireless channel,"W Zhang, Y Wen, K Guan, D Kilper… - IEEE Transactions on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6574874/,http://www.ntu.edu.sg/home/ygwen/Paper/ZWG-TWC-13.pdf,,,1,250,No DOI available
To offload or not to offload? the bandwidth and energy costs of mobile cloud computing,"MV Barbera, S Kosta, A Mei… - … , 2013 Proceedings IEEE, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6566921/,http://wwwusers.di.uniroma1.it/~stefa/webpage/Publications_files/barbera-infocom13.pdf,,,1,270,No DOI available
Adaptive mobile cloud computing to enable rich mobile multimedia applications,"S Wang, S Dey - IEEE Transactions on Multimedia, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6413270/,https://pdfs.semanticscholar.org/e2e8/2fdb47880aa38403b1661f53d22d12e9244f.pdf,,,1,177,No DOI available
A survey on vehicular cloud computing,"M Whaiduzzaman, M Sookhak, A Gani… - Journal of Network and …, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S1084804513001793,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.398.6908&rep=rep1&type=pdf,,,1,439,No DOI available
Cloud computing for enhanced mobile health applications,"MT Nkosi, F Mekuria - Cloud Computing Technology and …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5708511/,http://researchspace.csir.co.za/dspace/bitstream/handle/10204/4767/Nkosi_2010.pdf?sequence=1,,,1,144,No DOI available
User profiling for energy optimisation in mobile cloud computing,"E Benkhelifa, T Welsh, L Tawalbeh, Y Jararweh… - Procedia Computer …, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S1877050915009515,https://www.sciencedirect.com/science/article/pii/S1877050915009515/pdf?md5=0cddda5a5ed7e30e6fb29a09d505163a&pid=1-s2.0-S1877050915009515-main.pdf,,,1,100,No DOI available
A review on distributed application processing frameworks in smart mobile devices for mobile cloud computing,"M Shiraz, A Gani, RH Khokhar… - … Surveys & Tutorials, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6365155/,http://gridbus.csse.unimelb.edu.au/~raj/papers/DAF-MobileCloud.pdf,,,1,251,No DOI available
Secure data processing framework for mobile cloud computing,"D Huang, Z Zhou, L Xu, T Xing… - … WKSHPS), 2011 IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/5928886/,https://www.researchgate.net/profile/Tianyi_Xing/publication/224243207_Secure_data_processing_framework_for_mobile_cloud_computing/links/5598951408ae5d8f3933f7fd/Secure-data-processing-framework-for-mobile-cloud-computing.pdf,,,1,138,No DOI available
An experimental analysis on cloud-based mobile augmentation in mobile cloud computing,"S Abolfazli, Z Sanaei, M Alizadeh… - IEEE Transactions on …, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6780937/,No PDF available,,,1,60,No DOI available
EMC: Emotion-aware mobile cloud computing in 5G,"M Chen, Y Zhang, Y Li, S Mao, VCM Leung - IEEE Network, 2015 - Citeseer",2015,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.725.4366&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.725.4366&rep=rep1&type=pdf,,,1,129,No DOI available
Access schemes for mobile cloud computing,"A Klein, C Mannweiler, J Schneider… - Mobile Data …, 2010 - academia.edu",2010,http://www.academia.edu/download/31714495/05489732.pdf,http://www.academia.edu/download/31714495/05489732.pdf,,,1,155,No DOI available
Above the clouds: A berkeley view of cloud computing,"A Fox, R Griffith, A Joseph, R Katz… - Dept. Electrical Eng …, 2009 - academia.edu",2009,http://www.academia.edu/download/43018702/0c960525ae2cc30314000000.pdf,http://www.academia.edu/download/43018702/0c960525ae2cc30314000000.pdf,,,1,7186,No DOI available
The rise of “big data” on cloud computing: Review and open research issues,"IAT Hashem, I Yaqoob, NB Anuar, S Mokhtar, A Gani… - Information systems, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S0306437914001288,https://umexpert.um.edu.my/file/publication/00001293_117865.pdf,,,1,1177,No DOI available
Mobile cloud computing as a future of mobile multimedia database,"A Khan, K Ahirwar - International Journal of Computer Science and …, 2011 - academia.edu",2011,http://www.academia.edu/download/40746604/1._MOBILE_CLOUD_COMPUTING_AS_A_FUTURE_OF_MOBILE_MULTIMEDIA_DATABASE.pdf,http://www.academia.edu/download/40746604/1._MOBILE_CLOUD_COMPUTING_AS_A_FUTURE_OF_MOBILE_MULTIMEDIA_DATABASE.pdf,,,1,67,No DOI available
Cloud computing service composition: A systematic literature review,"A Jula, E Sundararajan, Z Othman - Expert systems with applications, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0957417413009925,http://isisell.com/44774cloud%20computing%20service%20composition%20a%20systematic%20literature%20review.pdf,,,1,290,No DOI available
Cloud computing bible,B Sosinsky - 2010 - books.google.com,2010,https://books.google.de/books?hl=de&lr=&id=aY4Kil7kbIcC&oi=fnd&pg=PR11&dq=mobile+AND+cloud+computing+AND+transactions&ots=JE81aWX0PR&sig=yF9-jEsxXqZBkWUxEa1UvBXLqUk,No PDF available,,,1,590,No DOI available
MobiCloud: building secure cloud framework for mobile computing and communication,"D Huang, X Zhang, M Kang, J Luo - 2010 fifth IEEE international …, 2010 - computer.org",2010,https://www.computer.org/csdl/proceedings/sose/2010/4081/00/4081a027-abs.html,ftp://ftp.inf.ufrgs.br/pub/geyer/POD/artigos/TL2-2011-1/POD-2011-1-TL2-ER-MobiCloud.pdf,,,1,220,No DOI available
Device-to-device-based heterogeneous radio access network architecture for mobile cloud computing,"M Jo, T Maksymyuk, B Strykhalyuk… - IEEE Wireless …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7143326/,https://www.researchgate.net/profile/Taras_Maksymyuk/publication/279865707_Device-to-device-based_heterogeneous_radio_access_network_architecture_for_mobile_cloud_computing/links/559f679208ae97223ddc6de9.pdf,,,1,108,No DOI available
A QoS-aware system for mobile cloud computing,"P Zhang, Z Yan - Cloud Computing and Intelligence Systems …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6045122/,https://www.researchgate.net/profile/Zheng_Yan4/publication/238524281_A_QoS-aware_system_for_mobile_cloud_computing/links/58c95668a6fdcc63aa98cec8/A-QoS-aware-system-for-mobile-cloud-computing.pdf,,,1,51,No DOI available
Cloud-vision: Real-time face recognition using a mobile-cloudlet-cloud acceleration architecture,"T Soyata, R Muraleedharan, C Funai… - … (ISCC), 2012 IEEE …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6249269/,https://www.computer.org/csdl/proceedings/iscc/2012/2712/00/IS032.pdf,,,1,252,No DOI available
Mobile cloud computing: A comparison of application models,"D Kovachev, Y Cao, R Klamma - arXiv preprint arXiv:1107.4940, 2011 - arxiv.org",1107,https://arxiv.org/abs/1107.4940,https://arxiv.org/pdf/1107.4940,,,1,125,No DOI available
Measuring the efficiency of cloud computing for e-learning systems,"P Pocatilu, F Alecu, M Vetrici - Wseas transactions on computers, 2010 - wseas.us",2010,http://wseas.us/e-library/transactions/computers/2010/89-159.pdf,http://wseas.us/e-library/transactions/computers/2010/89-159.pdf,,,1,158,No DOI available
Integration of cloud computing and internet of things: a survey,"A Botta, W De Donato, V Persico, A Pescapé - Future Generation Computer …, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0167739X15003015,http://iranarze.ir/wp-content/uploads/2017/03/6229-English-IranArze.pdf,,,1,734,No DOI available
Mobile cloud computing service models: a user-centric approach,"D Huang, T Xing, H Wu - Ieee network, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6616109/,https://www.researchgate.net/profile/Tianyi_Xing/publication/260352892_Mobile_Cloud_Computing_Service_Models_A_User-Centric_Approach/links/5598965d08ae793d137e1c52.pdf,,,1,91,No DOI available
Hand held bar code readers or mobile computers with cloud computing services,"H Qu, YP Wang - US Patent 8,820,630, 2014 - Google Patents",2014,https://patents.google.com/patent/US8820630B2/en,No PDF available,,,1,206,No DOI available
