title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Forward error correction coding for fading compensation in mobile satellite channels,"J Hagenauer, E Lutz - IEEE Journal on Selected Areas in …, 1987 - ieeexplore.ieee.org",1987,https://ieeexplore.ieee.org/abstract/document/1146523/,No PDF available,,,1,160,No DOI available
Human movement analysis using stereophotogrammetry: Part 3. Soft tissue artifact assessment and compensation,"A Leardini, L Chiari, U Della Croce, A Cappozzo - Gait & posture, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S0966636204000773,https://www.researchgate.net/file.PostFileLoader.html?id=5453d959d3df3e6b2d8b46b9&assetKey=AS%3A273560847749133%401442233398378,,,1,874,No DOI available
Skin movement artefact assessment and compensation in the estimation of knee-joint kinematics,"L Lucchetti, A Cappozzo, A Cappello… - Journal of …, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S0021929098000839,http://www.academia.edu/download/43333314/Skin_movement_artefact_assessment_and_co20160303-24737-uv908z.pdf,,,1,236,No DOI available
Parameter identification and hysteresis compensation of embedded piezoelectric stack actuators,"L Juhász, J Maas, B Borovac - Mechatronics, 2011 - Elsevier",2011,https://www.sciencedirect.com/science/article/pii/S0957415810002175,No PDF available,,,1,57,No DOI available
Active acceleration compensation using a Stewart-platform on a mobile robot,"R Graf, R Dillmann - … Mobile Robots, 1997. Proceedings …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/633569/,https://www.researchgate.net/profile/Ruediger_Dillmann/publication/3721850_Active_acceleration_compensation_using_a_Stewart-platform_on_a_mobile_robot/links/0c96051c9654aca7bd000000.pdf,,,1,39,No DOI available
The use of kinematic and parametric information to highlight lack of movement and compensation in the upper extremities during activities of daily living,"A Murgia, P Kyberd, T Barnhill - Gait & posture, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0966636209006596,http://www.academia.edu/download/46891013/j.gaitpost.2009.11.00720160629-788-5embo2.pdf,,,1,39,No DOI available
Compensation of mobile‐ion movement in SiO2 by ion implantation,"JA Topich - Applied Physics Letters, 1978 - aip.scitation.org",1978,https://aip.scitation.org/doi/abs/10.1063/1.90238,No PDF available,,,1,6,No DOI available
Optimal compensation for changes in task-relevant movement variability,"J Trommershäuser, S Gepshtein… - Journal of …, 2005 - Soc Neuroscience",2005,http://www.jneurosci.org/content/25/31/7169.short,http://www.jneurosci.org/content/jneuro/25/31/7169.full.pdf,,,1,172,No DOI available
Hand-held sweep electronic printer with compensation for non-linear movement,"HH Bobry - US Patent 5,988,900, 1999 - Google Patents",1999,https://patents.google.com/patent/US5988900A/en,No PDF available,,,1,145,No DOI available
Hand-held sweep electronic printer with compensation for non-linear movement,"HH Bobry - US Patent 5,593,236, 1997 - Google Patents",1997,https://patents.google.com/patent/US5593236A/en,No PDF available,,,1,142,No DOI available
