title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Integrated portable device for point of sale transactions,"R Kumar - US Patent 5,294,782, 1994 - Google Patents",1994,https://patents.google.com/patent/US5294782A/en,No PDF available,,,1,268,No DOI available
System and method for presenting multiple transaction options in a portable device,"PM Johnson, LS Bloebaum, DP Homiller - US Patent 7,802,719, 2010 - Google Patents",2010,https://patents.google.com/patent/US7802719B2/en,No PDF available,,,1,95,No DOI available
Integrated portable device for point of sale transactions,"R Kumar - US Patent 5,489,773, 1996 - Google Patents",1996,https://patents.google.com/patent/US5489773A/en,No PDF available,,,1,138,No DOI available
Integrated portable device for point of sale transactions,"R Kumar - US Patent 5,386,106, 1995 - Google Patents",1995,https://patents.google.com/patent/US5386106A/en,No PDF available,,,1,118,No DOI available
System and method of facilitating contactless payment transactions across different payment systems using a common mobile device acting as a stored value device,"P Staib, J Helm, T Renard - US Patent App. 10/940,939, 2005 - Google Patents",2005,https://patents.google.com/patent/US20050222961A1/en,No PDF available,,,1,338,No DOI available
Mobile coupon method and portable consumer device for utilizing same,"M Carlson, P Ciurea - US Patent App. 11/960,162, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080201226A1/en,No PDF available,,,1,125,No DOI available
Conducting an online payment transaction using an NFC enabled mobile communication device,"M Fisher - US Patent 8,352,323, 2013 - Google Patents",2013,https://patents.google.com/patent/US8352323B2/en,No PDF available,,,1,330,No DOI available
Transaction control system including portable data terminal and mobile customer service station,"P Miller, SE Koenck, GE Hanson, RL Wolf - US Patent 5,031,098, 1991 - Google Patents",1991,https://patents.google.com/patent/US5031098A/en,No PDF available,,,1,135,No DOI available
Portable electronic transaction device and system therefor,"HN Dreifus - US Patent 4,575,621, 1986 - Google Patents",1986,https://patents.google.com/patent/US4575621A/en,No PDF available,,,1,506,No DOI available
Portable personal computer and mobile telephone device,"R Paajanen, M Terho, T Hoglund - US Patent 5,189,632, 1993 - Google Patents",1993,https://patents.google.com/patent/US5189632A/en,No PDF available,,,1,343,No DOI available
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf,,,1,301,No DOI available
Portable information and transaction processing system and method utilizing biometric authorization and digital certificate security,"SH Maes, J Sedivy - US Patent 6,016,476, 2000 - Google Patents",2000,https://patents.google.com/patent/US6016476A/en,No PDF available,,,1,911,No DOI available
Mobile communication device equipped with a magnetic stripe reader,"S Goldthwaite, W Graylin - US Patent 7,336,973, 2008 - Google Patents",2008,https://patents.google.com/patent/US7336973B2/en,No PDF available,,,1,238,No DOI available
Mobile funds transaction device for transferring funds between remote banking facilities,"HD Elbaum - US Patent 6,010,067, 2000 - Google Patents",2000,https://patents.google.com/patent/US6010067A/en,No PDF available,,,1,87,No DOI available
Method and system for providing transaction notification and mobile reply authorization,"M Kim - US Patent App. 11/015,597, 2006 - Google Patents",2006,https://patents.google.com/patent/US20060131390A1/en,No PDF available,,,1,196,No DOI available
Mobile device equipped with a contactless smart card reader/writer,"S Goldthwaite, W Graylin - US Patent App. 10/625,823, 2004 - Google Patents",2004,https://patents.google.com/patent/US20040127256A1/en,No PDF available,,,1,406,No DOI available
Collaborative negotiation techniques for mobile personal trusted device financial transactions,"JM Fernandes, MA Khan, K Brown - US Patent 7,494,055, 2009 - Google Patents",2009,https://patents.google.com/patent/US7494055B2/en,No PDF available,,,1,391,No DOI available
Apparatus and method to electromagnetically shield portable consumer devices,"A Hammad, P Dixon - US Patent 7,482,925, 2009 - Google Patents",2009,https://patents.google.com/patent/US7482925B2/en,No PDF available,,,1,176,No DOI available
Method and system for securing transactions made through a mobile communication device,"M Fisher, R Guha - US Patent 8,290,433, 2012 - Google Patents",2012,https://patents.google.com/patent/US8290433B2/en,No PDF available,,,1,136,No DOI available
Mobile telephone transaction system employing electronic account card,"E Sandberg-Diment - US Patent App. 10/899,507, 2006 - Google Patents",2006,https://patents.google.com/patent/US20060018450A1/en,No PDF available,,,1,108,No DOI available
Apparatus and method for preventing wireless interrogation of portable consumer devices,"A Hammad, P Dixon - US Patent 7,522,905, 2009 - Google Patents",2009,https://patents.google.com/patent/US7522905B2/en,No PDF available,,,1,119,No DOI available
Method and system for allocating and redeeming incentive credits between a portable device and a base device,"JE Biorge, RT Hauge, J Svigals - US Patent 5,806,045, 1998 - Google Patents",1998,https://patents.google.com/patent/US5806045A/en,No PDF available,,,1,692,No DOI available
"Method, system and apparatus for a portable transaction device","YL Audebert, J Becquart - US Patent App. 09/880,795, 2002 - Google Patents",2002,https://patents.google.com/patent/US20020194499A1/en,No PDF available,,,1,79,No DOI available
System and method for facilitating electronic financial transactions using a mobile telecommunication device,"G Leung, R Lee, K Cheng, P Chui, A Mitchell… - US Patent …, 2008 - Google Patents",2008,https://patents.google.com/patent/US7379920B2/en,No PDF available,,,1,164,No DOI available
Single tap transactions using an NFC enabled mobile device,"M Fisher - US Patent 8,332,272, 2012 - Google Patents",2012,https://patents.google.com/patent/US8332272B2/en,No PDF available,,,1,218,No DOI available
Method and mobile terminal device including smartcard module and near field communications means,"H Huomo, O Immonen, M Lahteenmaki… - US Patent …, 2011 - Google Patents",2011,https://patents.google.com/patent/US8005426B2/en,No PDF available,,,1,240,No DOI available
Method and system for detecting an end of transaction for contactless transactions on a mobile device,"T Buhot - US Patent App. 11/745,354, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080121687A1/en,No PDF available,,,1,100,No DOI available
Portable consumer device verification system,"A Hammad, P Faith - US Patent 7,819,322, 2010 - Google Patents",2010,https://patents.google.com/patent/US7819322B2/en,No PDF available,,,1,255,No DOI available
