title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A review on interworking and mobility techniques for seamless connectivity in mobile cloud computing,"A Gani, GM Nayeem, M Shiraz, M Sookhak… - Journal of Network and …, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S1084804514000927,https://umexpert.um.edu.my/file/publication/00001293_107503.pdf,,,1,56,No DOI available
Internet connectivity for mobile ad hoc networks,"CE Perkins, JT Malinen, R Wakikawa… - … and Mobile …, 2002 - Wiley Online Library",2002,https://onlinelibrary.wiley.com/doi/abs/10.1002/wcm.71,https://onlinelibrary.wiley.com/doi/pdf/10.1002/wcm.71,,,1,102,No DOI available
Guest editorial introduction to the special section on m-health: Beyond seamless mobility and global wireless health-care connectivity,"RSH Istepanian, E Jovanov… - IEEE Transactions on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1362649/,http://eprints.kingston.ac.uk/1587/01/Istepanian-RSH-1587.pdf,,,1,778,No DOI available
Method and apparatus for providing secure connectivity in mobile and other intermittent computing environments,"E Sturniolo, A Stavens, J Savarese - US Patent 7,882,247, 2011 - Google Patents",2011,https://patents.google.com/patent/US7882247B2/en,No PDF available,,,1,366,No DOI available
Method of and apparatus for adaptively managing connectivity for mobile devices through available interfaces,"K Lahey, A Shionozaki, P Raverdy… - US Patent App. 10 …, 2005 - Google Patents",2005,https://patents.google.com/patent/US20050058112A1/en,No PDF available,,,1,88,No DOI available
m@ ANGEL: autonomic management platform for seamless cognitive connectivity to the mobile internet,"P Demestichas, V Stavroulaki… - IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1668430/,No PDF available,,,1,64,No DOI available
Haggle: Seamless networking for mobile applications,"J Su, J Scott, P Hui, J Crowcroft, E De Lara… - International Conference …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-74853-3_23,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.472.9286&rep=rep1&type=pdf,,,1,222,No DOI available
S-MIP: A seamless handoff architecture for mobile IP,"R Hsieh, ZG Zhou, A Seneviratne - INFOCOM 2003. Twenty …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1209200/,http://infocom2003.ieee-infocom.org/papers/43_04.PDF,,,1,384,No DOI available
System and method for offering seamless connectivity across multiple devices in a communications environment,"RT Jagadeesan, BT Nguyen, M Grayson… - US Patent …, 2010 - Google Patents",2010,https://patents.google.com/patent/US7650143B2/en,No PDF available,,,1,80,No DOI available
Seamless learning in the age of mobile connectivity,"LH Wong, M Milrad, M Specht - 2015 - Springer",2015,https://link.springer.com/content/pdf/10.1007/978-981-287-113-8.pdf,No PDF available,,,1,63,No DOI available
Method for seamless networking support for mobile devices using serial communications,"P Bhagwat, C Bisdikian, I Korpeoglu… - US Patent …, 2003 - Google Patents",2003,https://patents.google.com/patent/US6651105B1/en,No PDF available,,,1,165,No DOI available
Method and apparatus for providing mobile and other intermittent connectivity in a computing environment,"AD Hanson, EA Sturniolo, A Menn, ED Olson… - US Patent …, 2003 - Google Patents",2003,https://patents.google.com/patent/US6546425B1/en,No PDF available,,,1,433,No DOI available
Leveraging mobile technology for sustainable seamless learning: a research agenda,"CK Looi, P Seow, BH Zhang, HJ So… - British journal of …, 2010 - Wiley Online Library",2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8535.2008.00912.x,http://www.academia.edu/download/30726784/2012010350224421.pdf,,,1,497,No DOI available
Method and apparatus for providing mobile and other intermittent connectivity in a computing environment,"AD Hanson, EA Sturniolo, A Menn, ED Olson… - US Patent …, 2006 - Google Patents",2006,https://patents.google.com/patent/US7136645B2/en,https://patentimages.storage.googleapis.com/41/69/40/e2d3e209cc4928/US10078377.pdf,,,1,474,No DOI available
Internet connectivity for ad hoc mobile networks,"Y Sun, EM Belding-Royer, CE Perkins - International journal of wireless …, 2002 - Springer",2002,https://link.springer.com/article/10.1023/A:1015399632291,https://www.researchgate.net/profile/Charles_Perkins/publication/2930490_Internet_Connectivity_for_Ad_Hoc_Mobile_Networks/links/54984a5e0cf2c5a7e342b92d.pdf,,,1,389,No DOI available
Wireless Landscape–Need for Seamless Connectivity,"US Jha - Wireless Personal Communications, 2002 - Springer",2002,https://link.springer.com/article/10.1023/A:1019980809581,No PDF available,,,1,19,No DOI available
Fast handovers and context transfers in mobile networks,"R Koodli, CE Perkins - ACM SIGCOMM Computer Communication …, 2001 - dl.acm.org",2001,https://dl.acm.org/citation.cfm?id=1037113,https://www.researchgate.net/profile/Charles_Perkins/publication/220195096_Fast_handovers_and_context_transfers_in_mobile_networks/links/54984a580cf2519f5a1ddd73/Fast-handovers-and-context-transfers-in-mobile-networks.pdf,,,1,175,No DOI available
Method and system for seamless roaming between wireless communication networks with a mobile terminal,"J Jawanda - US Patent 6,243,581, 2001 - Google Patents",2001,https://patents.google.com/patent/US6243581B1/en,No PDF available,,,1,409,No DOI available
Daknet: Rethinking connectivity in developing nations,"A Pentland, R Fletcher, A Hasson - Computer, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1319279/,https://openwgt.informatik.hu-berlin.de/images/1/11/DakNet_IEEE_Computer.pdf,,,1,862,No DOI available
Method to allow seamless connectivity for wireless devices in DHCP snooping/dynamic ARP inspection/IP source guard enabled unified network,"SH Ankaiah, S Choudhary, UN Shankar - US Patent 8,380,819, 2013 - Google Patents",2013,https://patents.google.com/patent/US8380819B2/en,http://patentimages.storage.googleapis.com/pdfs/US8380819.pdf,,,1,21,No DOI available
Methods and systems for enabling seamless roaming of mobile devices among wireless networks,"T Christoffel, D Juitt, G Crawshaw… - US Patent App. 10 …, 2002 - Google Patents",2002,https://patents.google.com/patent/US20020136226A1/en,No PDF available,,,1,288,No DOI available
Seamless hand-off of mobile node to a wireless local area network (WLAN),"A Kavanagh, S Krishnan - US Patent App. 10/712,954, 2005 - Google Patents",2005,https://patents.google.com/patent/US20050025164A1/en,No PDF available,,,1,78,No DOI available
Seamless internetworking of WLANs and cellular networks: architecture and performance issues in a Mobile IPv6 scenario,"M Bernaschi, F Cacace, G Iannello… - IEEE Wireless …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1452857/,http://www.academia.edu/download/45859531/Seamless_internetworking_of_WLANs_and_ce20160522-29177-io0foz.pdf,,,1,68,No DOI available
Provisioning seamless applications in mobile terminals through registering and transferring of application context,"D Trossen, H Chaskar - US Patent 7,908,378, 2011 - Google Patents",2011,https://patents.google.com/patent/US7908378B2/en,No PDF available,,,1,79,No DOI available
Achieve user authentication and seamless connectivity on wifi and wimax interworked wireless city,"YT Chen - … Optical Communications Networks, 2007. WOCN'07 …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4284143/,No PDF available,,,1,18,No DOI available
Method and apparatus to maintain connectivity for mobile terminals in wireless and cellular communications systems,"SS Rappaport, Y Park - US Patent 6,477,373, 2002 - Google Patents",2002,https://patents.google.com/patent/US6477373B1/en,No PDF available,,,1,111,No DOI available
Seamless data network telecommunication service during mobile wireless call handoff,"CC Lee - US Patent 6,539,225, 2003 - Google Patents",2003,https://patents.google.com/patent/US6539225B1/en,No PDF available,,,1,73,No DOI available
Handover in VLC systems with cooperating mobile devices,"AM Vegni, TDC Little - Computing, Networking and …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6167395/,http://www.academia.edu/download/33098809/TR-2011-10-06.pdf,,,1,49,No DOI available
Mobility management for VoIP service: Mobile IP vs. SIP,"TT Kwon, M Gerla, S Das - IEEE Wireless communications, 2002 - ant.comm.ccu.edu.tw",2002,http://ant.comm.ccu.edu.tw/course/92_3G/1_Papers_C/Mobility%20management%20for%20VoIP%20service%20mobile%20IP%20vs.%20SIP.pdf,http://ant.comm.ccu.edu.tw/course/92_3G/1_Papers_C/Mobility%20management%20for%20VoIP%20service%20mobile%20IP%20vs.%20SIP.pdf,,,1,245,No DOI available
Why Seamless? Towards Exploiting WLAN-Based Intermittent Connectivity on the Road.,"J Ott, D Kutscher - TERENA Networking Conference, 2004 - terena.nl",2004,http://www.terena.nl/publications/tnc2004-proceedings/papers/ott.pdf,http://www.terena.nl/publications/tnc2004-proceedings/papers/ott.pdf,,,1,33,No DOI available
Agent-based route optimization for mobile IP,"R Vadali, J Li, Y Wu, G Cao - … , 2001. VTC 2001 Fall. IEEE VTS …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/957257/,No PDF available,,,1,48,No DOI available
Design and implementation of two-tier mobile ad hoc networks with seamless roaming and load-balancing routing capability,"YY Hsu, YC Tseng, CC Tseng… - Quality of Service in …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1366301/,https://people.cs.nctu.edu.tw/~yctseng/papers.pub/mobile61-mip-qshine04.pdf,,,1,25,No DOI available
Tripod of requirements in horizontal heterogeneous mobile cloud computing,"Z Sanaei, S Abolfazli, A Gani, RH Khokhar - arXiv preprint arXiv …, 2012 - arxiv.org",2012,https://arxiv.org/abs/1205.3247,https://arxiv.org/pdf/1205.3247,,,1,46,No DOI available
Mobile ad hoc networking and the IETF,"JP Macker, MS Corson - … Mobile Computing and Communications …, 1998 - dl.acm.org",1998,https://dl.acm.org/citation.cfm?id=584015,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA462127,,,1,336,No DOI available
Method and system for seamless mobility of mobile terminals in a wireless network,"T Karoubalis, I Samprakoy - US Patent 7,471,656, 2008 - Google Patents",2008,https://patents.google.com/patent/US7471656B2/en,http://patentimages.storage.googleapis.com/pdfs/US7471656.pdf,,,1,47,No DOI available
Mobile connectivity solution,"E Falardeau - US Patent 7,620,065, 2009 - Google Patents",2009,https://patents.google.com/patent/US7620065B2/en,No PDF available,,,1,315,No DOI available
TeleMIP: telecommunications-enhanced mobile IP architecture for fast intradomain mobility,"S Das, A Misra, P Agrawal - IEEE Personal Communications, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/863996/,http://www.scss.tcd.ie/hitesh.tewari/papers/das.pdf,,,1,291,No DOI available
Wireless technology and system integration in body area networks for m-health applications,"E Jovanov - Engineering in Medicine and Biology Society …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1616158/,https://www.researchgate.net/profile/Emil_Jovanov/publication/224631956_Wireless_Technology_and_System_Integration_in_Body_Area_Networks_for_m-Health_Applications/links/548f15020cf214269f2635a0/Wireless-Technology-and-System-Integration-in-Body-Area-Networks-for-m-Health-Applications.pdf,,,1,142,No DOI available
Context based connectivity for mobile devices,"V Halkka, J Maki - US Patent App. 11/126,288, 2006 - Google Patents",2006,https://patents.google.com/patent/US20060073788A1/en,No PDF available,,,1,68,No DOI available
