title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Mobile wireless computing: Challenges in data management,"T Imielinski, BR Badrinath - Communications of the ACM, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=194317,No PDF available,,,1,1050,No DOI available
Data management for mobile computing,"T Imieĺinski, BR Badrinath - ACM Sigmod Record, 1993 - dl.acm.org",1993,https://dl.acm.org/citation.cfm?id=156888,No PDF available,,,1,281,No DOI available
Virtual port-based channel level mobility management middleware in heterogeneous wireless networks,"JZ Sun, M Jurmu, J Riekki… - Pervasive Services, 2005 …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1506388/,https://www.researchgate.net/profile/Marko_Jurmu/publication/4173427_Virtual_port-based_channel_level_mobility_management_middleware_in_heterogeneous_wireless_networks/links/0fcfd50a4b6b800cf4000000/Virtual-port-based-channel-level-mobility-management-middleware-in-heterogeneous-wireless-networks.pdf,,,1,815,No DOI available
Wireless sensor networks for habitat monitoring,"A Mainwaring, D Culler, J Polastre… - … sensor networks and …, 2002 - dl.acm.org",2002,https://dl.acm.org/citation.cfm?id=570751,http://quasar.org/2005/SDSU.Geol600.Sensor_Networks/sensornets.refs/www.cs.utah.edu/classes/cs6935/papers/habitat.pdf,,,1,5411,No DOI available
A survey of mobility management in next-generation all-IP-based wireless systems,"IF Akyildiz, J Xie, S Mohanty - IEEE Wireless communications, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1325888/,http://www2.ece.gatech.edu/research/labs/bwn/papers/2004/j7.pdf,,,1,855,No DOI available
Mobile wireless computing: Solutions and challenges in data management,"T Imielinski, BR Badrinath - 1993 - Citeseer",1993,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.3268&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.3268&rep=rep1&type=pdf,,,1,114,No DOI available
DistressNet: a wireless ad hoc and sensor network architecture for situation management in disaster response,"SM George, W Zhou, H Chenji, M Won, YO Lee… - IEEE Communications …, 2010 - Citeseer",2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.229.1038&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.229.1038&rep=rep1&type=pdf,,,1,234,No DOI available
Disconnection management system for wireless voice communications,"SR Ahuja - US Patent 5,752,185, 1998 - Google Patents",1998,https://patents.google.com/patent/US5752185A/en,No PDF available,,,1,69,No DOI available
Prepaid billing system for wireless data networks,"S Raman, M Borella, C Warrier - US Patent App. 10/321,863, 2004 - Google Patents",2004,https://patents.google.com/patent/US20040019539A1/en,No PDF available,,,1,388,No DOI available
Design of an application-cooperative management system for wireless sensor networks,"G Tolle, D Culler - Wireless Sensor Networks, 2005 …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1462004/,https://people.eecs.berkeley.edu/~culler/papers/tolle05snmsdesign.pdf,,,1,472,No DOI available
