title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
3D graphics cache system to maximize memory utilization for an embedded system,"Youngjin Chung, Kilwhan Lee, Jinaeon Lee, Yongsurk Lee",22-24 Nov. 2009,https://ieeexplore.ieee.org/document/5423818/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5423818,,,1,0,10.1109/SOCDC.2009.5423818
"A 182 mW 94.3 f/s in Full HD Pattern-Matching Based Image Recognition Accelerator for an Embedded Vision System in 0.13-<formula formulatype=""inline""><tex Notation=""TeX"">$\mu{\rm m}$</tex></formula>CMOS Technology","Jun-Seok Park, Hyo-Eun Kim, Lee-Sup Kim",May 2013,https://ieeexplore.ieee.org/document/6328252/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6328252,,,1,18,10.1109/TCSVT.2012.2223873
A Laboratory Setup and Teaching Methodology for Wireless and Mobile Embedded Systems,"Jean-Samuel Chenard, Zeljko Zilic, Milos Prokic",Aug. 2008,https://ieeexplore.ieee.org/document/4589051/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4589051,,,1,27,10.1109/TE.2008.919690
A Low-Cost Real-Time Embedded Stereo Vision System for Accurate Disparity Estimation Based on Guided Image Filtering,"Christos Ttofis, Christos Kyrkou, Theocharis Theocharides",1 Sept. 2016,https://ieeexplore.ieee.org/document/7353137/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7353137,,,1,11,10.1109/TC.2015.2506567
A Robust Real-Time Embedded Vision System on an Unmanned Rotorcraft for Ground Target Following,"Feng Lin, Xiangxu Dong, Ben M. Chen, Kai-Yew Lum, Tong H. Lee",Feb. 2012,https://ieeexplore.ieee.org/document/5940220/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5940220,,,1,54,10.1109/TIE.2011.2161248
A Tracking System for Wireless Embedded Nodes Using Time-of-Flight Ranging,"Evangelos B. Mazomenos, Jeff S. Reeve, Neil M. White, Andrew D. Brown",Dec. 2013,https://ieeexplore.ieee.org/document/6320554/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6320554,,,1,6,10.1109/TMC.2012.209
A fast concurrency control algorithm in embedded real-time database system,Xiaoyu Qi,16-18 April 2010,https://ieeexplore.ieee.org/document/5486030/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5486030,,,1,0,10.1109/ICCET.2010.5486030
An Embedded Mobile ECG Reasoning System for Elderly Patients,"Dong-Her Shih, Hsiu-Sen Chiang, Binshan Lin, Shih-Bin Lin",May 2010,https://ieeexplore.ieee.org/document/4895720/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4895720,,,1,36,10.1109/TITB.2009.2021065
An automatic flicker detection method for embedded camera systems,D. Poplin,May 2006,https://ieeexplore.ieee.org/document/1649642/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1649642,,,1,11,10.1109/TCE.2006.1649642
An embedded real-time finger-vein recognition system for mobile devices,"Zhi Liu, Shangling Song",May 2012,https://ieeexplore.ieee.org/document/6227456/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6227456,,,1,35,10.1109/TCE.2012.6227456
