title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A cloud based dual-root trust model for secure mobile online transactions,"Li Li, Dijiang Huang, Zhidong Shen, Samia Bouzefrane",7-10 April 2013,https://ieeexplore.ieee.org/document/6555287/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6555287,,,1,1,10.1109/WCNC.2013.6555287
A comparative study of mobile database transaction models,Ramzi A. Haraty,6-9 July 2015,https://ieeexplore.ieee.org/document/7405506/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7405506,,,1,0,10.1109/ISCC.2015.7405506
A new formal model based on P-system for mobile transactions,"Zhengwei Qi, Ruonan Rao, Guangtao Xue, Jinyuan You",15-18 Sept. 2004,https://ieeexplore.ieee.org/document/1357985/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1357985,,,1,0,10.1109/SCC.2004.1357985
A transaction model for supporting mobile collaborative works,"Hien Nam Le, Mads Nygard",25-25 May 2007,https://ieeexplore.ieee.org/document/4621774/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4621774,,,1,3,10.1109/CTS.2007.4621774
Connection Fault-Tolerant Model for distributed transaction processing in mobile computing environment,"Tome Dimovski, Pece Mitrevski",27-30 June 2011,https://ieeexplore.ieee.org/document/5974011/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5974011,,,1,0,No DOI available
Data Transaction Modeling in Mobile Networks: Contract Mechanism and Performance Analysis,"Jun Du, Erol Gelenbe, Chunxiao Jiang, Haijun Zhang, Zhu Han, Yong Ren",4-8 Dec. 2017,https://ieeexplore.ieee.org/document/8255078/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8255078,,,1,1,10.1109/GLOCOM.2017.8255078
Moflex transaction model for mobile heterogeneous multidatabase systems,"Kyong-I Ku, Yoo-Sung Kim",28-29 Feb. 2000,https://ieeexplore.ieee.org/document/836498/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=836498,,,1,6,10.1109/RIDE.2000.836498
"Seamless mobile transaction processing: models, protocols and software tools",V.K. Murthy,29-29 June 2001,https://ieeexplore.ieee.org/document/934813/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=934813,,,1,0,10.1109/ICPADS.2001.934813
Security Management Model for Mobile Databases Transaction Management,"Ziyad. T. Abdul-Mehdi, Ramlan Mahmod",7-11 April 2008,https://ieeexplore.ieee.org/document/4530294/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4530294,,,1,0,10.1109/ICTTA.2008.4530294
Simulation framework for travel trajectory generation and mobile transaction modeling,"Eric Hsueh-Chan Lu, Josh Jia-Ching Ying, Huan-Sheng Chen, Kawuu W. Lin, Vincent S. Tseng, Huan-Wen Tsai, Kuang Hung Cheng, Shun-Chieh Lin",14-16 Aug. 2012,https://ieeexplore.ieee.org/document/6449721/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6449721,,,1,0,10.1109/ISIC.2012.6449721
The P-system based model for mobile transactions,"Zhengwei Qi, Cheng Fu, Dongyu Shi, Jinyuan You",16-16 Sept. 2004,https://ieeexplore.ieee.org/document/1357250/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1357250,,,1,0,10.1109/CIT.2004.1357250
Transaction-centric Mobile-Payment Classification Model,"Abdulkareem Aljohani, Khalid Al-Begain",25-27 Sept. 2013,https://ieeexplore.ieee.org/document/6658102/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6658102,,,1,3,10.1109/NGMAST.2013.21
