title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A Transaction Model for Mobile Atomic Transactions,Lars Frank,25-28 March 2008,https://ieeexplore.ieee.org/document/4483025/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4483025,,,1,0,10.1109/WAINA.2008.208
A comparative study of mobile database transaction models,Ramzi A. Haraty,6-9 July 2015,https://ieeexplore.ieee.org/document/7405506/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7405506,,,1,0,10.1109/ISCC.2015.7405506
A model for transaction management in mobile databases,"Ziyad T. Abdul-Mehdi, Ali Bin Mamat, Hamidah Ibrahim, Mustafa Mat Deris",May-June 2010,https://ieeexplore.ieee.org/document/5458474/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5458474,,,1,1,10.1109/MPOT.2010.936929
Analyzing mobile transactions support for DBMS,"P. Serrano-Alvarado, C.L. Roncancio, M. Adiba",3-7 Sept. 2001,https://ieeexplore.ieee.org/document/953124/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=953124,,,1,11,10.1109/DEXA.2001.953124
Distributed Transactions on Mobile Systems: Performance Evaluation Using SWN,"Oumar Abdoul Sanghare, Mbaye Sene, Joel J. P. C. Rodrigues",5-9 June 2011,https://ieeexplore.ieee.org/document/5963020/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5963020,,,1,1,10.1109/icc.2011.5963020
Failure Resilient Criteria for Mobile Web Services Transactions,"Muhammad Younas, Leonard Barolli, Makoto Ikeda",19-21 Sept. 2012,https://ieeexplore.ieee.org/document/6354727/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6354727,,,1,0,10.1109/EIDWT.2012.54
Guaranteed and consistent mobile transactions in broadcast environment,M. Mohana,20-22 Dec. 2007,https://ieeexplore.ieee.org/document/4735901/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4735901,,,1,0,No DOI available
Incorporating transaction semantics to reduce reprocessing overhead in replicated mobile data applications,"Peng Liu, P. Ammann, S. Jajodia",5-5 June 1999,https://ieeexplore.ieee.org/document/776543/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=776543,,,1,4,10.1109/ICDCS.1999.776543
Isolating Transactions on Replicated Content Going Mobile,"Jose Enrique Armendariz-Inigo, Hendrik Decker, Francesc D. Munoz-Escoi",1-1 May 2007,https://ieeexplore.ieee.org/document/4417187/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4417187,,,1,0,10.1109/MDM.2007.80
Modeling the static and dynamic guard channel schemes for mobile transactions,"Guan-Chi Chen, Su-Yin Lee",14-16 Dec. 1998,https://ieeexplore.ieee.org/document/741053/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=741053,,,1,0,10.1109/ICPADS.1998.741053
Networked Data Transaction in Mobile Networks: A Prediction-based Approach Using Auction,"Jun Du, Chunxiao Jiang, Erol Gelenbe, Zhu Han, Yong Ren, Mohsen Guizani",25-29 June 2018,https://ieeexplore.ieee.org/document/8450531/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8450531,,,1,0,10.1109/IWCMC.2018.8450531
Performance Evaluation of Atomic Commit Protocols for Mobile Transactions,"N. Nouali, L. Boukantar, H. Drias",17-20 Sept. 2006,https://ieeexplore.ieee.org/document/4375220/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4375220,,,1,1,10.1109/MCWC.2006.4375220
Real-time atomic commitment for mobile distributed real-time transactions,"YingYuan Xiao, YunSheng Liu, XiaoFeng Liu, GuoQiong Liao",26-26 Sept. 2005,https://ieeexplore.ieee.org/document/1544293/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1544293,,,1,0,10.1109/WCNM.2005.1544293
Revising transaction concepts for mobile computing,"E. Pitoura, B. Bhargava",8-9 Dec. 1994,https://ieeexplore.ieee.org/document/513477/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=513477,,,1,7,10.1109/MCSA.1994.513477
Security Management Model for Mobile Databases Transaction Management,"Ziyad. T. Abdul-Mehdi, Ramlan Mahmod",7-11 April 2008,https://ieeexplore.ieee.org/document/4530294/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4530294,,,1,0,10.1109/ICTTA.2008.4530294
Transaction adaption in system on mobile devices (SyD): techniques and languages,"W. Xie, S.B. Navathe",6-9 Oct. 2003,https://ieeexplore.ieee.org/document/1286087/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1286087,,,1,0,10.1109/VETECF.2003.1286087
Transaction policies for mobile networks,"N. Santos, L. Veiga, P. Ferreira",9-9 June 2004,https://ieeexplore.ieee.org/document/1309150/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1309150,,,1,4,10.1109/POLICY.2004.1309150
