title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A cloud based dual-root trust model for secure mobile online transactions,"Li Li, Dijiang Huang, Zhidong Shen, Samia Bouzefrane",7-10 April 2013,https://ieeexplore.ieee.org/document/6555287/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6555287,,,1,1,10.1109/WCNC.2013.6555287
A prototype remote access and mobile data transaction system for police cruisers,"A.L. Kun, K. Dogan",6-9 May 2002,https://ieeexplore.ieee.org/document/1002761/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1002761,,,1,3,10.1109/VTC.2002.1002761
Adaptive data broadcast strategy for transactions with multiple data requests in mobile computing environments,"J.C.-H. Yuen, E. Chan, Kam-Yiu Lam",13-15 Dec. 1999,https://ieeexplore.ieee.org/document/811191/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=811191,,,1,1,10.1109/RTCSA.1999.811191
Classification of transaction models in mobile database system,"Amer O. Abu Salem, Ahmad H. Al-Qeerm",21-23 March 2015,https://ieeexplore.ieee.org/document/7209086/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7209086,,,1,0,10.1109/WSWAN.2015.7209086
Connection Fault-Tolerant Model for distributed transaction processing in mobile computing environment,"Tome Dimovski, Pece Mitrevski",27-30 June 2011,https://ieeexplore.ieee.org/document/5974011/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5974011,,,1,0,No DOI available
Critical segment based real-time E-signature for securing mobile transactions,"Yanzhi Ren, Chen Wang, Yingying Chen, Mooi Choo Chuah, Jie Yang",28-30 Sept. 2015,https://ieeexplore.ieee.org/document/7346804/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7346804,,,1,1,10.1109/CNS.2015.7346804
Efficient optimistic concurrency control for mobile real-time transactions in a wireless data broadcast environment,"Li Guohui, Yang Bing, Chen Jixiong",17-19 Aug. 2005,https://ieeexplore.ieee.org/document/1541121/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1541121,,,1,3,10.1109/RTCSA.2005.42
Mobility Management Scheme for Context-Aware Transactions in Pervasive and Mobile Cyberspace,"Muhammad Younas, Irfan Awan",March 2013,https://ieeexplore.ieee.org/document/6195011/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6195011,,,1,9,10.1109/TIE.2012.2198032
Programmable electronic payment card transaction limit implemented using mobile electronic technologies,"Mirko Sajić, Dušanka Bundalo, Zlatko Bundalo, Luka Sajić, Goran Kuzmić",10-14 June 2018,https://ieeexplore.ieee.org/document/8406035/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8406035,,,1,0,10.1109/MECO.2018.8406035
Real-time transaction processing with partial validation at mobile clients,"V.C.S. Lee, Kwok-Wa Lam, S.H. Son",12-14 Dec. 2000,https://ieeexplore.ieee.org/document/896429/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=896429,,,1,7,10.1109/RTCSA.2000.896429
