title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A Web-based design for the mobile transaction management of a distributed database system,"Jianting Zhong, Wanlei Zhou",22-25 Sept. 1998,https://ieeexplore.ieee.org/document/713621/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=713621,,,1,0,10.1109/TOOLS.1998.713621
A comparative study of mobile database transaction models,Ramzi A. Haraty,6-9 July 2015,https://ieeexplore.ieee.org/document/7405506/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7405506,,,1,0,10.1109/ISCC.2015.7405506
A probability-based approach of transaction consistency in mobile environments,"Huaizhong Lin, Chun Chen, Bo Zhou",16-19 Oct. 2001,https://ieeexplore.ieee.org/document/962639/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=962639,,,1,0,10.1109/ICCNMC.2001.962639
Adaptable transaction consistency for mobile environments,A. Rakotonirainy,26-28 Aug. 1998,https://ieeexplore.ieee.org/document/707437/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=707437,,,1,1,10.1109/DEXA.1998.707437
Concurrency control of real-time transactions with disconnections in mobile computing environment,"GuoQiong Liao, YunSheng Liu, LiNa Wang, ChuJi Peng",20-23 Oct. 2003,https://ieeexplore.ieee.org/document/1243047/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1243047,,,1,6,10.1109/ICCNMC.2003.1243047
Context-Aware Mobile Services Transactions,"Muhammad Younas, Soraya Kouadri Mostéfaoui",20-23 April 2010,https://ieeexplore.ieee.org/document/5474804/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5474804,,,1,2,10.1109/AINA.2010.157
Efficient optimistic concurrency control for mobile real-time transactions in a wireless data broadcast environment,"Li Guohui, Yang Bing, Chen Jixiong",17-19 Aug. 2005,https://ieeexplore.ieee.org/document/1541121/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1541121,,,1,3,10.1109/RTCSA.2005.42
Failure Resilient Criteria for Mobile Web Services Transactions,"Muhammad Younas, Leonard Barolli, Makoto Ikeda",19-21 Sept. 2012,https://ieeexplore.ieee.org/document/6354727/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6354727,,,1,0,10.1109/EIDWT.2012.54
Guaranteed and consistent mobile transactions in broadcast environment,M. Mohana,20-22 Dec. 2007,https://ieeexplore.ieee.org/document/4735901/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4735901,,,1,0,No DOI available
Improving data consistency in mobile computing using isolation-only transactions,"Qi Lu, M. Satyanarayanan",4-5 May 1995,https://ieeexplore.ieee.org/document/513467/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=513467,,,1,12,10.1109/HOTOS.1995.513467
Improving the Success Rate of Concurrent Mobile Transactions by Predicting Time for Execution,"Salman Abdul Moiz, Umesh Kumar Choudhary",20-23 Dec. 2014,https://ieeexplore.ieee.org/document/7024677/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7024677,,,1,0,10.1109/UNESST.2014.13
Increasing mobile transaction concurrency in dynamically configurable environments,"A. Brayner, J.A. Filho",6-10 June 2005,https://ieeexplore.ieee.org/document/1437237/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1437237,,,1,4,10.1109/ICDCSW.2005.76
"Loosely-coupled, mobile replication of objects with transactions","L. Veiga, N. Santos, R. Lebre, P. Ferreira",9-9 July 2004,https://ieeexplore.ieee.org/document/1316154/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1316154,,,1,3,10.1109/ICPADS.2004.1316154
Mobile transaction system for supporting mobile work,"H.N. Le, M. Nygaard",22-26 Aug. 2005,https://ieeexplore.ieee.org/document/1508420/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1508420,,,1,2,10.1109/DEXA.2005.136
Resource conservation in a mobile transaction system,"Qi Lu, M. Satyanarayanan",March 1997,https://ieeexplore.ieee.org/document/580426/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=580426,,,1,5,10.1109/12.580426
