title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
3-Axis Camera Motion Compensation Coupled with Target Tracking for Stabilized Video Capture from Small-Scale Flying Vehicle,"Sun Yanjie, Dongwoon Jeon, Doo-Hyun Kim",3-5 July 2013,https://ieeexplore.ieee.org/document/6603673/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6603673,,,1,1,10.1109/IMIS.2013.42
A 0.55 V 1.1 mW Artificial Intelligence Processor With On-Chip PVT Compensation for Autonomous Mobile Robots,"Youchang Kim, Dongjoo Shin, Jinsu Lee, Yongsu Lee, Hoi-Jun Yoo",Feb. 2018,https://ieeexplore.ieee.org/document/8004525/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8004525,,,1,1,10.1109/TCSI.2017.2727510
A 1.1 mW 32-thread artificial intelligence processor with 3-level transposition table and on-chip PVT compensation for autonomous mobile robots,"Youchang Kim, Dongjoo Shin, Jinsu Lee, Hoi-Jun Yoo",20-22 April 2016,https://ieeexplore.ieee.org/document/7503671/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7503671,,,1,0,10.1109/CoolChips.2016.7503671
A 15.5–39GHz BiCMOS VGA with phase shift compensation for 5G mobile communication transceivers,"Fabio Padovan, Marc Tiebout, Andrea Neviani, Andrea Bevilacqua",12-15 Sept. 2016,https://ieeexplore.ieee.org/document/7598317/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7598317,,,1,2,10.1109/ESSCIRC.2016.7598317
A CMOS dB-linear VGA with pre-distortion compensation for wireless communication applications,"Yuanjin Zheng, Jiangnan Yan, Yong Ping Xu",23-26 May 2004,https://ieeexplore.ieee.org/document/1328319/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1328319,,,1,7,10.1109/ISCAS.2004.1328319
A Compensation Method of the Forward Power Control in Multi-Service Hierarchical CDMA System,"Jiang Ji, Kaizhi Huang, Liang Jin",21-25 Sept. 2007,https://ieeexplore.ieee.org/document/4339936/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4339936,,,1,0,10.1109/WICOM.2007.161
A Current-Mode Buck Converter With Reconfigurable On-Chip Compensation and Adaptive Voltage Positioning,"Ching-Jan Chen, Shao-Hung Lu, Sheng-Fu Hsiao, Yung-Jen Chen, Jian-Rong Huang",Jan. 2019,https://ieeexplore.ieee.org/document/8340182/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8340182,,,1,0,10.1109/TPEL.2018.2827949
A Fast Digital Predistortion Algorithm for Radio-Frequency Power Amplifier Linearization With Loop Delay Compensation,"Hao Li, Dae Hyun Kwon, Deming Chen, Yun Chiu",June 2009,https://ieeexplore.ieee.org/document/4939433/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4939433,,,1,45,10.1109/JSTSP.2009.2020562
A Hybrid AMOLED Driver IC for Real-Time TFT Nonuniformity Compensation,"Jun-Suk Bang, Hyun-Sik Kim, Ki-Duk Kim, Oh-Jo Kwon, Choong-Sun Shin, Joohyung Lee, Gyu-Hyeong Cho",April 2016,https://ieeexplore.ieee.org/document/7400971/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7400971,,,1,3,10.1109/JSSC.2015.2504416
A Kind of Supplier Relationship Management Mechanism with Stock-Outs Compensation in E-Commerce,Guangshu Chang,21-25 Sept. 2007,https://ieeexplore.ieee.org/document/4340671/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4340671,,,1,0,10.1109/WICOM.2007.896
A Minimal Fuzzy Gain Scheduling Speed Controller and Torque Compensation for the Variable Sampling System of BLDC Motors,"Chung-Wen Hung, Jhih-Han Chen, Hsuan T. Chang",30 June-2 July 2011,https://ieeexplore.ieee.org/document/5976252/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5976252,,,1,4,10.1109/IMIS.2011.85
A New Link Maintenance and Compensation Model for Cognitive UWB Radio Systems,"Jin Tian, Guangguo Bi",21-23 June 2006,https://ieeexplore.ieee.org/document/4068578/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4068578,,,1,9,10.1109/ITST.2006.288867
A Novel Compensation Method of Nonlinear Distortions in OFDM System,"Jing Yang, Xiaomin Mu, Shouyi Yang, Lin Qi",12-15 Dec. 2006,https://ieeexplore.ieee.org/document/4212356/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4212356,,,1,0,10.1109/ISPACS.2006.364738
A Smart Solution for Fair Value Compensation (FVC) in EV-Batteries Based Mobile Microgrid,"Raziq Yaqub, Azaz Tariq, Yu Cao",17-19 Dec. 2012,https://ieeexplore.ieee.org/document/6424326/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6424326,,,1,1,10.1109/FIT.2012.47
