title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A Generic Architecture Supporting Context-Aware Data and Transaction Management for Mobile Applications,"Steffen Vaupel, Damian Wlochowitz, Gabriele Taentzer",16-17 May 2016,https://ieeexplore.ieee.org/document/7832973/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7832973,,,1,0,10.1109/MobileSoft.2016.035
A cloud based dual-root trust model for secure mobile online transactions,"Li Li, Dijiang Huang, Zhidong Shen, Samia Bouzefrane",7-10 April 2013,https://ieeexplore.ieee.org/document/6555287/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6555287,,,1,1,10.1109/WCNC.2013.6555287
A mobile transaction processing system to improve concurrency in mobile database,"M. Mohana, C. Jayakumar",26-28 Dec. 2013,https://ieeexplore.ieee.org/document/6724253/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6724253,,,1,0,10.1109/ICCIC.2013.6724253
A transaction model for mobile computing,"S.K. Madria, B. Bhargava",10-10 July 1998,https://ieeexplore.ieee.org/document/694363/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=694363,,,1,16,10.1109/IDEAS.1998.694363
Agent-Based Infrastructure for Data and Transaction Management in Mobile Heterogeneous Environment,"Machigar Ongtang, Ali R. Hurson, Yu Jiao",6-8 Jan. 2009,https://ieeexplore.ieee.org/document/4797269/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4797269,,,1,1,10.1109/CMC.2009.321
Analyzing mobile transactions support for DBMS,"P. Serrano-Alvarado, C.L. Roncancio, M. Adiba",3-7 Sept. 2001,https://ieeexplore.ieee.org/document/953124/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=953124,,,1,11,10.1109/DEXA.2001.953124
Broadcast of consistent data to read-only transactions from mobile clients,"Kam-Yiu Lam, Mei-Wai Au, Edward Chan",25-26 Feb. 1999,https://ieeexplore.ieee.org/document/749280/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=749280,,,1,14,10.1109/MCSA.1999.749280
Defensive protocol to ensure safe Mobile Financial Transaction in current context,"Md. Hasib Firoz, Zulfiquar Ahmed",18-20 Jan. 2017,https://ieeexplore.ieee.org/document/7886157/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7886157,,,1,0,10.1109/ACDT.2017.7886157
Enforcing interdependencies and executing transactions atomically over autonomous mobile data stores using SyD link technology,"S.K. Prasad, A.G. Bourgeois, E. Dogdu, R. Sunderraman, Yi Pan, S. Navathe, V. Madisetti",19-22 May 2003,https://ieeexplore.ieee.org/document/1203650/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1203650,,,1,21,10.1109/ICDCSW.2003.1203650
Failure Resilient Criteria for Mobile Web Services Transactions,"Muhammad Younas, Leonard Barolli, Makoto Ikeda",19-21 Sept. 2012,https://ieeexplore.ieee.org/document/6354727/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6354727,,,1,0,10.1109/EIDWT.2012.54
Improving the Success Rate of Concurrent Mobile Transactions by Predicting Time for Execution,"Salman Abdul Moiz, Umesh Kumar Choudhary",20-23 Dec. 2014,https://ieeexplore.ieee.org/document/7024677/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7024677,,,1,0,10.1109/UNESST.2014.13
