title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A P2P approach for automating seamless connectivity given intermittent bandwidth constraints,"Vasanth Vallabh B Naib, Shrisha Rao",24-27 Aug. 2011,https://ieeexplore.ieee.org/document/6042517/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6042517,,,1,1,10.1109/CASE.2011.6042517
Achieve User Authentication and Seamless Connectivity on WiFi and WiMAX Interworked Wireless City,Yu-Tso Chen,2-4 July 2007,https://ieeexplore.ieee.org/document/4284143/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4284143,,,1,6,10.1109/WOCN.2007.4284143
Dynamic Femtocell gNB On/Off Strategies and Seamless Dual Connectivity in 5G Heterogeneous Cellular Networks,"Xiaoge Huang, She Tang, Qian Zheng, Dongyu Zhang, Qianbin Chen",2018,https://ieeexplore.ieee.org/document/8265215/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8265215,,,1,0,10.1109/ACCESS.2018.2796126
Efficient traffic offloading for seamless connectivity in 5G networks onboard high speed trains,"Leila Jalili, Ali Parichehreh, Stefan Alfredsson, Johan Garcia, Anna Brunstrom",8-13 Oct. 2017,https://ieeexplore.ieee.org/document/8292462/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8292462,,,1,0,10.1109/PIMRC.2017.8292462
Enhanced CRA protocol for seamless connectivity in wireless networks,"Elankayer Sithirasenan, Khosrow Ramezani, Vallipuram Muthukkumarasamy",2-5 Oct. 2012,https://ieeexplore.ieee.org/document/6380852/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6380852,,,1,3,10.1109/ISCIT.2012.6380852
Seamless Connectivity Scheme for Heterogeneous Wireless Networks,"Iyad Alkhayat, Anup Kumar, Adel Elmaghraby",16-19 Dec. 2008,https://ieeexplore.ieee.org/document/4775651/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4775651,,,1,0,10.1109/ISSPIT.2008.4775651
Seamless Connectivity and Routing in Vehicular Networks with Infrastructure,"Stefano Annese, Claudio Casetti, Carla-Fabiana Chiasserini, Nazario Di Maio, Andrea Ghittino, Massimo Reineri",March 2011,https://ieeexplore.ieee.org/document/5719264/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5719264,,,1,15,10.1109/JSAC.2011.110302
"Seamless Gate-to-Gate Connectivity Concept: Onboard LTE, Wi-Fi and LAA","Ergin Dinc, Michal Vondra, Cicek Cavdar",24-27 Sept. 2017,https://ieeexplore.ieee.org/document/8288087/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8288087,,,1,1,10.1109/VTCFall.2017.8288087
Seamless Mobility of Users with QoS and Connectivity Support,"Luis Veloso, Eduardo Cerqueira, Edmundo Monteiro, Paulo Mendes",8-10 Oct. 2007,https://ieeexplore.ieee.org/document/4390830/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4390830,,,1,1,10.1109/WIMOB.2007.4390830
m@ANGEL: autonomic management platform for seamless cognitive connectivity to the mobile internet,"P. Demestichas, V. Stavroulaki, D. Boscovic, A. Lee, J. Strassner",June 2006,https://ieeexplore.ieee.org/document/1668430/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1668430,,,1,38,10.1109/MCOM.2006.1668430
