title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Handling Client Mobility and Intermittent Connectivity in Mobile Web Accesses,"Purushottam Kulkarni,    Prashant Shenoy,    Krithi Ramamritham",2003,https://link.springer.com/chapter/10.1007/3-540-36389-0_36,No PDF available,,,1,1,https://doi.org/10.1007/3-540-36389-0_36
Disconnection Modes for Mobile Databases,"JoAnne Holliday,    Divyakant Agrawal,    Amr El Abbadi",2002,https://link.springer.com/article/10.1023/A%3A1015542723791,https://link.springer.com/content/pdf/10.1023%2FA%3A1015542723791.pdf,,,1,12,https://doi.org/10.1023/A:1015542723791
Challenges and Solutions to Adaptive Computing and Seamless Mobility over Heterogeneous Wireless Networks,Vaduvur Bharghavan,1997,https://link.springer.com/article/10.1023/A%3A1008821130378,https://link.springer.com/content/pdf/10.1023%2FA%3A1008821130378.pdf,,,1,8,https://doi.org/10.1023/A:1008821130378
Mobile Computing,"Omran Bukhres,    Evaggelia Pitoura…",2003,https://link.springer.com/chapter/10.1007/978-3-540-24742-5_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-24742-5_10
Handling the M in MANet: An Algorithm to Identify Stable Groups of Peers Using Cross-Layering Information,"Hoa Dung Ha Duong,    Isabelle Demeure",2012,https://link.springer.com/chapter/10.1007/978-3-642-29336-8_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-29336-8_7
An Architecture for Supporting Disconnected Operation in Workflow: An XML-Based Approach,"Pedro Arroyo-Sandoval,    Ana I. Martinez-Garcia…",2003,https://link.springer.com/chapter/10.1007/978-3-540-39850-9_24,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-39850-9_24
Rule Based (Forward Chaining/Data Driven) Expert System for Node Level Congestion Handling in Opportunistic Network,"Ahthasham Sajid,    Khalid Hussain",2018,https://link.springer.com/article/10.1007/s11036-018-1016-0,https://link.springer.com/content/pdf/10.1007%2Fs11036-018-1016-0.pdf,,,1,No cite count available,https://doi.org/10.1007/s11036-018-1016-0
System-Level Support,"Evaggelia Pitoura,    George Samaras",1998,https://link.springer.com/chapter/10.1007/978-1-4615-5527-8_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-5527-8_3
Ambient-Oriented Exception Handling,"Stijn Mostinckx,    Jessie Dedecker…",2006,https://link.springer.com/chapter/10.1007/11818502_8,No PDF available,,,1,1,https://doi.org/10.1007/11818502_8
Caching Components for Disconnection Management in Mobile Environments,"Nabil Kouici,    Denis Conan,    Guy Bernard",2004,https://link.springer.com/chapter/10.1007/978-3-540-30469-2_32,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-30469-2_32
Marriages and Mobility in Akan Societies: Disconnections and Connections over Time and Space,Astrid Bochow,2012,https://link.springer.com/chapter/10.1057/9781137278029_7,No PDF available,,,1,1,https://doi.org/10.1057/9781137278029_7
Relationship Challenges: Connection and Disconnection,Linda Brimm,2010,https://link.springer.com/chapter/10.1057/9780230289796_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230289796_6
Efficient Mobility Management for Cache Invalidation in Wireless Mobile Environment,"Narottam Chand,    R. C. Joshi,    Manoj Misra",2005,https://link.springer.com/chapter/10.1007/11603771_59,https://link.springer.com/content/pdf/10.1007%2F11603771_59.pdf,,,1,1,https://doi.org/10.1007/11603771_59
Integrating Mobility in RPL,"Cosmin Cobârzan,    Julien Montavont,    Thomas Noel",2015,https://link.springer.com/chapter/10.1007/978-3-319-15582-1_9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15582-1_9.pdf,,,1,5,https://doi.org/10.1007/978-3-319-15582-1_9
Fact Spaces: Coordination in the Face of Disconnection,"Stijn Mostinckx,    Christophe Scholliers,    Eline Philips…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72794-1_15,No PDF available,,,1,7,https://doi.org/10.1007/978-3-540-72794-1_15
