title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Caching Components for Disconnection Management in Mobile Environments,"Nabil Kouici,    Denis Conan,    Guy Bernard",2004,https://link.springer.com/chapter/10.1007/978-3-540-30469-2_32,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-30469-2_32
Disconnection Modes for Mobile Databases,"JoAnne Holliday,    Divyakant Agrawal,    Amr El Abbadi",2002,https://link.springer.com/article/10.1023/A%3A1015542723791,https://link.springer.com/content/pdf/10.1023%2FA%3A1015542723791.pdf,,,1,12,https://doi.org/10.1023/A:1015542723791
Data and Transaction Management in a Mobile Environment,"Sanjay Madria,    Bharat Bhargava,    Mukesh Mohania,    Sourav Bhowmick",2002,https://link.springer.com/chapter/10.1007/0-306-47602-9_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/0-306-47602-9_8
A Survey of Mobile Transactions,"Patricia Serrano-Alvarado,    Claudia Roncancio…",2004,https://link.springer.com/article/10.1023/B%3ADAPD.0000028552.69032.f9,https://link.springer.com/content/pdf/10.1023%2FB%3ADAPD.0000028552.69032.f9.pdf,,,1,38,https://doi.org/10.1023/B:DAPD.0000028552.69032.f9
Mobile Computing,"Omran Bukhres,    Evaggelia Pitoura…",2003,https://link.springer.com/chapter/10.1007/978-3-540-24742-5_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-24742-5_10
A Mobile Database Sharing Protocol to Increase Data Availability in Mobile Environments,"Hien Nam Le,    Mads Nygård",2007,https://link.springer.com/chapter/10.1007/978-3-540-72909-9_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-72909-9_5
Managing concurrent execution of transactions in mobile ad-hoc network database systems: an energy-efficient approach,"Zhaowen Xing,    Le Gruenwald",2013,https://link.springer.com/article/10.1007/s10619-012-7114-2,https://link.springer.com/content/pdf/10.1007%2Fs10619-012-7114-2.pdf,,,1,3,https://doi.org/10.1007/s10619-012-7114-2
Context-adaptive and energy-efficient mobile transaction management in pervasive environments,"Feilong Tang,    Minglu Li",2012,https://link.springer.com/article/10.1007/s11227-009-0277-6,https://link.springer.com/content/pdf/10.1007%2Fs11227-009-0277-6.pdf,,,1,No cite count available,https://doi.org/10.1007/s11227-009-0277-6
A pre‐serialization transaction management technique for mobile multidatabases,"Ravi A. Dirckze,    Le Gruenwald",2000,https://link.springer.com/article/10.1023/A%3A1019133317760,https://link.springer.com/content/pdf/10.1023%2FA%3A1019133317760.pdf,,,1,29,https://doi.org/10.1023/A:1019133317760
A Transaction Processing Model for the Mobile Data Access System,"K. Segun,    A. R. Hurson,    A. Spink",2001,https://link.springer.com/chapter/10.1007/3-540-44743-1_11,No PDF available,,,1,2,https://doi.org/10.1007/3-540-44743-1_11
