title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
"Disconnected Processes, Mechanisms and Architecture for Mobile E-Business","J. Sairamesh,    S. Goh,    I. Stanoi,    S. Padmanabhan…",2004,https://link.springer.com/article/10.1023/B%3AMONE.0000042504.21014.61,https://link.springer.com/content/pdf/10.1023%2FB%3AMONE.0000042504.21014.61.pdf,,,1,11,https://doi.org/10.1023/B:MONE.0000042504.21014.61
The Disconnection Tableau Calculus,"Reinhold Letz,    Gernot Stenz",2007,https://link.springer.com/article/10.1007/s10817-006-9048-8,https://link.springer.com/content/pdf/10.1007%2Fs10817-006-9048-8.pdf,,,1,3,https://doi.org/10.1007/s10817-006-9048-8
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,https://link.springer.com/content/pdf/10.1007%2Fs12603-009-0095-9.pdf,,,1,1,https://doi.org/10.1007/s12603-009-0095-9
A Suggestion for Analysis of Unexpected Obstacles in Embedded System,"Yasufumi Shinyashiki,    Toshiro Mise…",2007,https://link.springer.com/chapter/10.1007/978-3-540-73345-4_86,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-73345-4_86
Entries,"Harry Liebersohn,    Martin Klimke…",2009,https://link.springer.com/chapter/10.1007/978-1-349-74030-7_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74030-7_1
Ambient-Oriented Exception Handling,"Stijn Mostinckx,    Jessie Dedecker…",2006,https://link.springer.com/chapter/10.1007/11818502_8,No PDF available,,,1,1,https://doi.org/10.1007/11818502_8
Supplement 2 September 2011,No author available,2011,https://link.springer.com/article/10.1007/s00134-011-2322-1,https://link.springer.com/content/pdf/10.1007%2Fs00134-011-2322-1.pdf,,,1,No cite count available,https://doi.org/10.1007/s00134-011-2322-1
AC Offshore Substations Associated with Wind Power Plants,"John Finn,    Peter Sandeberg",2019,https://link.springer.com/referenceworkentry/10.1007/978-3-319-49574-3_29,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49574-3_29.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-49574-3_29
Universal Variables in Disconnection Tableaux,"Reinhold Letz,    Gernot Stenz",2003,https://link.springer.com/chapter/10.1007/978-3-540-45206-5_11,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-45206-5_11
Proof and Model Generation with Disconnection Tableaux,Reinhold Letz…,2001,https://link.springer.com/chapter/10.1007/3-540-45653-8_10,No PDF available,,,1,6,https://doi.org/10.1007/3-540-45653-8_10
Fact Spaces: Coordination in the Face of Disconnection,"Stijn Mostinckx,    Christophe Scholliers,    Eline Philips…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72794-1_15,No PDF available,,,1,7,https://doi.org/10.1007/978-3-540-72794-1_15
Concepts for Wide Area Workflow Management (WAWM),"Gerold Riempp Dipl. Wirtschaftsingenieur, PhD",1998,https://link.springer.com/chapter/10.1007/978-1-4471-1578-6_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4471-1578-6_5
Information Agents for Mobile and Embedded Devices,"Tim Finin,    Anupam Joshi,    Lalana Kagal,    Olga Ratsimore…",2001,https://link.springer.com/chapter/10.1007/3-540-44799-7_30,No PDF available,,,1,6,https://doi.org/10.1007/3-540-44799-7_30
Novel pervasive scenarios for home management: the Butlers architecture,Enrico Denti,2014,https://link.springer.com/article/10.1186/2193-1801-3-52,https://link.springer.com/content/pdf/10.1186%2F2193-1801-3-52.pdf,,,1,4,https://doi.org/10.1186/2193-1801-3-52
Application Protocols,No author available,2008,https://link.springer.com/chapter/10.1007/978-3-540-77541-6_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-77541-6_11
Scientific Programme — Abstracts,No author available,2003,https://link.springer.com/article/10.1007/BF03323651,https://link.springer.com/content/pdf/10.1007%2FBF03323651.pdf,,,1,No cite count available,https://doi.org/10.1007/BF03323651
A Fully Digital Smart LED Luminaire with Remote Management and Embedded Power Quality Analysis System,"Guilherme M. Soares,    Pedro S. Almeida…",2017,https://link.springer.com/article/10.1007/s40313-017-0335-x,https://link.springer.com/content/pdf/10.1007%2Fs40313-017-0335-x.pdf,,,1,1,https://doi.org/10.1007/s40313-017-0335-x
Proposal for Sophisticated Periodic Execution Control in Embedded Systems,"Yuuki Furukawa,    Toshihiro Yamauchi…",2010,https://link.springer.com/chapter/10.1007/978-3-642-17569-5_54,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-17569-5_54
International Surgical Week ISW 2011,No author available,2011,https://link.springer.com/article/10.1007/s00268-011-1190-8,https://link.springer.com/content/pdf/10.1007%2Fs00268-011-1190-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s00268-011-1190-8
