title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
Common friends discovery for multiple parties with friendship ownership and replay-attack resistance in mobile social networks,Shin-Yan Chiou,2018,https://link.springer.com/article/10.1007/s11276-016-1382-0,https://link.springer.com/content/pdf/10.1007%2Fs11276-016-1382-0.pdf,,,1,2,https://doi.org/10.1007/s11276-016-1382-0
Entries,"Harry Liebersohn,    Martin Klimke…",2009,https://link.springer.com/chapter/10.1007/978-1-349-74030-7_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74030-7_1
Distributed replica placement algorithms for correlated data,"Manghui Tu,    I-Ling Yen",2014,https://link.springer.com/article/10.1007/s11227-013-1036-2,https://link.springer.com/content/pdf/10.1007%2Fs11227-013-1036-2.pdf,,,1,5,https://doi.org/10.1007/s11227-013-1036-2
A Mobility Calculus with Local and Dependent Types,"Mario Coppo,    Federico Cozzi…",2005,https://link.springer.com/chapter/10.1007/11601548_20,https://link.springer.com/content/pdf/10.1007%2F11601548_20.pdf,,,1,1,https://doi.org/10.1007/11601548_20
Notes on Nominal Calculi for Security and Mobility,Andrew D. Gordon,2001,https://link.springer.com/chapter/10.1007/3-540-45608-2_5,https://link.springer.com/content/pdf/10.1007%2F3-540-45608-2_5.pdf,,,1,6,https://doi.org/10.1007/3-540-45608-2_5
Efficient trust management with Bayesian-Evidence theorem to secure public key infrastructure-based mobile ad hoc networks,"Janani V S,    Manikandan M S K",2018,https://link.springer.com/article/10.1186/s13638-017-1001-5,https://link.springer.com/content/pdf/10.1186%2Fs13638-017-1001-5.pdf,,,1,1,https://doi.org/10.1186/s13638-017-1001-5
Energy Saving of Mobile Devices Based on Component Migration and Replication in Pervasive Computing,"Songqiao Han,    Shensheng Zhang,    Yong Zhang",2006,https://link.springer.com/chapter/10.1007/11833529_65,No PDF available,,,1,3,https://doi.org/10.1007/11833529_65
"Mobile radio slotted ALOHA with capture, diversity and retransmission control in the presence of shadowing",Michele Zorzi,1998,https://link.springer.com/article/10.1023/A%3A1019129012116,https://link.springer.com/content/pdf/10.1023%2FA%3A1019129012116.pdf,,,1,15,https://doi.org/10.1023/A:1019129012116
Demise of the Dogmatic Universe,Professor Ari Ben-Menahem,2009,https://link.springer.com/referenceworkentry/10.1007/978-3-540-68832-7_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-68832-7
P,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_1
R,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_3,No PDF available,,,1,1,https://doi.org/10.1007/978-1-349-14286-6_3
An efficient fast algorithm for discovering closed+ high utility itemsets,"Jayakrushna Sahoo,    Ashok Kumar Das,    A. Goswami",2016,https://link.springer.com/article/10.1007/s10489-015-0740-4,https://link.springer.com/content/pdf/10.1007%2Fs10489-015-0740-4.pdf,,,1,3,https://doi.org/10.1007/s10489-015-0740-4
Fast Data Patterns,"Raul Estrada,    Isaac Ruiz",2016,https://link.springer.com/chapter/10.1007/978-1-4842-2175-4_9,https://link.springer.com/content/pdf/10.1007%2F978-1-4842-2175-4_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-1-4842-2175-4_9
Privacy Assurances in Multiple Data-Aggregation Transactions,"Kim Le,    Parmesh Ramanathan,    Kewal K. Saluja",2014,https://link.springer.com/chapter/10.1007/978-3-319-12160-4_1,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-12160-4_1
Abstraction and Unification,Professor Ari Ben-Menahem,2009,https://link.springer.com/referenceworkentry/10.1007/978-3-540-68832-7_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-68832-7
Distributed Database Management Systems: Architectural Design Choices for the Cloud,"Joarder Mohammad Mustafa Kamal,    Manzur Murshed",2014,https://link.springer.com/chapter/10.1007/978-3-319-10530-7_2,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-10530-7_2
Flocking Motion of Mobile Agents with a Leader Based on Distance-Dependent Adjacency Matrix,"Hui Yu,    Jigui Jian,    Yongji Wang",2008,https://link.springer.com/chapter/10.1007/978-3-540-88513-9_124,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-88513-9_124
Big data storage technologies: a survey,"Aisha Siddiqa,    Ahmad Karim,    Abdullah Gani",2017,https://link.springer.com/article/10.1631/FITEE.1500441,https://link.springer.com/content/pdf/10.1631%2FFITEE.1500441.pdf,,,1,1,https://doi.org/10.1631/FITEE.1500441
Optimising Channel Assignments for Private Mobile Radio Networks in the UHF 2 Band,"Roger M. Whitaker,    Steve Hurley,    Stuart M. Allen",2002,https://link.springer.com/article/10.1023/A%3A1020325602854,https://link.springer.com/content/pdf/10.1023%2FA%3A1020325602854.pdf,,,1,5,https://doi.org/10.1023/A:1020325602854
Abstracts of Documents in This Supplement,No author available,1997,https://link.springer.com/chapter/10.1007/978-1-4615-5971-9_1,No PDF available,,,1,No cite count available,No DOI available
Stochastic event capturing with a single mobile robot in rectangular perimeters,"Xiannuan Liang,    Yang Xiao,    Jingyuan Zhang,    Hongmei Deng…",2013,https://link.springer.com/article/10.1007/s11235-011-9570-9,https://link.springer.com/content/pdf/10.1007%2Fs11235-011-9570-9.pdf,,,1,6,https://doi.org/10.1007/s11235-011-9570-9
Boxed Ambients with Communication Interfaces,"Eduardo Bonelli,    Adriana Compagnoni…",2004,https://link.springer.com/chapter/10.1007/978-3-540-28629-5_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-28629-5_7
Types for Security in a Mobile World,"Adriana B. Compagnoni,    Elsa L. Gunter",2005,https://link.springer.com/chapter/10.1007/11580850_6,https://link.springer.com/content/pdf/10.1007%2F11580850_6.pdf,,,1,1,https://doi.org/10.1007/11580850_6
"CARS 2016—Computer Assisted Radiology and Surgery Proceedings of the 30th International Congress and Exhibition Heidelberg, Germany, June 21–25, 2016",No author available,2016,https://link.springer.com/article/10.1007/s11548-016-1412-5,https://link.springer.com/content/pdf/10.1007%2Fs11548-016-1412-5.pdf,,,1,3,https://doi.org/10.1007/s11548-016-1412-5
Eventually Consistent Transactions,"Sebastian Burckhardt,    Daan Leijen,    Manuel Fähndrich…",2012,https://link.springer.com/chapter/10.1007/978-3-642-28869-2_4,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28869-2_4.pdf,,,1,13,https://doi.org/10.1007/978-3-642-28869-2_4
Antennas & Propagation,"A. Papathanassiou,    J. J. Blanz,    M. Weckerle…",2001,https://link.springer.com/chapter/10.1007/978-3-642-56919-7_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-56919-7_4
Creators,"Ravi P. Agarwal,    Syamal K. Sen",2014,https://link.springer.com/chapter/10.1007/978-3-319-10870-4_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-10870-4_2
