title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Enhanced signature RTD transaction scheme based on Chebyshev polynomial for mobile payments service in IoT device environment,"Sung-Wook Park,    Im-Yeong Lee",2018,https://link.springer.com/article/10.1007/s11227-018-2546-8,https://link.springer.com/content/pdf/10.1007%2Fs11227-018-2546-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s11227-018-2546-8
A Survey of Mobile Transactions,"Patricia Serrano-Alvarado,    Claudia Roncancio…",2004,https://link.springer.com/article/10.1023/B%3ADAPD.0000028552.69032.f9,https://link.springer.com/content/pdf/10.1023%2FB%3ADAPD.0000028552.69032.f9.pdf,,,1,No cite count available,https://doi.org/10.1023/B:DAPD.0000028552.69032.f9
Indian Mobile Agricultural Services Using Big Data and Internet of Things (IoT),"Pallavi Chatuphale,    Leisa Armstrong",2018,https://link.springer.com/chapter/10.1007/978-3-319-76348-4_99,https://link.springer.com/content/pdf/10.1007%2F978-3-319-76348-4_99.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-76348-4_99
A New Information Publishing System for Mobile Terminal by Location-Based Services Based on IoT,"Li Zhu,    Guoguang Ma",2018,https://link.springer.com/chapter/10.1007/978-981-13-0896-3_42,https://link.springer.com/content/pdf/10.1007%2F978-981-13-0896-3_42.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-13-0896-3_42
Analysis of Stakeholders Within IoT Ecosystem,"Sudatta Kar,    Bratin Chakravorty,    Shuchi Sinha,    M. P. Gupta",2018,https://link.springer.com/chapter/10.1007/978-3-319-78378-9_15,https://link.springer.com/content/pdf/10.1007%2F978-3-319-78378-9_15.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-78378-9_15
A methodology for deployment of IoT application in fog,Salvatore Venticinque…,2018,https://link.springer.com/article/10.1007/s12652-018-0785-4,https://link.springer.com/content/pdf/10.1007%2Fs12652-018-0785-4.pdf,,,1,3,https://doi.org/10.1007/s12652-018-0785-4
Decentralized Autonomous Organizations = Blockchain + AI + IoT,"Soumendra Mohanty,    Sachin Vyas",2018,https://link.springer.com/chapter/10.1007/978-1-4842-3808-0_9,https://link.springer.com/content/pdf/10.1007%2F978-1-4842-3808-0_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-1-4842-3808-0_9
Malicious IoT Implants: Tampering with Serial Communication over the Internet,"Philipp Morgner,    Stefan Pfennig…",2018,https://link.springer.com/chapter/10.1007/978-3-030-00470-5_25,https://link.springer.com/content/pdf/10.1007%2F978-3-030-00470-5_25.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-030-00470-5_25
4G LTE network access system and pricing model for IoT MVNOs: spreading smart tourism,"Jeongeun Byun,    Byung Woon Kim,    Chang Youl Ko…",2017,https://link.springer.com/article/10.1007/s11042-016-3369-3,https://link.springer.com/content/pdf/10.1007%2Fs11042-016-3369-3.pdf,,,1,3,https://doi.org/10.1007/s11042-016-3369-3
The Blockchain in IoT,"Carlos Davila,    Jacob Tarnow",2019,https://link.springer.com/chapter/10.1007/978-3-319-99516-8_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-99516-8_10
