title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
On performance evaluation and design of atomic commit protocols for mobile transactions,"Nadia Nouali-Taboudjemat,    Fairouz Chehbour…",2009,https://link.springer.com/article/10.1007/s10619-009-7055-6,https://link.springer.com/content/pdf/10.1007%2Fs10619-009-7055-6.pdf,,,1,3,https://doi.org/10.1007/s10619-009-7055-6
Position compensation algorithm for omnidirectional mobile robots and its experimental evaluation,Baeksuk Chu,2017,https://link.springer.com/article/10.1007/s12541-017-0204-3,https://link.springer.com/content/pdf/10.1007%2Fs12541-017-0204-3.pdf,,,1,2,https://doi.org/10.1007/s12541-017-0204-3
Advanced Mechanisms for Service Combination and Transactions,"Carla Ferreira,    Ivan Lanese,    Antonio Ravara…",2011,https://link.springer.com/chapter/10.1007/978-3-642-20401-2_14,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-20401-2_14
"Economics at the FCC, 2011–2012: Spectrum Incentive Auctions, Universal Service and Intercarrier Compensation Reform, and Mergers","Evan Kwerel,    Paul LaFontaine,    Marius Schwartz",2012,https://link.springer.com/article/10.1007/s11151-012-9362-8,https://link.springer.com/content/pdf/10.1007%2Fs11151-012-9362-8.pdf,,,1,5,https://doi.org/10.1007/s11151-012-9362-8
On the Expressive Power of Primitives for Compensation Handling,"Ivan Lanese,    Cátia Vaz,    Carla Ferreira",2010,https://link.springer.com/chapter/10.1007/978-3-642-11957-6_20,https://link.springer.com/content/pdf/10.1007%2F978-3-642-11957-6_20.pdf,,,1,13,https://doi.org/10.1007/978-3-642-11957-6_20
A Transaction Model to Improve Data Availability in Mobile Computing,"Sanjay Kumar Madria,    Bharat Bhargava",2001,https://link.springer.com/article/10.1023/A%3A1019232412740,https://link.springer.com/content/pdf/10.1023%2FA%3A1019232412740.pdf,,,1,24,https://doi.org/10.1023/A:1019232412740
A new model for context-aware transactions in mobile services,"Muhammad Younas,    Soraya Kouadri Mostéfaoui",2011,https://link.springer.com/article/10.1007/s00779-011-0369-1,https://link.springer.com/content/pdf/10.1007%2Fs00779-011-0369-1.pdf,,,1,8,https://doi.org/10.1007/s00779-011-0369-1
Dynamic Recovering of Long Running Transactions,"Cátia Vaz,    Carla Ferreira,    António Ravara",2009,https://link.springer.com/chapter/10.1007/978-3-642-00945-7_13,No PDF available,,,1,9,https://doi.org/10.1007/978-3-642-00945-7_13
A distributed transaction model based on mobile agents,"Flávio Morais de Assis Silva,    Sven Krause",1997,https://link.springer.com/chapter/10.1007/3-540-62803-7_35,No PDF available,,,1,3,https://doi.org/10.1007/3-540-62803-7_35
Nested Commits For Mobile Calculi: Extending Join,"Roberto Bruni,    Hernán Melgratti…",2004,https://link.springer.com/chapter/10.1007/1-4020-8141-3_43,https://link.springer.com/content/pdf/10.1007%2F1-4020-8141-3_43.pdf,,,1,1,https://doi.org/10.1007/1-4020-8141-3_43
"An Operational Semantics for StAC, a Language for Modelling Long-Running Business Transactions","Michael Butler,    Carla Ferreira",2004,https://link.springer.com/chapter/10.1007/978-3-540-24634-3_9,No PDF available,,,1,19,https://doi.org/10.1007/978-3-540-24634-3_9
A Multi-version Transaction Model to Improve Data Availability in Mobile Computing,"Sanjay Kumar Madria,    Mohammed Baseer…",2002,https://link.springer.com/chapter/10.1007/3-540-36124-3_19,No PDF available,,,1,1,https://doi.org/10.1007/3-540-36124-3_19
A New Strategy for Distributed Compensations with Interruption in Long-Running Transactions,"Roberto Bruni,    Anne Kersten,    Ivan Lanese…",2012,https://link.springer.com/chapter/10.1007/978-3-642-28412-0_5,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-28412-0_5
Blocking reduction for distributed transaction processing within MANETs,"Sebastian Obermeier,    Stefan Böttcher,    Martin Hett…",2009,https://link.springer.com/article/10.1007/s10619-009-7033-z,https://link.springer.com/content/pdf/10.1007%2Fs10619-009-7033-z.pdf,,,1,1,https://doi.org/10.1007/s10619-009-7033-z
Data and Transaction Management in a Mobile Environment,"Sanjay Madria,    Bharat Bhargava,    Mukesh Mohania,    Sourav Bhowmick",2002,https://link.springer.com/chapter/10.1007/0-306-47602-9_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/0-306-47602-9_8
Speech Recognition Over Mobile Networks,"Hong Kook Kim,    Richard C. Rose",2008,https://link.springer.com/chapter/10.1007/978-1-84800-143-5_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-84800-143-5_3
A Process Calculus Analysis of Compensations,"Luís Caires,    Carla Ferreira,    Hugo Vieira",2009,https://link.springer.com/chapter/10.1007/978-3-642-00945-7_6,No PDF available,,,1,13,https://doi.org/10.1007/978-3-642-00945-7_6
Computational Resource Management for Video Coding in Mobile Environments,"Guilherme Correa,    Pedro Assuncao…",2014,https://link.springer.com/chapter/10.1007/978-3-319-06704-9_24,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-06704-9_24
Towards Compensation Correctness in Interactive Systems,"Cátia Vaz,    Carla Ferreira",2010,https://link.springer.com/chapter/10.1007/978-3-642-14458-5_10,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-14458-5_10
