title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Failover for Mobile Routers: A Vision of Resilient Ambience,"Eranga Perera,    Aruna Seneviratne,    Roksana Boreli,    Michael Eyrich…",2005,https://link.springer.com/chapter/10.1007/978-3-540-31957-3_24,https://link.springer.com/content/pdf/10.1007%2F978-3-540-31957-3_24.pdf,,,1,1,https://doi.org/10.1007/978-3-540-31957-3_24
"Two-Tier, Scalable and Highly Resilient Key Predistribution Scheme for Location-Aware Wireless Sensor Network Deployments","Abdülhakim Ünlü,    Albert Levi",2010,https://link.springer.com/article/10.1007/s11036-009-0188-z,https://link.springer.com/content/pdf/10.1007%2Fs11036-009-0188-z.pdf,,,1,5,https://doi.org/10.1007/s11036-009-0188-z
On the Resilient Overlay Topology Formation in Multi-hop Wireless Networks,"Fei Xing,    Wenye Wang",2007,https://link.springer.com/chapter/10.1007/978-3-540-72606-7_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72606-7_1.pdf,,,1,1,https://doi.org/10.1007/978-3-540-72606-7_1
Data Spider: A Resilient Mobile Basestation Protocol for Efficient Data Collection in Wireless Sensor Networks,"Onur Soysal,    Murat Demirbas",2010,https://link.springer.com/chapter/10.1007/978-3-642-13651-1_28,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-13651-1_28
Intertwined localization and error-resilient geographic routing for mobile wireless sensor networks,"Imane Benkhelifa,    Samira Moussaoui,    Ilker Demirkol",2018,https://link.springer.com/article/10.1007/s11276-018-1836-7,https://link.springer.com/content/pdf/10.1007%2Fs11276-018-1836-7.pdf,,,1,No cite count available,https://doi.org/10.1007/s11276-018-1836-7
Q-FRPML: QoS-Centric Fault-Resilient Routing Protocol for Mobile-WSN Based Low Power Lossy Networks,"D. R. Ganesh,    Kiran Kumari Patil,    L. Suresh",2018,https://link.springer.com/article/10.1007/s11277-018-6112-8,https://link.springer.com/content/pdf/10.1007%2Fs11277-018-6112-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s11277-018-6112-8
Efficient and Resilient Overlay Topologies over Ad Hoc Networks,"Sandrine Calomme,    Guy Leduc",2007,https://link.springer.com/chapter/10.1007/978-3-540-74917-2_6,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-74917-2_6
Resilient data gathering and communication algorithms for emergency scenarios,"Daniele Munaretto,    Chunlei An,    Joerg Widmer,    Andreas Timm-Giel",2011,https://link.springer.com/article/10.1007/s11235-010-9346-7,https://link.springer.com/content/pdf/10.1007%2Fs11235-010-9346-7.pdf,,,1,2,https://doi.org/10.1007/s11235-010-9346-7
Integrated Planning Approach to Climate Resilient and Low-Carbon Smart Cities: Process and Methods,Kwi-Gon Kim,2018,https://link.springer.com/chapter/10.1007/978-3-319-59618-1_3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-59618-1_3.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-59618-1_3
Repairing Wireless Sensor Network Connectivity with Mobility and Hop-Count Constraints,"Thuy T. Truong,    Kenneth N. Brown,    Cormac J. Sreenan",2013,https://link.springer.com/chapter/10.1007/978-3-642-39247-4_7,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-39247-4_7
Climate Resilient Smart Cities: Opportunities for Innovative Solutions in India,"Umamaheshwaran Rajasekar,    Soumita Chakraborty…",2018,https://link.springer.com/chapter/10.1007/978-3-319-65003-6_11,https://link.springer.com/content/pdf/10.1007%2F978-3-319-65003-6_11.pdf,,,1,1,https://doi.org/10.1007/978-3-319-65003-6_11
"Redundancy, diversity, and connectivity to achieve multilevel network resilience, survivability, and disruption tolerance invited paper
","James P. G. Sterbenz,    David Hutchison,    Egemen K. Çetinkaya…",2014,https://link.springer.com/article/10.1007/s11235-013-9816-9,https://link.springer.com/content/pdf/10.1007%2Fs11235-013-9816-9.pdf,,,1,20,https://doi.org/10.1007/s11235-013-9816-9
Resilient Emergency Evacuation Using Opportunistic Communications,"Gokce Gorbil,    Erol Gelenbe",2013,https://link.springer.com/chapter/10.1007/978-1-4471-4594-3_26,No PDF available,,,1,5,https://doi.org/10.1007/978-1-4471-4594-3_26
Support for Resilient Communications in Future Disaster Management,"V. M. Jones,    G. Karagiannis…",2012,https://link.springer.com/chapter/10.1007/978-1-4471-2155-8_45,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4471-2155-8_45
Resilient Urban Form: A Conceptual Framework,"Ayyoob Sharifi,    Yoshiki Yamagata",2018,https://link.springer.com/chapter/10.1007/978-3-319-75798-8_9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-75798-8_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-75798-8_9
Resilient Coding Algorithms for Sensor Network Data Persistence,"Daniele Munaretto,    Jörg Widmer,    Michele Rossi,    Michele Zorzi",2008,https://link.springer.com/chapter/10.1007/978-3-540-77690-1_10,No PDF available,,,1,12,https://doi.org/10.1007/978-3-540-77690-1_10
Robustness Analysis and Enhancement of MANETs Using Human Mobility Traces,"Dongsheng Zhang,    James P. G. Sterbenz",2016,https://link.springer.com/article/10.1007/s10922-016-9381-0,https://link.springer.com/content/pdf/10.1007%2Fs10922-016-9381-0.pdf,,,1,No cite count available,https://doi.org/10.1007/s10922-016-9381-0
Error resilient concurrent video streaming over wireless mesh networks,"Dan-jue Li,    Qian Zhang,    Chen-nee Chuah…",2006,https://link.springer.com/article/10.1631/jzus.2006.A0684,https://link.springer.com/content/pdf/10.1631%2Fjzus.2006.A0684.pdf,,,1,6,https://doi.org/10.1631/jzus.2006.A0684
Resilient dependable cyber-physical systems: a middleware perspective,"Grit Denker,    Nikil Dutt,    Sharad Mehrotra…",2012,https://link.springer.com/article/10.1007/s13174-011-0057-4,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0057-4.pdf,,,1,13,https://doi.org/10.1007/s13174-011-0057-4
"Resilient distributed state estimation with mobile agents: overcoming Byzantine adversaries, communication losses, and intermittent measurements","Aritra Mitra,    John A. Richards,    Saurabh Bagchi,    Shreyas Sundaram",2018,https://link.springer.com/article/10.1007/s10514-018-9813-7,https://link.springer.com/content/pdf/10.1007%2Fs10514-018-9813-7.pdf,,,1,No cite count available,https://doi.org/10.1007/s10514-018-9813-7
Enabling Reliable and Resilient IoT Based Smart City Applications,"Thaha Muhammed,    Rashid Mehmood…",2018,https://link.springer.com/chapter/10.1007/978-3-319-94180-6_17,https://link.springer.com/content/pdf/10.1007%2F978-3-319-94180-6_17.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-94180-6_17
Building More Resilient Communities,Gian Paolo Cimellaro,2016,https://link.springer.com/chapter/10.1007/978-3-319-30656-8_13,https://link.springer.com/content/pdf/10.1007%2F978-3-319-30656-8_13.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-30656-8_13
Resilient Design and Operation of Cyber Physical Systems with Emphasis on Unmanned Autonomous Systems,"George Vachtsevanos,    Benjamin Lee,    Sehwan Oh…",2018,https://link.springer.com/article/10.1007/s10846-018-0881-x,https://link.springer.com/content/pdf/10.1007%2Fs10846-018-0881-x.pdf,,,1,No cite count available,https://doi.org/10.1007/s10846-018-0881-x
Error resilient video over multimedia broadcast multicast services (MBMS),"Sanigepalli Praveenkumar,    Hari Kalva,    Borko Furht",2006,https://link.springer.com/article/10.1007/s11042-006-6142-1,https://link.springer.com/content/pdf/10.1007%2Fs11042-006-6142-1.pdf,,,1,No cite count available,https://doi.org/10.1007/s11042-006-6142-1
Towards a Smart Metropolitan Regional Development—Spatial and Economic Design Strategies: Dakar,"Gora Mboup,    Mame Cheikh Ngom,    Cheikhou Balde…",2019,https://link.springer.com/chapter/10.1007/978-981-10-8588-8_15,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-981-10-8588-8_15
Intelligence and mobility for BT’s next generation networks,M. I. Wardlaw,2005,https://link.springer.com/article/10.1007/s10550-005-0105-3,No PDF available,,,1,11,https://doi.org/10.1007/s10550-005-0105-3
"Nexus security: governance, innovation and the resilient city",Michael Bruce Beck…,2013,https://link.springer.com/article/10.1007/s11783-013-0549-5,https://link.springer.com/content/pdf/10.1007%2Fs11783-013-0549-5.pdf,,,1,10,https://doi.org/10.1007/s11783-013-0549-5
A Framework for Connectivity in Inter-working Multi-hop Wireless Networks,"Oladayo Salami,    Antoine Bagula…",2010,https://link.springer.com/chapter/10.1007/978-3-642-14891-0_30,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-14891-0_30
Coupling Mobility and Security,No author available,2009,https://link.springer.com/chapter/10.1007/978-1-4020-6631-3_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-6631-3_8
A Distributed Challenge Detection System for Resilient Networks,Yue Yu,2012,https://link.springer.com/chapter/10.1007/978-3-642-29222-4_41,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-29222-4_41
A resilient Internet of Things architecture for smart cities,"David Perez Abreu,    Karima Velasquez,    Marilia Curado…",2017,https://link.springer.com/article/10.1007/s12243-016-0530-y,https://link.springer.com/content/pdf/10.1007%2Fs12243-016-0530-y.pdf,,,1,10,https://doi.org/10.1007/s12243-016-0530-y
