title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
An Electronic Transaction Mechanism Using Mobile Devices for Cloud Computing,Jen-Ho Yang,2017,https://link.springer.com/article/10.1007/s11277-016-3646-5,https://link.springer.com/content/pdf/10.1007%2Fs11277-016-3646-5.pdf,,,1,No cite count available,https://doi.org/10.1007/s11277-016-3646-5
DyTO: Dynamic Task Offloading Strategy for Mobile Cloud Computing Using Surrogate Object Model,"A. N. Gnana Jeevan,    M. A. Maluk Mohamed",2018,https://link.springer.com/article/10.1007/s10766-018-0563-0,https://link.springer.com/content/pdf/10.1007%2Fs10766-018-0563-0.pdf,,,1,1,https://doi.org/10.1007/s10766-018-0563-0
Mobile-Cloud: A Framework of Cloud Computing for Mobile Application,"Jibitesh Mishra,    Sanjit Kumar Dash…",2012,https://link.springer.com/chapter/10.1007/978-3-642-27317-9_36,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-27317-9_36
Accountable mobile E-commerce scheme in intelligent cloud system transactions,"Mingwu Zhang,    Yao Yao,    Yan Jiang…",2018,https://link.springer.com/article/10.1007/s12652-017-0672-4,https://link.springer.com/content/pdf/10.1007%2Fs12652-017-0672-4.pdf,,,1,2,https://doi.org/10.1007/s12652-017-0672-4
Security in Cloud Computing-Based Mobile Commerce,"Ferdousi Khatun,    Md. Ruhul Islam",2018,https://link.springer.com/chapter/10.1007/978-981-10-4765-7_20,https://link.springer.com/content/pdf/10.1007%2F978-981-10-4765-7_20.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-10-4765-7_20
How to Dynamically Protect Data in Mobile Cloud Computing?,"Hongliang Lu,    Xiao Xia,    Xiaodong Wang",2013,https://link.springer.com/chapter/10.1007/978-3-642-37015-1_30,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-37015-1_30
"Data security in mobile cloud computing paradigm: a survey, taxonomy and open research issues","Tarunpreet Bhatia,    A. K. Verma",2017,https://link.springer.com/article/10.1007/s11227-016-1945-y,https://link.springer.com/content/pdf/10.1007%2Fs11227-016-1945-y.pdf,,,1,3,https://doi.org/10.1007/s11227-016-1945-y
"Integrated Obj_FedRep: Evaluation of Surrogate Object based Mobile Cloud System for Federation, Replica and Data Management","Shanmugam Ravimaran,    M. A. Maluk Mohamed",2014,https://link.springer.com/article/10.1007/s13369-014-1001-2,https://link.springer.com/content/pdf/10.1007%2Fs13369-014-1001-2.pdf,,,1,4,https://doi.org/10.1007/s13369-014-1001-2
"Towards Mobile Cloud Computing in 5G Mobile Networks: Applications, Big Data Services and Future Opportunities",Georgios Skourletopoulos…,2017,https://link.springer.com/chapter/10.1007/978-3-319-45145-9_3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45145-9_3.pdf,,,1,3,https://doi.org/10.1007/978-3-319-45145-9_3
Mobile Internet Computing Architecture Based on Cloud Computing,"Guoyong Wang,    Wen Cui",2014,https://link.springer.com/chapter/10.1007/978-1-4614-3872-4_212,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4614-3872-4_212
"Mobile Cloud Computing: A Survey, State of Art and Future Directions","M. Reza Rahimi,    Jian Ren,    Chi Harold Liu…",2014,https://link.springer.com/article/10.1007/s11036-013-0477-4,https://link.springer.com/content/pdf/10.1007%2Fs11036-013-0477-4.pdf,,,1,139,https://doi.org/10.1007/s11036-013-0477-4
A New Mobile Learning Platform Based on Mobile Cloud Computing,"Shuqiang Huang,    Hongkuan Yin",2012,https://link.springer.com/chapter/10.1007/978-3-642-29387-0_59,No PDF available,,,1,10,https://doi.org/10.1007/978-3-642-29387-0_59
Resource Management in Mobile Sink Based Wireless Sensor Networks through Cloud Computing,"Yasir Saleem,    Farrukh Salim…",2014,https://link.springer.com/chapter/10.1007/978-3-319-06704-9_20,No PDF available,,,1,5,https://doi.org/10.1007/978-3-319-06704-9_20
A Collaborative Framework of Enabling Device Participation in Mobile Cloud Computing,"Woonghee Lee,    Suk Kyu Lee,    Seungho Yoo…",2013,https://link.springer.com/chapter/10.1007/978-3-642-40238-8_4,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-40238-8_4
Building mobile multimedia services: a hybrid cloud computing approach,"Dejan Kovachev,    Yiwei Cao,    Ralf Klamma",2014,https://link.springer.com/article/10.1007/s11042-012-1100-6,https://link.springer.com/content/pdf/10.1007%2Fs11042-012-1100-6.pdf,,,1,15,https://doi.org/10.1007/s11042-012-1100-6
Efficient and Expressive Anonymous Attribute-Based Encryption for Mobile Cloud Computing,"Yinghui Zhang,    Dong Zheng",2017,https://link.springer.com/chapter/10.1007/978-3-319-49106-6_82,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49106-6_82.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-49106-6_82
Guest editorial: Secure cloud computing for mobile health services,"Haider Abbas,    Sana Ullah,    Sudip Misra…",2016,https://link.springer.com/article/10.1007/s12083-016-0451-6,https://link.springer.com/content/pdf/10.1007%2Fs12083-016-0451-6.pdf,,,1,No cite count available,https://doi.org/10.1007/s12083-016-0451-6
An Improved Approach of Decoupling in Mobile Cloud Computing,"Sohini De,    Alok Misra,    Suddhasil De",2014,https://link.springer.com/chapter/10.1007/978-3-319-04483-5_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-04483-5_9
Classification and Live Migration of Data-Intensive Cloud Computing Environment,"Sandip Kumar Pasayat,    Sarada Prasanna Pati…",2013,https://link.springer.com/chapter/10.1007/978-3-642-37463-0_29,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-37463-0_29
Editorial for Special Issue on “New Technologies and Applications for Wireless Communications & Mobile Cloud Computing”,"Taeshik Shon,    Athanasios V. Vasilakos,    Bharat Bhargava…",2013,https://link.springer.com/article/10.1007/s11036-012-0420-0,https://link.springer.com/content/pdf/10.1007%2Fs11036-012-0420-0.pdf,,,1,No cite count available,https://doi.org/10.1007/s11036-012-0420-0
MWC: an efficient and secure multi-cloud storage approach to leverage augmentation of multi-cloud storage services on mobile devices using fog computing,"Rajeev Kumar Bedi,    Jaswinder Singh,    Sunil Kumar Gupta",2018,https://link.springer.com/article/10.1007/s11227-018-2304-y,https://link.springer.com/content/pdf/10.1007%2Fs11227-018-2304-y.pdf,,,1,No cite count available,https://doi.org/10.1007/s11227-018-2304-y
Credit Based Incentive Approach for V2V Cooperation in Vehicular Cloud Computing,"Lylia Alouache,    Nga Nguyen,    Makhlouf Aliouat…",2018,https://link.springer.com/chapter/10.1007/978-3-030-05081-8_7,https://link.springer.com/content/pdf/10.1007%2F978-3-030-05081-8_7.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-030-05081-8_7
Cloudlet Services for Healthcare Applications in Mobile Cloud Computing,"Ramasubbareddy Somula,    Chunduru Anilkumar…",2019,https://link.springer.com/chapter/10.1007/978-981-13-1610-4_54,https://link.springer.com/content/pdf/10.1007%2F978-981-13-1610-4_54.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-13-1610-4_54
Design and Implementation of Mobile Forensic Tool for Android Smart Phone through Cloud Computing,"Yenting Lai,    Chunghuang Yang,    Chihhung Lin…",2011,https://link.springer.com/chapter/10.1007/978-3-642-24106-2_26,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-24106-2_26
On Economic Mobile Cloud Computing Model,"Hongbin Liang,    Dijiang Huang,    Daiyuan Peng",2012,https://link.springer.com/chapter/10.1007/978-3-642-29336-8_22,No PDF available,,,1,5,https://doi.org/10.1007/978-3-642-29336-8_22
Communication and computation cooperation in cloud radio access network with mobile edge computing,"Tong Li,    Kezhi Wang,    Ke Xu,    Kun Yang…",2018,https://link.springer.com/article/10.1007/s42045-018-0006-x,https://link.springer.com/content/pdf/10.1007%2Fs42045-018-0006-x.pdf,,,1,No cite count available,https://doi.org/10.1007/s42045-018-0006-x
Security framework for RESTful mobile cloud computing Web services,"Feda AlShahwan,    Maha Faisal,    Godwin Ansa",2016,https://link.springer.com/article/10.1007/s12652-015-0308-5,https://link.springer.com/content/pdf/10.1007%2Fs12652-015-0308-5.pdf,,,1,8,https://doi.org/10.1007/s12652-015-0308-5
Integrated Multi-service Handoff Mechanism with QoS-Support Strategy in Mobile Cloud Computing,"Qi Qi,    Jianxin Liao,    Jingyu Wang,    Jing Wang,    Qi Li…",2016,https://link.springer.com/article/10.1007/s11277-016-3210-3,https://link.springer.com/content/pdf/10.1007%2Fs11277-016-3210-3.pdf,,,1,3,https://doi.org/10.1007/s11277-016-3210-3
Machine Learning Algorithm-Based Minimisation of Network Traffic in Mobile Cloud Computing,"Praveena Akki,    V. Vijayarajan",2019,https://link.springer.com/chapter/10.1007/978-981-13-1610-4_58,https://link.springer.com/content/pdf/10.1007%2F978-981-13-1610-4_58.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-13-1610-4_58
Location-Sensitive Data Sharing in Mobile Cloud Computing,"Zhiwei Zhang,    Yunling Wang,    Jianfeng Wang…",2017,https://link.springer.com/chapter/10.1007/978-3-319-49106-6_81,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49106-6_81.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-49106-6_81
Toward Advanced Mobile Cloud Computing for the Internet of Things: Current Issues and Future Direction,"Taeshik Shon,    Jaeik Cho,    Kyusunk Han,    Hyohyun Choi",2014,https://link.springer.com/article/10.1007/s11036-014-0509-8,https://link.springer.com/content/pdf/10.1007%2Fs11036-014-0509-8.pdf,,,1,21,https://doi.org/10.1007/s11036-014-0509-8
Phased Scheduling for Resource-Constrained Mobile Devices in Mobile Cloud Computing,"Chunlin Li,    Layuan Li",2014,https://link.springer.com/article/10.1007/s11277-014-1669-3,https://link.springer.com/content/pdf/10.1007%2Fs11277-014-1669-3.pdf,,,1,9,https://doi.org/10.1007/s11277-014-1669-3
Analyzing the service availability of mobile cloud computing systems by fluid-flow approximation,"Hong-wu Lv,    Jun-yu Lin,    Hui-qiang Wang…",2015,https://link.springer.com/article/10.1631/FITEE.1400410,https://link.springer.com/content/pdf/10.1631%2FFITEE.1400410.pdf,,,1,5,https://doi.org/10.1631/FITEE.1400410
Mobile Cloud Computing in 3G Cellular Networks Using Pipelined Tasks,"Marvin Ferber,    Thomas Rauber",2012,https://link.springer.com/chapter/10.1007/978-3-642-33427-6_14,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-33427-6_14
A synergetic mechanism for digital library service in mobile and cloud computing environment,"Junsheng Zhang,    Yunchuan Sun,    Lijun Zhu,    Xiaodong Qiao",2014,https://link.springer.com/article/10.1007/s00779-014-0798-8,https://link.springer.com/content/pdf/10.1007%2Fs00779-014-0798-8.pdf,,,1,7,https://doi.org/10.1007/s00779-014-0798-8
A Survey of Mobile Cloud Computing Applications: Perspectives and Challenges,"Yating Wang,    Ing-Ray Chen,    Ding-Chau Wang",2015,https://link.springer.com/article/10.1007/s11277-014-2102-7,https://link.springer.com/content/pdf/10.1007%2Fs11277-014-2102-7.pdf,,,1,52,https://doi.org/10.1007/s11277-014-2102-7
A Privacy-Enabled Mobile Computing Model Using Intelligent Cloud-Based Services,"Edward R. Sykes,    Huy Pham,    Magdin Stoica,    Khaled Mahmud,    Deborah Stacey",2013,https://link.springer.com/chapter/10.1007/978-1-4614-6409-9_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4614-6409-9_10
Cloud Computing—From Offline Computing to Cloud Computing,"Xiaoming Zhu,    Bingying Song,    Yingzi Ni,    Yifan Ren…",2016,https://link.springer.com/chapter/10.1007/978-981-10-1079-8_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-981-10-1079-8_2
Performance of integrated workload scheduling and pre-fetching in multimedia mobile cloud computing,"Kaveh Khorramnejad,    Lilatul Ferdouse,    Ling Guan…",2018,https://link.springer.com/article/10.1186/s13677-018-0115-6,https://link.springer.com/content/pdf/10.1186%2Fs13677-018-0115-6.pdf,,,1,No cite count available,https://doi.org/10.1186/s13677-018-0115-6
A Trust Model Using Implicit Call Behavioral Graph for Mobile Cloud Computing,"Shuhong Chen,    Guojun Wang,    Weijia Jia",2013,https://link.springer.com/chapter/10.1007/978-3-319-03584-0_29,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-03584-0_29
"
The Intersection of Big Data, Mobile, and Cloud Computing
",David Feinleib,2014,https://link.springer.com/chapter/10.1007/978-1-4842-0040-7_6,No PDF available,,,1,2,https://doi.org/10.1007/978-1-4842-0040-7_6
Service Creation and Self-management Mechanisms for Mobile Cloud Computing,"Tatiana Aubonnet,    Noëmie Simoni",2013,https://link.springer.com/chapter/10.1007/978-3-642-38401-1_4,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-38401-1_4
Reconciling Cloud and Mobile Computing Using Activity-Based Predictive Caching,"Dawud Gordon,    Sven Frauen,    Michael Beigl",2014,https://link.springer.com/chapter/10.1007/978-3-319-05452-0_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-05452-0_11
Mobile Service Clouds: A Self-Managing Infrastructure for Autonomic Mobile Computing Services,"Farshad A. Samimi,    Philip K. McKinley…",2006,https://link.springer.com/chapter/10.1007/11767886_10,No PDF available,,,1,16,https://doi.org/10.1007/11767886_10
A Reputation Trust Management System for Ad-Hoc Mobile Clouds,"Ahmed Hammam,    Samah Senbel",2014,https://link.springer.com/chapter/10.1007/978-3-662-43616-5_20,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-662-43616-5_20
An improved anonymous authentication scheme for distributed mobile cloud computing services,"Shehzad Ashraf Chaudhry,    I Luk Kim,    Seungmin Rho…",2017,https://link.springer.com/article/10.1007/s10586-017-1088-9,https://link.springer.com/content/pdf/10.1007%2Fs10586-017-1088-9.pdf,,,1,1,https://doi.org/10.1007/s10586-017-1088-9
A virtualization mechanism for real-time multimedia-assisted mobile food recognition application in cloud computing,"Parisa Pouladzadeh,    Sri Vijay Bharat Peddi,    Pallavi Kuhad…",2015,https://link.springer.com/article/10.1007/s10586-015-0468-2,https://link.springer.com/content/pdf/10.1007%2Fs10586-015-0468-2.pdf,,,1,5,https://doi.org/10.1007/s10586-015-0468-2
Framework for context-aware computation offloading in mobile cloud computing,"Xing Chen,    Shihong Chen,    Xuee Zeng,    Xianghan Zheng…",2017,https://link.springer.com/article/10.1186/s13677-016-0071-y,https://link.springer.com/content/pdf/10.1186%2Fs13677-016-0071-y.pdf,,,1,3,https://doi.org/10.1186/s13677-016-0071-y
Hybrid collaborative management ring on mobile multi-agent for Cloud-P2P,"Xiao-Long Xu,    Nik Bessis,    Peter Norrington",2016,https://link.springer.com/article/10.1007/s11633-016-1002-6,https://link.springer.com/content/pdf/10.1007%2Fs11633-016-1002-6.pdf,,,1,No cite count available,https://doi.org/10.1007/s11633-016-1002-6
Advanced Solutions,Bernardo Nicoletti,2016,https://link.springer.com/chapter/10.1057/9781137553270_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137553270_5
Identity Privacy-Preserving Public Auditing with Dynamic Group for Secure Mobile Cloud Storage,"Yong Yu,    Yi Mu,    Jianbing Ni,    Jiang Deng,    Ke Huang",2014,https://link.springer.com/chapter/10.1007/978-3-319-11698-3_3,No PDF available,,,1,4,https://doi.org/10.1007/978-3-319-11698-3_3
A Model to Improve Reliability in Cloud Computing,"P. Srivaramangai,    Rengaramanujam Srinivasan",2013,https://link.springer.com/chapter/10.1007/978-94-007-6190-2_47,No PDF available,,,1,1,https://doi.org/10.1007/978-94-007-6190-2_47
An ID-Based Anonymous Authentication Scheme for Distributed Mobile Cloud Computing,"Tianyi Zhang,    Fengtong Wen",2017,https://link.springer.com/chapter/10.1007/978-981-10-3969-0_44,https://link.springer.com/content/pdf/10.1007%2F978-981-10-3969-0_44.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-10-3969-0_44
Cloud Computing Management Platform of Human Resource Based on Mobile Communication Technology,"Zhengbao Lv,    Zefu Tan,    Qian Wang,    Yanqiong Yang",2018,https://link.springer.com/article/10.1007/s11277-017-5195-y,https://link.springer.com/content/pdf/10.1007%2Fs11277-017-5195-y.pdf,,,1,No cite count available,https://doi.org/10.1007/s11277-017-5195-y
"A network analysis of strategic alliance drivers in ICT open ecosystem: with focus on mobile, cloud computing, and multimedia","Jeongeun Byun,    Tae-Eung Sung,    Hyun-woo Park",2018,https://link.springer.com/article/10.1007/s11042-017-5059-1,https://link.springer.com/content/pdf/10.1007%2Fs11042-017-5059-1.pdf,,,1,No cite count available,https://doi.org/10.1007/s11042-017-5059-1
Smart data deduplication for telehealth systems in heterogeneous cloud computing,"Keke Gai,    Meikang Qiu,    Xiaotong Sun…",2016,https://link.springer.com/article/10.1007/BF03391583,https://link.springer.com/content/pdf/10.1007%2FBF03391583.pdf,,,1,1,https://doi.org/10.1007/BF03391583
A Proposed Road Map for Cybersecurity in Cloud Computing at Portland State University,Emy Loanzon,2014,https://link.springer.com/chapter/10.1007/978-3-319-02973-3_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-02973-3_10
The Future of ICT in Financial Institutions,Bernardo Nicoletti,2013,https://link.springer.com/chapter/10.1057/9781137273642_6,https://link.springer.com/content/pdf/10.1057%2F9781137273642_6.pdf,,,1,No cite count available,https://doi.org/10.1057/9781137273642_6
"Cloud Computing, Virtualisation, Storage and Networking","Andriy Luntovskyy,    Josef Spillner",2017,https://link.springer.com/chapter/10.1007/978-3-658-14842-3_4,https://link.springer.com/content/pdf/10.1007%2F978-3-658-14842-3_4.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-658-14842-3_4
Social group formation with mobile cloud services,"Satish Narayana Srirama,    Carlos Paniagua…",2012,https://link.springer.com/article/10.1007/s11761-012-0111-5,https://link.springer.com/content/pdf/10.1007%2Fs11761-012-0111-5.pdf,,,1,6,https://doi.org/10.1007/s11761-012-0111-5
Automatic Configuration of Mobile Applications Using Context-Aware Cloud-Based Services,"Tor-Morten Grønli,    Gheorghita Ghinea…",2015,https://link.springer.com/chapter/10.1007/978-3-319-09177-8_15,https://link.springer.com/content/pdf/10.1007%2F978-3-319-09177-8_15.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-09177-8_15
EcoPlan: energy-efficient downlink and uplink data transmission in mobile cloud computing,"Xudong Xiang,    Chuang Lin,    Xin Chen",2015,https://link.springer.com/article/10.1007/s11276-014-0795-x,https://link.springer.com/content/pdf/10.1007%2Fs11276-014-0795-x.pdf,,,1,4,https://doi.org/10.1007/s11276-014-0795-x
Deploying Mobile Computation in Cloud Service,"Xuhui Li,    Hao Zhang,    Yongfa Zhang",2009,https://link.springer.com/chapter/10.1007/978-3-642-10665-1_27,No PDF available,,,1,11,https://doi.org/10.1007/978-3-642-10665-1_27
A Secured Hybrid Cloud Architecture for mHealth Care,Khaled Ahmed Nagaty,2015,https://link.springer.com/chapter/10.1007/978-3-319-12817-7_24,https://link.springer.com/content/pdf/10.1007%2F978-3-319-12817-7_24.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-12817-7_24
Introduction to Cloud Computing and the Application Project,Riaz Ahmed,2016,https://link.springer.com/chapter/10.1007/978-1-4842-2502-8_1,https://link.springer.com/content/pdf/10.1007%2F978-1-4842-2502-8_1.pdf,,,1,No cite count available,https://doi.org/10.1007/978-1-4842-2502-8_1
Fintech and Procurement Finance 4.0,Bernardo Nicoletti,2018,https://link.springer.com/chapter/10.1007/978-3-030-02140-5_6,https://link.springer.com/content/pdf/10.1007%2F978-3-030-02140-5_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-030-02140-5_6
Mobile Web and Cloud Services,Satish Narayana Srirama,2014,https://link.springer.com/chapter/10.1007/978-1-4614-7535-4_21,No PDF available,,,1,2,https://doi.org/10.1007/978-1-4614-7535-4_21
A Conceptual Framework for Mobile Service Value,"Garyfallos Fragidis,    Dimitri Konstantas",2015,https://link.springer.com/chapter/10.1007/978-3-319-24141-8_31,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24141-8_31.pdf,,,1,1,https://doi.org/10.1007/978-3-319-24141-8_31
A Study on the Effects of Virtualization on Mobile Learning Applications in Private Cloud,"Si Si Mar Win,    Hnin Mya Aye,    Than New Aung",2016,https://link.springer.com/chapter/10.1007/978-3-319-23207-2_17,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23207-2_17.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-23207-2_17
"Cloud-Based Intrusion Detection and Response System: Open Research Issues, and Solutions","Zakira Inayat,    Abdullah Gani…",2017,https://link.springer.com/article/10.1007/s13369-016-2400-3,https://link.springer.com/content/pdf/10.1007%2Fs13369-016-2400-3.pdf,,,1,3,https://doi.org/10.1007/s13369-016-2400-3
Cloud Logistics Systems: Reference Architecture Design,Falco Jaekel,2019,https://link.springer.com/chapter/10.1007/978-3-658-22837-8_6,https://link.springer.com/content/pdf/10.1007%2F978-3-658-22837-8_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-658-22837-8_6
Cloud Computing: Implications for Service Transformation,"Enrique Castro-Leon,    Robert Harmon",2016,https://link.springer.com/chapter/10.1007/978-1-4842-0103-9_3,https://link.springer.com/content/pdf/10.1007%2F978-1-4842-0103-9_3.pdf,,,1,No cite count available,https://doi.org/10.1007/978-1-4842-0103-9_3
Data Stream Analytics as Cloud Service for Mobile Applications,"Qiming Chen,    Meichun Hsu",2010,https://link.springer.com/chapter/10.1007/978-3-642-16949-6_4,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-16949-6_4
Mobile web and cloud services enabling Internet of Things,Satish Narayana Srirama,2017,https://link.springer.com/article/10.1007/s40012-016-0139-3,https://link.springer.com/content/pdf/10.1007%2Fs40012-016-0139-3.pdf,,,1,3,https://doi.org/10.1007/s40012-016-0139-3
A Comparative Study of Performance Evaluation of Services in Cloud Computing,"L. Aruna,    M. Aramudhan",2015,https://link.springer.com/chapter/10.1007/978-3-319-13728-5_60,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13728-5_60.pdf,,,1,1,https://doi.org/10.1007/978-3-319-13728-5_60
Taking Cloud Computing to the Extreme Edge: A Review of Mist Computing for Smart Cities and Industry 4.0 in Africa,"Eustace M. Dogo,    Abdulazeez Femi Salami,    Clinton O. Aigbavboa…",2019,https://link.springer.com/chapter/10.1007/978-3-319-99061-3_7,https://link.springer.com/content/pdf/10.1007%2F978-3-319-99061-3_7.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-99061-3_7
An Adaptable and Secure Intelligent Smart Card Framework for Internet of Things and Cloud Computing,"T. Daisy Premila Bai,    A. Vimal Jerald,    S. Albert Rabara",2018,https://link.springer.com/chapter/10.1007/978-981-10-6620-7_3,https://link.springer.com/content/pdf/10.1007%2F978-981-10-6620-7_3.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-10-6620-7_3
Mobile Computing in the Construction Industry: Main Challenges and Solutions,"M. Silverio,    S. Renukappa,    S. Suresh…",2017,https://link.springer.com/chapter/10.1007/978-3-319-43434-6_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-43434-6_8
Mobile Cloudable Applications: A New Way of Distributing Mobile Tasks into the Cloud,"Sebastian Presecan,    Nicolae Tomai",2013,https://link.springer.com/chapter/10.1007/978-3-642-41687-3_14,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-41687-3_14
Cloud-Ready Biometric System for Mobile Security Access,"F. Omri,    R. Hamila,    S. Foufou,    M. Jarraya",2012,https://link.springer.com/chapter/10.1007/978-3-642-30567-2_16,No PDF available,,,1,9,https://doi.org/10.1007/978-3-642-30567-2_16
A Framework for Seamless Execution of Mobile Applications in the Cloud,Byoung-Dai Lee,2012,https://link.springer.com/chapter/10.1007/978-3-642-25766-7_20,No PDF available,,,1,5,https://doi.org/10.1007/978-3-642-25766-7_20
Mobile Cloud Forensic: Legal Implications and Counter Measures,"Puneet Sharma,    Deepak Arora,    T. Sakthivel",2018,https://link.springer.com/chapter/10.1007/978-3-319-63673-3_64,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63673-3_64.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-63673-3_64
An empirical study on the influential factors affecting continuous usage of mobile cloud service,"Seong-Taek Park,    Myeong-Ryoon Oh",2017,https://link.springer.com/article/10.1007/s10586-017-1518-8,https://link.springer.com/content/pdf/10.1007%2Fs10586-017-1518-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s10586-017-1518-8
