title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Seamless Learning in the Age of Mobile Connectivity,"Lung-Hsiang Wong,    Marcelo Milrad…",2015,https://link.springer.com/book/10.1007/978-981-287-113-8,No PDF available,,,1,47,https://doi.org/10.1007/978-981-287-113-8
Seamless internet 3G and opportunistic WLAN vehicular connectivity,"Marco Gramaglia,    Carlos J. Bernardos…",2011,https://link.springer.com/article/10.1186/1687-1499-2011-183,https://link.springer.com/content/pdf/10.1186%2F1687-1499-2011-183.pdf,,,1,11,https://doi.org/10.1186/1687-1499-2011-183
Seamless Handover for Multi-user Sessions with QoS and Connectivity Support,"Eduardo Cerqueira,    Luis Veloso,    Paulo Mendes…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72697-5_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-72697-5_7
Locally Distributed Handover Decision Making for Seamless Connectivity in Multihomed Moving Networks,"Zohra Slimane,    Abdelhafid Abdelmalek…",2013,https://link.springer.com/chapter/10.1007/978-3-319-00560-7_23,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-00560-7_23
Haggle: Seamless Networking for Mobile Applications,"Jing Su,    James Scott,    Pan Hui,    Jon Crowcroft…",2007,https://link.springer.com/chapter/10.1007/978-3-540-74853-3_23,No PDF available,,,1,21,https://doi.org/10.1007/978-3-540-74853-3_23
Wireless Landscape – Need for Seamless Connectivity,Uma S. Jha,2002,https://link.springer.com/article/10.1023/A%3A1019980809581,https://link.springer.com/content/pdf/10.1023%2FA%3A1019980809581.pdf,,,1,No cite count available,https://doi.org/10.1023/A:1019980809581
Exploring Seamless Connectivity and Proactive Handover Techniques in VANET Systems,"Glenford Mapp,    Arindam Gosh…",2016,https://link.springer.com/chapter/10.1007/978-3-319-28183-4_9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-28183-4_9.pdf,,,1,2,https://doi.org/10.1007/978-3-319-28183-4_9
A Novel Wireless Positioning System for Seamless Internet Connectivity based on the WLAN Infrastructure,"Thavisak Manodham,    Luis Loyola,    Tetsuya Miki",2008,https://link.springer.com/article/10.1007/s11277-007-9373-1,https://link.springer.com/content/pdf/10.1007%2Fs11277-007-9373-1.pdf,,,1,21,https://doi.org/10.1007/s11277-007-9373-1
Seamless Bluetooth Connectivity to IPv6 Networks,"Sherali Zeadally,    Aarti Kumar,    Aruna Banda",2004,https://link.springer.com/chapter/10.1007/978-3-540-30121-9_58,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-30121-9_58
Seamless WSN Connectivity Using Diverse Wireless Links,"Omar Alfandi,    Jagadeesha RB,    John Beachboard",2018,https://link.springer.com/chapter/10.1007/978-3-319-67837-5_1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-67837-5_1.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-67837-5_1
