title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Challenges and Solutions to Adaptive Computing and Seamless Mobility over Heterogeneous Wireless Networks,Vaduvur Bharghavan,1997,https://link.springer.com/article/10.1023/A%3A1008821130378,https://link.springer.com/content/pdf/10.1023%2FA%3A1008821130378.pdf,,,1,8,https://doi.org/10.1023/A:1008821130378
Mobile Computing,"Omran Bukhres,    Evaggelia Pitoura…",2003,https://link.springer.com/chapter/10.1007/978-3-540-24742-5_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-24742-5_10
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
Design considerations for software-defined wireless networking in heterogeneous cloud radio access networks,"Marcelo A. Marotta,    Maicon Kist…",2017,https://link.springer.com/article/10.1186/s13174-017-0068-x,https://link.springer.com/content/pdf/10.1186%2Fs13174-017-0068-x.pdf,,,1,No cite count available,https://doi.org/10.1186/s13174-017-0068-x
The Role of Proactivity in Wireless and Ad Hoc Networks,"Dhananjay S. Phatak,    Tom Goff",2004,https://link.springer.com/chapter/10.1007/978-1-4613-0223-0_13,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4613-0223-0_13
Caching Components for Disconnection Management in Mobile Environments,"Nabil Kouici,    Denis Conan,    Guy Bernard",2004,https://link.springer.com/chapter/10.1007/978-3-540-30469-2_32,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-30469-2_32
Handling Client Mobility and Intermittent Connectivity in Mobile Web Accesses,"Purushottam Kulkarni,    Prashant Shenoy,    Krithi Ramamritham",2003,https://link.springer.com/chapter/10.1007/3-540-36389-0_36,No PDF available,,,1,1,https://doi.org/10.1007/3-540-36389-0_36
Congestion Control in the Wired Cum Wireless Internet,"Shan Chen,    Xiaojun Hei,    Junhua Zhu…",2009,https://link.springer.com/chapter/10.1007/978-0-387-09777-0_12,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-387-09777-0_12
Routing for Wireless Multi-Hop Networks: Distinguishing Features,"Sherin Abdel Hamid,    Hossam S. Hassanein…",2013,https://link.springer.com/chapter/10.1007/978-1-4614-6357-3_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4614-6357-3_3
Disconnection Modes for Mobile Databases,"JoAnne Holliday,    Divyakant Agrawal,    Amr El Abbadi",2002,https://link.springer.com/article/10.1023/A%3A1015542723791,https://link.springer.com/content/pdf/10.1023%2FA%3A1015542723791.pdf,,,1,12,https://doi.org/10.1023/A:1015542723791
Cluster Based Routing Protocol for Mobile Nodes in Wireless Sensor Network,"Samer A. B. Awwad,    Chee Kyun Ng,    Nor K. Noordin…",2011,https://link.springer.com/article/10.1007/s11277-010-0022-8,https://link.springer.com/content/pdf/10.1007%2Fs11277-010-0022-8.pdf,,,1,35,https://doi.org/10.1007/s11277-010-0022-8
A Neural Network-Based Connectivity Management for Mobile Computing Environment,"B. P. Vijay Kumar,    P. Venkataram",2003,https://link.springer.com/article/10.1023/A%3A1025329609938,https://link.springer.com/content/pdf/10.1023%2FA%3A1025329609938.pdf,,,1,No cite count available,https://doi.org/10.1023/A:1025329609938
A New Proposal of TCP for IEEE 802.11 Wireless Networks,"Fábio C. M. Araújo,    Cláudia J. Barenco Abbas…",2006,https://link.springer.com/chapter/10.1007/11847366_69,No PDF available,,,1,No cite count available,https://doi.org/10.1007/11847366_69
An adaptive cache invalidation technique for wireless environments,"Rajeev Tiwari,    Neeraj Kumar",2016,https://link.springer.com/article/10.1007/s11235-015-0070-1,https://link.springer.com/content/pdf/10.1007%2Fs11235-015-0070-1.pdf,,,1,1,https://doi.org/10.1007/s11235-015-0070-1
Handling a Device Changing from 3G to Wi-Fi Without Breaking Established Connections,"Richard Sims,    Carolin Bauer",2015,https://link.springer.com/chapter/10.1007/978-3-319-06764-3_25,https://link.springer.com/content/pdf/10.1007%2F978-3-319-06764-3_25.pdf,,,1,2,https://doi.org/10.1007/978-3-319-06764-3_25
Computational and Wireless Modeling for Collaborative Virtual Medical Teams,"George Samaras,    Dimosthenis Georgiadis,    Andreas Pitsillides",2006,https://link.springer.com/chapter/10.1007/0-387-26559-7_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/0-387-26559-7_7
